"id","description","instanceType","name","label","uuid:ID"
"Encounter_1","Screening encounter","Encounter","E1","Screening 1","3901bc0f-d917-46d8-9fba-1ea25c5977cd"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Screening 2","45b9c043-d32b-46ae-859d-8863639ce47e"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Baseline","fc95420e-3e38-4ce8-a4dc-f968de38693d"
"Encounter_4","Day 14","Encounter","E4","Week 2","7cb6becb-7e62-4efd-a234-eeb387411e9c"
"Encounter_5","Day 28","Encounter","E5","Week 4","c6dea165-90a6-41b5-8b6c-789ed648894f"
"Encounter_6","Day 42","Encounter","E7","Week 6","5fd7bc6f-b0f1-4a2d-8dcc-f5ffbb7ff2e9"
"Encounter_7","Day 56","Encounter","E8","Week 8","5b28fc2f-ad92-4d72-bb63-7b4b5d159951"
"Encounter_8","Day 84","Encounter","E9","Week 12","68ed2b7c-d856-4a3a-8424-009ccbe53830"
"Encounter_9","Day 112","Encounter","E10","Week 16","813e4562-43b0-4a53-bcb4-f4b9a732f5c4"
"Encounter_10","Day 140","Encounter","E11","Week 20","baf8dd75-4842-4b92-8c2d-5c09d21b7e16"
"Encounter_11","Day 168","Encounter","E12","Week 24","71d9a582-ecbc-40fb-bc80-35695ef6c420"
"Encounter_12","Day 182","Encounter","E13","Week 26","9a2d1351-17a2-4c26-9243-30a8c4b58375"
