"id","text","instanceType","name","uuid:ID"
"TransitionRule_1","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","ab0fa4a0-b7e4-4a2d-ae54-26c9025fc1e4"
"TransitionRule_2","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","579596cb-2737-4040-938d-c8b8acc7a1d3"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","3bf43e9d-b975-4c9c-9d11-3015cc6b136e"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","94f9826f-23e8-445f-9fd4-197403df2971"
"TransitionRule_5","Radomized","TransitionRule","ENCOUNTER_START_RULE_3","b3031882-e4f2-435a-ab0e-5de93be068c0"
"TransitionRule_6","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","f1d984b0-000e-48a6-a5bb-70f926136c19"
"TransitionRule_7","Informed consent","TransitionRule","ELEMENT_START_RULE_1","28c10080-c189-4894-8fdc-194fdbbfa738"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","194b4f4b-35f1-47bc-8626-07f67c9ca809"
"TransitionRule_9","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","74a316e6-ad6b-494f-93f8-a7ed036a7f3e"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","52dda33a-daa0-4e4c-9270-7c76722f0bd0"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","e83a2642-cc67-40c7-9c13-462d38f2647f"
"TransitionRule_10","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","df822179-a298-44b9-b2ea-39aaf0f1b5e9"
"TransitionRule_11","Randomized","TransitionRule","ELEMENT_START_RULE_4","e2914306-09c4-4ce6-8d04-acbcd6d23851"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","b8784ec1-92da-4a08-9477-7aa762d504f9"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","a397ec01-ce72-40d4-8a39-76ba0c73f2fe"
