"id","sectionNumber","instanceType","name","uuid:ID","text","sectionTitle"
"NarrativeContent_1","0","NarrativeContent","ROOT","5dc3054b-7be9-4237-aec3-9eb0a4f2f43f","","Root"
"NarrativeContent_2","0","NarrativeContent","SECTION 0","a724fe9c-8cb9-4fde-af3a-b9e97d7ff95f","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"NarrativeContent_3","1","NarrativeContent","SECTION 1","76316b42-c370-48f5-8fef-115e06f111df","<div></div>","PROTOCOL SUMMARY"
"NarrativeContent_4","1.1","NarrativeContent","SECTION 1.1","f3062d05-2c00-4f51-be3b-63b3d2c898c1","<div></div>","Protocol Synopsis"
"NarrativeContent_5","1.2","NarrativeContent","SECTION 1.2","5a1ae09d-17f9-42a0-b31f-6bb90d1b70a9","<div></div>","Trial Schema"
"NarrativeContent_6","1.3","NarrativeContent","SECTION 1.3","c845e281-1ae2-461a-b583-6671a1a3980c","<div></div>","Schedule of Activities"
"NarrativeContent_7","2","NarrativeContent","SECTION 2","5cc1d642-d182-4c1a-aa54-bb141f85cd9f","<div></div>","INTRODUCTION"
"NarrativeContent_8","2.1","NarrativeContent","SECTION 2.1","cdb9398e-b230-4a64-84a5-931014099fe6","<div></div>","Purpose of Trial"
"NarrativeContent_9","2.2","NarrativeContent","SECTION 2.2","7613fb34-f402-49b2-81e4-b59793e93914","<div></div>","Summary of Benefits and Risks"
"NarrativeContent_10","3","NarrativeContent","SECTION 3","0f6610ee-0094-4813-aa65-9221b06b1abf","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent_11","3.1","NarrativeContent","SECTION 3.1","3b5fa42d-7b30-4a83-b77f-e8ce4f73d0f2","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"NarrativeContent_12","4","NarrativeContent","SECTION 4","5ccebb00-e8e8-4c2b-84a8-3a6290d384d9","<div></div>","TRIAL DESIGN"
"NarrativeContent_13","4.1","NarrativeContent","SECTION 4.1","7ff4666b-af90-4fa4-ad0b-3d2796e49ec1","<div></div>","Description of Trial Design"
"NarrativeContent_14","4.1.1","NarrativeContent","SECTION 4.1.1","e9410980-dd89-4e87-bebf-8de6bc73e6ff","<div></div>","Participant Input into Design"
