"decode","id","codeSystem","instanceType","codeSystemVersion","code","uuid:ID"
"Interventional Study","Code_1","http://www.cdisc.org","Code","2023-09-29","C98388","10a36dad-3c34-4ac3-a6de-c97c365d025b"
"Phase II Trial","Code_2","http://www.cdisc.org","Code","2023-09-29","C15601","aa737542-bdbf-4361-bf23-a6e1311ef57c"
"Sponsor Approval Date","Code_9","http://www.cdisc.org","Code","2023-09-29","C132352","5f4421af-1e7a-4dab-b076-6b9f7c483f38"
"Global","Code_10","http://www.cdisc.org","Code","2023-09-29","C68846","666fa53c-345b-4f4d-bd3b-462501a851d9"
"IRB/IEC Feedback","Code_72","http://www.cdisc.org","Code","2023-09-29","C99904x3","d7c50f5c-3912-44eb-971f-d53b9edb2a9a"
"Other","Code_73","http://www.cdisc.org","Code","2023-09-29","C17649","e8ac5821-9976-4e7d-af70-8ee60052a2eb"
"Region","Code_75","http://www.cdisc.org","Code","2023-09-29","C41129","ee1acdbe-e223-4234-b9b2-41a1a037f188"
"Europe","Code_74","ISO 3166 1 alpha3","Code","2020-08","150","8ea1df53-cd46-4a0c-8e5e-a028df3c473e"
"Eli Lilly","Code_4","SPONSOR","Code","12","PHARMA","6a4f8e2e-d983-4b0b-91b8-c290127528b4"
"Clinical Study Sponsor","Code_76","http://www.cdisc.org","Code","2023-09-29","C70793","119f37aa-3cea-4fe5-9599-4cc757f59fdd"
"Denmark","Code_77","ISO 3166 1 alpha3","Code","2020-08","DNK","fd288570-5dcb-459f-bdee-dec4b9c4409b"
"Study Registry","Code_78","http://www.cdisc.org","Code","2023-09-29","C93453","89cdb3a5-931f-4cb8-9e4c-2e8266297d56"
"Treatment Study","Code_136","http://www.cdisc.org","Code","2023-09-29","C49656","7b67cf35-5c8b-489f-a7ec-b9879678984b"
"Efficacy Study","Code_137","http://www.cdisc.org","Code","2023-09-29","C49666","d7a65aec-dca7-445b-b98b-dadb4e9d90f0"
"Safety Study","Code_138","http://www.cdisc.org","Code","2023-09-29","C49667","cf25d4bb-8c4f-4a3d-83a7-4e956cdab559"
"Pharmacokinetic Study","Code_139","http://www.cdisc.org","Code","2023-09-29","C49663","36f13500-7fe3-4bd5-ad68-7f8ba43536b1"
"Mild to Moderate Alzheimer's Disease","Code_133","SPONSOR","Code","12","MILD_MOD_ALZ","35c86730-ad9c-4d95-8c14-e6670f5332dc"
"Alzheimer's disease","Code_134","SNOMED","Code","January 31, 2018","26929004","37207104-8625-4331-be22-fd3ebba50705"
"EXTENSION","Code_142","http://www.cdisc.org","Code","2023-09-29","C99907x1","103d49eb-5eeb-4ad2-824d-b88e2079cd7b"
"ADAPTIVE","Code_143","http://www.cdisc.org","Code","2023-09-29","C98704","f5025e92-5dc5-4ad0-873d-2f36749a96e2"
"Parallel Study","Code_140","http://www.cdisc.org","Code","2023-09-29","C82639","d584b9e3-2cf5-423d-af79-3a862d47b703"
"Visit","Code_82","http://www.cdisc.org","Code","2023-09-29","C25716","034c9b44-768c-4011-9068-3c02f814f5d7"
"Clinic","Code_83","http://www.cdisc.org","Code","2023-09-29","C51282","1594198d-9d54-468c-83bb-c886913d78d3"
"In Person","Code_84","http://www.cdisc.org","Code","2023-09-29","C175574","84ab9251-3745-4f3e-bfaa-6e7573657547"
"Visit","Code_85","http://www.cdisc.org","Code","2023-09-29","C25716","edaedaee-307f-41a3-9378-bb64af4d2541"
"Clinic","Code_86","http://www.cdisc.org","Code","2023-09-29","C51282","3ed3f3a8-5ac3-401d-99ac-e406620a24dc"
"In Person","Code_87","http://www.cdisc.org","Code","2023-09-29","C175574","64d8be09-0678-4bd8-978f-c12e30b19821"
"Visit","Code_88","http://www.cdisc.org","Code","2023-09-29","C25716","5de2e233-1685-450d-b2e3-53220515b8fb"
"Clinic","Code_89","http://www.cdisc.org","Code","2023-09-29","C51282","134e5b79-c3c9-450a-9cbe-320f4f546e95"
"In Person","Code_90","http://www.cdisc.org","Code","2023-09-29","C175574","2e112049-0c74-4c2c-ac87-92c16d8db83e"
"Visit","Code_91","http://www.cdisc.org","Code","2023-09-29","C25716","66d04fb0-b18a-4274-9d7b-b9b09b31a3b1"
"Clinic","Code_92","http://www.cdisc.org","Code","2023-09-29","C51282","c87a1e76-33c3-4ebe-ba44-fa8d18f6b143"
"In Person","Code_93","http://www.cdisc.org","Code","2023-09-29","C175574","f5921231-f2e7-4945-80bb-f73a9495734a"
"Visit","Code_94","http://www.cdisc.org","Code","2023-09-29","C25716","0c2fee10-72dd-4d09-9a04-a7241ec3d3b6"
"Clinic","Code_95","http://www.cdisc.org","Code","2023-09-29","C51282","56dd6e86-f7d8-439e-8e5e-ecce2ac2ed85"
"In Person","Code_96","http://www.cdisc.org","Code","2023-09-29","C175574","d6a159fa-505d-4d1a-a013-d73ff17b157c"
"Visit","Code_97","http://www.cdisc.org","Code","2023-09-29","C25716","1f34a24d-e535-4c19-98f8-e2d72edbeec4"
"Clinic","Code_98","http://www.cdisc.org","Code","2023-09-29","C51282","4db560b2-a67e-4948-892f-6d5440080612"
"In Person","Code_99","http://www.cdisc.org","Code","2023-09-29","C175574","5736ef14-fa60-4095-a167-07c4d55f45bf"
"Visit","Code_100","http://www.cdisc.org","Code","2023-09-29","C25716","f3443ff4-7ed4-4cb4-87e2-c77a1585b01f"
"Clinic","Code_101","http://www.cdisc.org","Code","2023-09-29","C51282","b6e401e0-2971-434d-a41a-331c0bf57cda"
"In Person","Code_102","http://www.cdisc.org","Code","2023-09-29","C175574","652fd2e3-698a-460a-9d48-c25c56931151"
"Telephone Call","Code_103","http://www.cdisc.org","Code","2023-09-29","C171537","d19d86fc-8695-4464-9706-8fe255376d20"
"Visit","Code_104","http://www.cdisc.org","Code","2023-09-29","C25716","9389fe87-cdfe-4aa7-9514-7d0c62a11358"
"Clinic","Code_105","http://www.cdisc.org","Code","2023-09-29","C51282","78e57d04-c7a5-4610-ae85-706c95a3ea2b"
"In Person","Code_106","http://www.cdisc.org","Code","2023-09-29","C175574","bceee184-5b79-437f-be06-50f4cdf995cf"
"Telephone Call","Code_107","http://www.cdisc.org","Code","2023-09-29","C171537","e0797b47-a05a-4f0a-bf5c-6c1213403a65"
"Visit","Code_108","http://www.cdisc.org","Code","2023-09-29","C25716","21a928f6-fc20-4570-912a-e1c0b321c2ec"
"Clinic","Code_109","http://www.cdisc.org","Code","2023-09-29","C51282","868c3136-57ed-400e-9d6a-e006798510a5"
"In Person","Code_110","http://www.cdisc.org","Code","2023-09-29","C175574","6403b323-a8c9-4195-b555-563b99714f9c"
"Telephone Call","Code_111","http://www.cdisc.org","Code","2023-09-29","C171537","74d16935-a968-4c62-a45f-2acfd0c3111d"
"Visit","Code_112","http://www.cdisc.org","Code","2023-09-29","C25716","a9b7a952-4591-4c3e-b6f7-e3eb40295446"
"Clinic","Code_113","http://www.cdisc.org","Code","2023-09-29","C51282","7a980741-ee9d-4b18-a310-7d484e5e3b30"
"In Person","Code_114","http://www.cdisc.org","Code","2023-09-29","C175574","af4c3bf0-4eb6-4b08-a379-ca0035b2bc2e"
"Telephone Call","Code_115","http://www.cdisc.org","Code","2023-09-29","C171537","29a031b6-88e9-4045-9361-2b14c38ca053"
"Visit","Code_116","http://www.cdisc.org","Code","2023-09-29","C25716","d00932b3-073b-4c86-a827-6eff0b24dd8b"
"Clinic","Code_117","http://www.cdisc.org","Code","2023-09-29","C51282","8cbf47eb-b1cd-45f2-9058-d70c36c313ca"
