"label","isRequired","name","uuid:ID","datatype","isEnabled","id","instanceType"
"Vital Signs Result","True","Vital Signs Result","d962e244-10cf-4e32-9a6b-b338c108b8e8","decimal","True","BiomedicalConceptProperty_98","BiomedicalConceptProperty"
"Unit of Temperature","True","Unit of Temperature","f9ec7096-2b34-4e02-b55f-b70cf04b9660","string","True","BiomedicalConceptProperty_99","BiomedicalConceptProperty"
"Vital Signs Location","True","Vital Signs Location","d4b45581-da4a-4a66-9942-fb3db9acc89a","string","True","BiomedicalConceptProperty_100","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","4b1c6e9d-cc14-427a-872b-690c94b3f058","decimal","True","BiomedicalConceptProperty_101","BiomedicalConceptProperty"
"Unit of Weight","True","Unit of Weight","baf9affa-9813-4d08-b35a-af4c7a36531b","string","True","BiomedicalConceptProperty_102","BiomedicalConceptProperty"
"Vital Signs Result","True","Vital Signs Result","d6174493-1b2b-4eb4-8fe9-742cb4934997","decimal","True","BiomedicalConceptProperty_103","BiomedicalConceptProperty"
"Unit of Height","True","Unit of Height","7d6155ab-ec2f-4ed8-8223-33280bedce67","string","True","BiomedicalConceptProperty_104","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","3cf2450e-1f81-43af-9f80-7b8d07942095","decimal","True","BiomedicalConceptProperty_105","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","c990abb2-0760-449b-a2a4-2e80eb9530ad","boolean","True","BiomedicalConceptProperty_106","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","f232f49a-3e58-497d-b456-63bf882e13a9","string","True","BiomedicalConceptProperty_107","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","744817b0-e1c9-4f16-bd45-4e7776446381","string","True","BiomedicalConceptProperty_108","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","26d7f642-5817-4d77-b7bb-69e7f711b4f1","string","True","BiomedicalConceptProperty_109","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","27911887-5946-47dc-b1ce-beaa44958d32","boolean","True","BiomedicalConceptProperty_110","BiomedicalConceptProperty"
"Unit of Concentration","True","Unit of Concentration","bf24dea8-9bc8-457e-85de-22a5f220ee23","string","True","BiomedicalConceptProperty_111","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","e164a127-190d-4aa1-93c1-b3da26e6cd03","string","True","BiomedicalConceptProperty_112","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","121cfe0e-8332-43de-9302-e69145535f8e","decimal","True","BiomedicalConceptProperty_113","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","d7f97654-654e-4e7d-93ed-4a3d26d05e3d","boolean","True","BiomedicalConceptProperty_114","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","900ac925-2a21-4da9-a7fe-47db043e1884","string","True","BiomedicalConceptProperty_115","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","34921eff-a8d2-4cfa-910a-db86038b5e63","string","True","BiomedicalConceptProperty_116","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","68eaa96a-5e0b-4f12-a1ab-bf684ef16f0c","decimal","True","BiomedicalConceptProperty_117","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","022b65ff-5617-45d3-9134-3e78936c2b8b","boolean","True","BiomedicalConceptProperty_118","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","4a586703-d6d0-468f-995d-72397f2a5c29","string","True","BiomedicalConceptProperty_119","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","1778989a-65c4-49fb-b58a-6ac98508c910","string","True","BiomedicalConceptProperty_120","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","cafdc9d4-4663-474f-bd8d-a698db932857","string","True","BiomedicalConceptProperty_121","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","2f71871c-ca35-4f25-8b2c-78c96e612223","boolean","True","BiomedicalConceptProperty_122","BiomedicalConceptProperty"
"Unit of Concentration","True","Unit of Concentration","a388c213-d9bb-4aa0-875a-07ae56d3996c","string","True","BiomedicalConceptProperty_123","BiomedicalConceptProperty"
"Biospecimen Type","True","Biospecimen Type","9ac3efcc-6639-4a29-ade5-784220a88f12","string","True","BiomedicalConceptProperty_124","BiomedicalConceptProperty"
"Laboratory Test Result","True","Laboratory Test Result","92716246-bf7e-46da-a9e1-cb6759ec5f72","decimal","True","BiomedicalConceptProperty_125","BiomedicalConceptProperty"
