"sectionTitle","text","name","sectionNumber","uuid:ID","id","instanceType"
"Root","","ROOT","0","39181d69-80f2-4e48-af37-d56045681188","NarrativeContent_1","NarrativeContent"
"TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","0","43153c81-77b1-47cb-a81d-f6757e3206f6","NarrativeContent_2","NarrativeContent"
"PROTOCOL SUMMARY","<div></div>","SECTION 1","1","7953e97d-e571-4ffa-8937-cfa194f62eb4","NarrativeContent_3","NarrativeContent"
"Protocol Synopsis","<div></div>","SECTION 1.1","1.1","01b75a90-2c46-4bd8-aae0-1c0f23316e75","NarrativeContent_4","NarrativeContent"
"Trial Schema","<div></div>","SECTION 1.2","1.2","4cd56c7d-13cd-4a91-aa34-e4b2c5f46e90","NarrativeContent_5","NarrativeContent"
"Schedule of Activities","<div></div>","SECTION 1.3","1.3","c2abbff9-f663-4622-ae1e-c1a66f2f617f","NarrativeContent_6","NarrativeContent"
"INTRODUCTION","<div></div>","SECTION 2","2","dec237a1-5347-46ee-9b75-4b1207f1ac3c","NarrativeContent_7","NarrativeContent"
"Purpose of Trial","<div></div>","SECTION 2.1","2.1","e6662099-98eb-43f8-b26f-31d6f5da3520","NarrativeContent_8","NarrativeContent"
"Summary of Benefits and Risks","<div></div>","SECTION 2.2","2.2","1ba3dc05-7ccb-4b9b-9da3-31f5523c2b71","NarrativeContent_9","NarrativeContent"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","SECTION 3","3","3e9a32e0-0c17-4106-8e4a-15e3e542a8c9","NarrativeContent_10","NarrativeContent"
"Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","3.1","317a1f03-425b-44e0-a765-e73e3e62fb7d","NarrativeContent_11","NarrativeContent"
"TRIAL DESIGN","<div></div>","SECTION 4","4","c3d1373c-9d8c-4abe-b0d3-f9102aab2608","NarrativeContent_12","NarrativeContent"
"Description of Trial Design","<div></div>","SECTION 4.1","4.1","72c3db29-e0d5-4969-8172-e945864d7ab9","NarrativeContent_13","NarrativeContent"
"Participant Input into Design","<div></div>","SECTION 4.1.1","4.1.1","4e30c6f9-0d3a-4052-b6bf-4fb850702c2c","NarrativeContent_14","NarrativeContent"
