"label","windowUpper","name","window","uuid:ID","description","windowLower","value","id","instanceType"
"Screening","","TIM1","","a0d50f81-558a-4889-a84f-a9ad45a475b2","Screening timing","","P2W","Timing_1","Timing"
"Pre dose","PT0H","TIM2","-4..0 hours","cea86fcb-285a-4eb3-8a4e-ba0fbeb6330a","Pre dose timing","PT4H","P2D","Timing_2","Timing"
"Dosing","","TIM3","","b24948b3-4779-4434-b7b1-0c4549fa8f1b","Dosing anchor","","P1D","Timing_3","Timing"
"Week 2","P3D","TIM4","-3..3 days","ea7f0626-7e97-48aa-b47b-f9699a7f18c1","Week 2 timing","P3D","P2W","Timing_4","Timing"
"Week 4","P3D","TIM5","-3..3 days","0a13ebc2-9c93-45be-a862-3a7f35211e2f","Week 4 timing","P3D","P4W","Timing_5","Timing"
"Week 6","P3D","TIM6","-3..3 days","9a119226-da83-49c9-977e-acdb6c0b0020","Week 6 timing","P3D","P6W","Timing_6","Timing"
"Week 8","P3D","TIM7","-3..3 days","2d373f31-6f0e-47ae-9ca0-6f5a422f5301","Week 8 timing","P3D","P8W","Timing_7","Timing"
"Week 12","P4D","TIM9","-4..4 days","989733f1-fd10-4fb6-8b86-5194d99d0ba2","Week 12 timing","P4D","P12W","Timing_9","Timing"
"Week 16","P4D","TIM11","-4..4 days","25de4a5b-ba9c-4052-8f71-498e79b74a11","Week 16 timing","P4D","P16W","Timing_11","Timing"
"Week 20","P4D","TIM13","-4..4 days","62e29a37-019a-4292-af95-273d3dce725b","Week 20 timing","P4D","P20W","Timing_13","Timing"
"Week 24","P4D","TIM15","-4..4 days","c09e5957-4279-42ec-8cfa-7cddc730d49d","Week 24 timing","P4D","P24W","Timing_15","Timing"
"Week 26","P3D","TIM16","-3..3 days","cf76631b-3e38-499d-850e-316a6907cc33","Week 26 timing","P3D","P26W","Timing_16","Timing"
"Week 8 Home","","TIM8","","690757ec-c4b7-4217-bb60-04c3cf13f760","Week 8 at home timing","","P2W","Timing_8","Timing"
"Week 12 Home","","TIM10","","efe5ade8-102c-4db6-9d80-dcfc84fcae20","Week 12 at home timing","","P2W","Timing_10","Timing"
"Week 16 Home","","TIM12","","0aa2214b-5ec3-40fd-9f8c-07b370e6703d","Week 16 at home timing","","P2W","Timing_12","Timing"
"Week 20 Home","","TIM14","","74827c0c-2080-4a79-89b3-ac8a3cc2a90b","Week 20 at home timing","","P2W","Timing_14","Timing"
"Adverse Event","","TIM17","","aaa222bb-919b-4b62-b19b-870558c40b25","Adverse Event","","P1D","Timing_17","Timing"
"Early Termination","","TIM18","","2c027718-729d-46d4-92fc-b229c80dbb1a","Early Termination","","P1D","Timing_18","Timing"
"Supine","","TIM19","","991559dc-635b-4cf5-97f0-20baeac94a9c","Supine","","PT0M","Timing_19","Timing"
"VS while supine","","TIM20","","0e7ad428-1d18-4c80-88d0-8a5c6b523feb","VS while supine","","PT5M","Timing_20","Timing"
"Standing","","TIM21","","ea14bb42-2fe9-4192-94cc-80056336667e","Standing","","PT0M","Timing_21","Timing"
"VS while standing","","TIM22","","4601b5db-8b37-49ce-a3cd-c72f4b9819ce","VS while standing","","PT1M","Timing_22","Timing"
"Standing","","TIM23","","e1bfe165-cd7c-4552-9ca3-81583f00d46e","Standing","","PT0M","Timing_23","Timing"
"VS while standing","","TIM24","","5cb83819-aa18-49e0-96ec-91a24596e345","VS while standing","","PT2M","Timing_24","Timing"
