"text","name","uuid:ID","id","instanceType"
"Subject identifier","ENCOUNTER_START_RULE_1","ba402a65-7268-4318-ac92-04f47ea6de0f","TransitionRule_1","TransitionRule"
"completion of screening activities","ENCOUNTER_START_RULE_1","f5a4214e-7424-4b1d-8a51-98aff8b8e375","TransitionRule_2","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","e63a243c-6ef5-4534-a35c-9fc4de65ff99","TransitionRule_3","TransitionRule"
"subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","aeeeddf4-c979-44a9-b5db-bc5e5b9c08e6","TransitionRule_4","TransitionRule"
"Radomized","ENCOUNTER_START_RULE_3","8f692f93-26c1-40fa-aca8-85281058e91a","TransitionRule_5","TransitionRule"
"End of treatment","ENCOUNTER_START_RULE_12","42ce4d57-0b8e-47c8-b387-f1833f2d3984","TransitionRule_6","TransitionRule"
"Informed consent","ELEMENT_START_RULE_1","e9d17c29-4b07-4fe3-a649-935ecbb11adc","TransitionRule_7","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","35e14250-e2f3-4ecd-9178-818a5443f03f","TransitionRule_8","TransitionRule"
"Administration of first dose","ELEMENT_START_RULE_2","8922716f-f565-4cbe-9828-4607c91fb74b","TransitionRule_9","TransitionRule"
"End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","2e8f43e2-bebb-4388-a451-e1537337e220","TransitionRule_14","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","16b7b9a3-15c1-4162-9c0a-3e439a1b14aa","TransitionRule_15","TransitionRule"
"Administration of first dose","ELEMENT_START_RULE_3","db735bd0-8e3c-4d1f-ba84-f23b71f81c97","TransitionRule_10","TransitionRule"
"Randomized","ELEMENT_START_RULE_4","3a0625e9-b041-46f3-9550-ed37bfbe5a59","TransitionRule_11","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","f5153994-c462-4c38-9fc9-0b905f79c97d","TransitionRule_12","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","ef1f9ccf-2c56-41a6-95fc-9f8a45c5ab13","TransitionRule_13","TransitionRule"
