"code","codeSystemVersion","codeSystem","uuid:ID","decode","id","instanceType"
"C98388","2023-09-29","http://www.cdisc.org","0bf0d30d-0563-48fd-95b4-25510c8f83e6","Interventional Study","Code_1","Code"
"C15601","2023-09-29","http://www.cdisc.org","3ba21001-8ae8-4166-b39c-2c9bf28f0218","Phase II Trial","Code_2","Code"
"C132352","2023-09-29","http://www.cdisc.org","92be4d84-4207-48fa-a415-c775055eca84","Sponsor Approval Date","Code_9","Code"
"C68846","2023-09-29","http://www.cdisc.org","4e7dd851-eec9-4666-bf76-e52eee2ac2ef","Global","Code_10","Code"
"C99904x3","2023-09-29","http://www.cdisc.org","3005fc39-635d-427a-90b6-0b26cfb95da1","IRB/IEC Feedback","Code_72","Code"
"C17649","2023-09-29","http://www.cdisc.org","40e0e8ce-8be9-479b-896a-c2035f145f86","Other","Code_73","Code"
"C41129","2023-09-29","http://www.cdisc.org","6272583c-c931-4cfd-abbb-0440fb54e0a0","Region","Code_75","Code"
"150","2020-08","ISO 3166 1 alpha3","12cbc39b-77d8-4455-856e-bc0316fbf9ed","Europe","Code_74","Code"
"PHARMA","12","SPONSOR","ec978a07-bd29-4329-83d2-f5cba8eafd5e","Eli Lilly","Code_4","Code"
"C70793","2023-09-29","http://www.cdisc.org","4366a00e-f791-4af5-adc9-1301d1b453ea","Clinical Study Sponsor","Code_76","Code"
"DNK","2020-08","ISO 3166 1 alpha3","992902e2-4973-4a34-ab2b-227d55179576","Denmark","Code_77","Code"
"C93453","2023-09-29","http://www.cdisc.org","8e3d62de-446c-4835-97e4-235d8d08bb4c","Study Registry","Code_78","Code"
"C49656","2023-09-29","http://www.cdisc.org","b6dd2945-2810-4275-9cd9-2e86b2ada2ad","Treatment Study","Code_136","Code"
"C49666","2023-09-29","http://www.cdisc.org","11cf6a14-ff06-4ed3-992e-a2639582271b","Efficacy Study","Code_137","Code"
"C49667","2023-09-29","http://www.cdisc.org","a3401bf0-f0bf-4754-be0d-fb2b790883b5","Safety Study","Code_138","Code"
"C49663","2023-09-29","http://www.cdisc.org","cf210b22-8fe3-4e2b-84b6-91cb36400a39","Pharmacokinetic Study","Code_139","Code"
"MILD_MOD_ALZ","12","SPONSOR","6954a8da-ca84-4804-b2a4-d1602bac5307","Mild to Moderate Alzheimer's Disease","Code_133","Code"
"26929004","January 31, 2018","SNOMED","cd81949f-c710-4dc9-b9c3-986fc9084d87","Alzheimer's disease","Code_134","Code"
"C99907x1","2023-09-29","http://www.cdisc.org","ae2a0e87-8f32-4d1a-b210-50364d829683","EXTENSION","Code_142","Code"
"C98704","2023-09-29","http://www.cdisc.org","869e7500-99de-4e4a-9471-c56c1d8b5b1b","ADAPTIVE","Code_143","Code"
"C82639","2023-09-29","http://www.cdisc.org","a7da993b-d418-4c5f-80a6-9002997196a7","Parallel Study","Code_140","Code"
"C25716","2023-09-29","http://www.cdisc.org","56ca4bc1-2156-41aa-8215-dc14ac0182e8","Visit","Code_82","Code"
"C51282","2023-09-29","http://www.cdisc.org","e1cc0c4b-97e2-47d2-b383-0982f1a0c16c","Clinic","Code_83","Code"
"C175574","2023-09-29","http://www.cdisc.org","9c4be9c9-5582-49bf-ba40-afd48127e5ba","In Person","Code_84","Code"
"C25716","2023-09-29","http://www.cdisc.org","6c29aae2-5d06-49e6-8359-17da2b3c55a2","Visit","Code_85","Code"
"C51282","2023-09-29","http://www.cdisc.org","6ce7f6f0-ac54-4ecf-8c9a-1ae82b65807b","Clinic","Code_86","Code"
"C175574","2023-09-29","http://www.cdisc.org","28318d30-234c-47ed-b710-2dede0e4b3f7","In Person","Code_87","Code"
"C25716","2023-09-29","http://www.cdisc.org","e5e030dc-5fdb-4f30-b9b4-0b93364f7804","Visit","Code_88","Code"
"C51282","2023-09-29","http://www.cdisc.org","5a6b0eca-ab5a-42ac-ba95-1c6bc94b8d11","Clinic","Code_89","Code"
"C175574","2023-09-29","http://www.cdisc.org","7b27683c-4420-4a88-aee8-b098615c9aa3","In Person","Code_90","Code"
"C25716","2023-09-29","http://www.cdisc.org","936579c0-3b8f-424c-9b26-389f1bcc3eb1","Visit","Code_91","Code"
"C51282","2023-09-29","http://www.cdisc.org","d25107dd-0334-41b3-9ea4-59b484ebff1f","Clinic","Code_92","Code"
"C175574","2023-09-29","http://www.cdisc.org","3edb979d-f3fb-405d-8e57-58d1dabf0175","In Person","Code_93","Code"
"C25716","2023-09-29","http://www.cdisc.org","92206bc0-f335-4815-a066-2de6448f9ddc","Visit","Code_94","Code"
"C51282","2023-09-29","http://www.cdisc.org","e8228f3c-7c90-4a5c-9394-adcdcadb4596","Clinic","Code_95","Code"
