"label","synonyms","name","reference","uuid:ID","id","instanceType"
"Body Temperature","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","996e0e75-8fbd-418f-865b-55f95fe0b92a","BiomedicalConcept_20","BiomedicalConcept"
"Body Weight","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","0a46e080-81b7-4301-8240-53a5e7dc1f91","BiomedicalConcept_21","BiomedicalConcept"
"Body Height","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","56b9ef16-8216-4005-9427-8f97770a9357","BiomedicalConcept_22","BiomedicalConcept"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","e7f209cd-1dca-4635-86df-583679cf15e1","BiomedicalConcept_23","BiomedicalConcept"
"Albumin Measurement","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","aea60404-9b3a-4bdf-ae57-8226f583d283","BiomedicalConcept_24","BiomedicalConcept"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","0f05d6a6-0a45-49c5-86f1-be368c1af6e3","BiomedicalConcept_25","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","40198ead-bcab-40ca-99ec-9a63ed9ed21d","BiomedicalConcept_26","BiomedicalConcept"
"Creatinine Measurement","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","3dcfc8de-26ae-4363-8116-5000b3b57cea","BiomedicalConcept_27","BiomedicalConcept"
"Potassium Measurement","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","d44d8d38-e501-4d6d-a273-031da789ecb4","BiomedicalConcept_28","BiomedicalConcept"
"Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","1e48c91c-fa81-4d09-8847-217ab729e5a7","BiomedicalConcept_29","BiomedicalConcept"
"Adverse Event","['Adverse Event Reported Term', 'AETERM']","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","f65f316d-fa77-4e3e-8243-65ed634e8e99","BiomedicalConcept_1","BiomedicalConcept"
"Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","19fabdba-781c-46c4-822a-85f824b45263","BiomedicalConcept_2","BiomedicalConcept"
"Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","501164df-81de-4944-8899-cd408720c7f9","BiomedicalConcept_3","BiomedicalConcept"
"Body Temperature","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","56db6518-f494-443b-8f77-08d9a380b605","BiomedicalConcept_4","BiomedicalConcept"
"Body Weight","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","9fc14c93-b06e-46e4-a2e8-23688b9a392e","BiomedicalConcept_5","BiomedicalConcept"
"Body Height","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","2760d539-a7e2-4e0f-8d3f-38f11427ea6e","BiomedicalConcept_6","BiomedicalConcept"
