"label","id","name","instanceType","description","uuid:ID"
"Screening 1","Encounter_1","E1","Encounter","Screening encounter","35d049af-f33a-4b27-925f-9f9c39b798de"
"Screening 2","Encounter_2","E2","Encounter","Screening encounter - Ambulatory ECG Placement","21374ca7-14d7-4f0c-b4b7-68dd115c227e"
"Baseline","Encounter_3","E3","Encounter","Baseline encounter - Ambulatory ECG Removal","d42d65af-a884-4a34-98c7-00ee8bee03e1"
"Week 2","Encounter_4","E4","Encounter","Day 14","7ddbc40b-446c-4661-a880-559d9a28e4d3"
"Week 4","Encounter_5","E5","Encounter","Day 28","9c79db75-646b-497a-9c7b-ba041bf3f250"
"Week 6","Encounter_6","E7","Encounter","Day 42","147be7a1-8f99-445d-b27f-882805fd9dec"
"Week 8","Encounter_7","E8","Encounter","Day 56","698aac9c-b50c-46e8-a716-6dc824d8e9ca"
"Week 12","Encounter_8","E9","Encounter","Day 84","1fbe4e65-262d-43d9-9cac-1e2fb033d9ce"
"Week 16","Encounter_9","E10","Encounter","Day 112","283fc9a9-4fb0-403b-abfa-57cf658529bd"
"Week 20","Encounter_10","E11","Encounter","Day 140","1c771ed0-cbf7-4b8d-b1d7-6bba2524a3cf"
"Week 24","Encounter_11","E12","Encounter","Day 168","b45bf4e7-9488-4314-adbb-88ec92c92511"
"Week 26","Encounter_12","E13","Encounter","Day 182","4d04b89f-f57d-4396-bfe5-334e5e98b63d"
