"label","id","name","instanceType","description","uuid:ID"
"Informed consent","Activity_1","Informed consent","Activity","","831f7982-5de6-4b23-bc0c-f137b2df7a38"
"Inclusion and exclusion criteria","Activity_2","Inclusion/exclusion criteria","Activity","","82f2fcfc-1d00-403e-8c3c-2be706a4a874"
"Patient number assigned","Activity_3","Patient number assigned","Activity","","9393a57c-bde0-4237-9d3d-8b997aab8465"
"Demographics","Activity_4","Demographics","Activity","","5387fc66-58a0-4cdb-98b5-a6fbc0d9a066"
"Hachinski Ischemic Scale","Activity_5","Hachinski","Activity","","d1589655-2a07-467b-8b5a-bdf42a34b3ec"
"MMSE","Activity_6","MMSE","Activity","","f0816ffb-2157-47cd-8b61-86c4511b88e0"
"Physical examination","Activity_7","Physical examination","Activity","","92320fb8-77ea-42a3-af77-b9c91f72837e"
"Medical history","Activity_8","Medical history","Activity","","43a1273a-59bd-4297-919f-69864e06d2bd"
"Habits","Activity_9","Habits","Activity","","43a83451-38c3-480c-b663-3ad898894ef7"
"Chest X-ray","Activity_10","Chest X-ray","Activity","","f0a3e1f2-ace0-46b6-886d-6bc32b5ccecb"
"Apo E genotyping","Activity_11","Apo E genotyping","Activity","","64e87e07-5cf2-4648-bab4-b11c653c8e1b"
"Patient randomised","Activity_12","Patient randomised","Activity","","24248229-1846-4a6a-b6a6-6a8d5aee761f"
"Vital Signs and Temperature","Activity_13","Vital signs / Temperature","Activity","","c750878d-a4d6-48d4-9e94-afafbd0aaf02"
"Ambulatory ECG placed","Activity_14","Ambulatory ECG placed","Activity","","9cb9aaa0-4d5f-4048-90c4-8a63094cc1f1"
"Ambulatory ECG removed","Activity_15","Ambulatory ECG removed","Activity","","a8469725-cdc4-45a6-8966-c562113f5b3c"
"ECG","Activity_16","ECG","Activity","","e8bdd306-c555-4f54-944f-970a948edbcc"
"Placebo TTS test","Activity_17","Placebo TTS test","Activity","","2e66d066-cb60-4be6-acaa-9a3026da241d"
"CT scan","Activity_18","CT scan","Activity","","ed4116b6-257c-430b-b141-7551434e60de"
"Concomitant medications","Activity_19","Concomitant medications","Activity","","d6741dec-4588-4153-ad45-1bcb7ac742f1"
"Hematology","Activity_20","Hematology","Activity","","cebab6a6-6761-4700-b7f8-b8646945ee70"
"Chemistry","Activity_21","Chemistry","Activity","","cd3c0d21-3efd-4882-8e43-5d5ae84fd2fa"
"Uninalysis","Activity_22","Uninalysis","Activity","","4f3bd59e-be87-4734-9f83-cd243f58a7ee"
"Plasma Specimen (Xanomeline)","Activity_23","Plasma Specimen (Xanomeline)","Activity","","bee9c556-a0e4-428b-a31d-fecb3ff4d196"
"Hemoglobin A1C","Activity_24","Hemoglobin A1C","Activity","","138127af-4fd1-48b5-a93b-9097ef0b28d8"
"Study drug record , Medications dispensed, Medications returned","Activity_25","Study drug","Activity","","da10dd58-22d6-4cae-b04b-7ede9b177582"
"TTS Acceptability Survey","Activity_26","TTS Acceptability Survey","Activity","","dba33ad7-c12f-4790-aa2a-f362149c79e7"
"ADAS-Cog","Activity_27","ADAS-Cog","Activity","","eb64e017-94f8-475d-8f06-eb1cd3d2f37f"
"CIBIC+","Activity_28","CIBIC+","Activity","","106d478e-e0ab-4865-8404-5dd1d378fd19"
"DAD","Activity_29","DAD","Activity","","353389e3-a6e9-4a01-9c3c-79f13bb007b7"
"NPI-X","Activity_30","NPI-X","Activity","","ee1bd8d6-9fbd-48d3-9199-f3dc083e8099"
"Adverse events","Activity_31","Adverse events","Activity","","87e29215-7986-4216-bd8c-120adbc53923"
"Check adverse events","Activity_32","Check adverse events","Activity","","d08812e7-a464-4b2c-b0a5-2ef03a94eedb"
"Subject supine","Activity_33","Supine","Activity","","72acd105-d082-4278-8d03-b29749e47ce2"
"Vital signs while supine","Activity_34","Vital Signs Supine","Activity","","3f645e3b-e4db-49c4-a153-dc97b1b72c5f"
"Subject Standing","Activity_35","Stand","Activity","","cde5b6a0-2e2f-4802-b502-135b7646f9d7"
"Vital signs while standing","Activity_36","Vital Signs Standing","Activity","","59eaaf40-0994-4c47-bbff-afd9cc66f6c2"
