"label","purpose","id","name","instanceType","text","description","uuid:ID"
"","","Endpoint_1","END1","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","0420951d-95c0-40a6-9862-003812838b89"
"","","Endpoint_2","END2","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","6e6c9a2a-e968-43e2-9fe3-1ac503b59b84"
"","","Endpoint_3","END3","Endpoint","Adverse events","","26f5d071-3ce3-40b8-9cd1-44fde03c1e48"
"","","Endpoint_4","END4","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","","10d05491-7b99-4eee-be81-db8e512a1020"
"","","Endpoint_5","END5","Endpoint","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","36800a06-3396-423d-ae69-367dd2b36e23"
"","","Endpoint_6","END6","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","82ec17af-6d11-4f39-8802-7511b7a3d498"
"","","Endpoint_7","END7","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","fff3e180-b3e4-4bc9-9954-8272826fd94a"
"","","Endpoint_8","END8","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","df8899cf-72e0-4596-aa8a-31af417eb8ce"
"","","Endpoint_9","END9","Endpoint","*** To be determined from protocol ***","","4f18227a-4981-403d-a10f-d01e04799602"
"","","Endpoint_10","END10","Endpoint","*** To be determined from protocol ***","","36d3d55c-07b4-4b07-b345-5f94c8ca238b"
"","","Endpoint_11","END11","Endpoint","*** To be determined from protocol ***","","566345b8-4ea7-410a-ba54-8fd111420e44"
