"label","windowLabel","id","valueLabel","name","instanceType","value","windowLower","description","windowUpper","uuid:ID"
"Screening","","Timing_1","2 weeks","TIM1","Timing","P2W","","Screening timing","","b00ec34c-5c80-4610-9f97-5427f02def74"
"Pre dose","-4..0 hours","Timing_2","2 days","TIM2","Timing","P2D","PT4H","Pre dose timing","PT0H","a5e87ec5-c4ce-4dc8-a9c6-45a479c36bc8"
"Dosing","","Timing_3","1 Day","TIM3","Timing","P1D","","Dosing anchor","","a6b99422-90ba-4d89-8a00-6a381e5c0e50"
"Week 2","-3..3 days","Timing_4","2 Weeks","TIM4","Timing","P2W","P3D","Week 2 timing","P3D","2208007b-56a0-4075-909b-e8a73f8dfd86"
"Week 4","-3..3 days","Timing_5","4 Weeks","TIM5","Timing","P4W","P3D","Week 4 timing","P3D","2c445fc9-8746-4e81-bbbb-eaa32a0a5965"
"Week 6","-3..3 days","Timing_6","6 Weeks","TIM6","Timing","P6W","P3D","Week 6 timing","P3D","641e2a8c-577c-4ae5-8fbc-2513b19f46d5"
"Week 8","-3..3 days","Timing_7","8 Weeks","TIM7","Timing","P8W","P3D","Week 8 timing","P3D","6eb37d4e-4c7d-4ca6-a9aa-5eec88893d05"
"Week 12","-4..4 days","Timing_9","12 Weeks","TIM9","Timing","P12W","P4D","Week 12 timing","P4D","b8942ba6-0ecc-4619-8881-2b1af7797594"
"Week 16","-4..4 days","Timing_11","16 Weeks","TIM11","Timing","P16W","P4D","Week 16 timing","P4D","d5204e9a-c5a5-450d-b892-7c182dc9a2bc"
"Week 20","-4..4 days","Timing_13","20 Weeks","TIM13","Timing","P20W","P4D","Week 20 timing","P4D","97b2379e-71ce-4155-9e92-922f1f3e22de"
"Week 24","-4..4 days","Timing_15","24 Weeks","TIM15","Timing","P24W","P4D","Week 24 timing","P4D","6be722d6-ce0d-47ee-9a67-de3ac2564181"
"Week 26","-3..3 days","Timing_16","26 Weeks","TIM16","Timing","P26W","P3D","Week 26 timing","P3D","71307686-73b1-4e5d-afca-e4a429ff459d"
"Week 8 Home","","Timing_8","2 Weeks","TIM8","Timing","P2W","","Week 8 at home timing","","1b3090e3-7f1c-419f-a7ff-29f057877e38"
"Week 12 Home","","Timing_10","2 Weeks","TIM10","Timing","P2W","","Week 12 at home timing","","55121da0-9c7e-4f92-ab41-c6c56933ff19"
"Week 16 Home","","Timing_12","2 Weeks","TIM12","Timing","P2W","","Week 16 at home timing","","d98e5fad-9689-4ecc-9824-deaac9c74691"
"Week 20 Home","","Timing_14","2 Weeks","TIM14","Timing","P2W","","Week 20 at home timing","","a347266e-b765-4bf6-aa7f-11dddb819393"
"Adverse Event","","Timing_17","1 Day","TIM17","Timing","P1D","","Adverse Event","","54e30c02-63eb-4a8d-9921-8a9fd776792e"
"Early Termination","","Timing_18","1 Day","TIM18","Timing","P1D","","Early Termination","","2993ca0d-bbdc-48de-aa70-df97c11a7761"
"Supine","","Timing_19","0 mins","TIM19","Timing","PT0M","","Supine","","722b7f7e-eb61-4823-8601-c2269f7b870d"
"VS while supine","","Timing_20","5 mins","TIM20","Timing","PT5M","","VS while supine","","06258dbe-f69a-429e-910d-0e448588d2d2"
"Standing","","Timing_21","0 min","TIM21","Timing","PT0M","","Standing","","27cc7378-65f8-4847-b4ba-c9e9994510c2"
"VS while standing","","Timing_22","1 min","TIM22","Timing","PT1M","","VS while standing","","e4238801-abc4-4dda-b1f8-67303a62c948"
"Standing","","Timing_23","0 min","TIM23","Timing","PT0M","","Standing","","29c21cb7-9c3b-4510-a1ee-407b08136ea8"
"VS while standing","","Timing_24","2 min","TIM24","Timing","PT2M","","VS while standing","","df25bfb3-1208-4563-adf1-3789e564bc6d"
