"label","id","name","instanceType","description","uuid:ID"
"Screen One","ScheduledActivityInstance_9","SCREEN1","ScheduledActivityInstance","-","24ae6194-4035-4048-a84a-623e3073f80d"
"Screen Two","ScheduledActivityInstance_10","SCREEN2","ScheduledActivityInstance","-","305342ed-6081-459d-a486-7320fed63823"
"Dose","ScheduledActivityInstance_11","DOSE","ScheduledActivityInstance","-","05bad0f4-fb76-41df-91c6-e5903b6d4f88"
"Week 2","ScheduledActivityInstance_12","WK2","ScheduledActivityInstance","-","6d28b9f5-667c-4dd7-a6ca-e3bc4301f35d"
"Week 4","ScheduledActivityInstance_13","WK4","ScheduledActivityInstance","-","9da88fe7-90ce-4292-83aa-db452cd7a4d7"
"Week 6","ScheduledActivityInstance_14","WK6","ScheduledActivityInstance","-","efcd18ca-ce5f-4d9c-86fa-5827a5858fe7"
"Week 8","ScheduledActivityInstance_15","WK8","ScheduledActivityInstance","-","ed495204-db36-4436-929b-2a6263fab0ad"
"Week NPI","ScheduledActivityInstance_16","WK8N","ScheduledActivityInstance","-","1573f230-930c-47ca-a768-81bc2a8b6bbf"
"Week 12","ScheduledActivityInstance_17","WK12","ScheduledActivityInstance","-","6e32e595-d25f-478e-a980-9773abfe086d"
"Week 12 NPI","ScheduledActivityInstance_18","WK12N","ScheduledActivityInstance","-","b5a87fc8-04e5-483f-a888-8c78f8d0cc4c"
"Week 16","ScheduledActivityInstance_19","WK16","ScheduledActivityInstance","-","6da79d54-a06c-4a0f-8565-879aa9699bf3"
"Week 16 NPI","ScheduledActivityInstance_20","WK16N","ScheduledActivityInstance","-","a23f3a0e-8d9f-49c9-bd7e-f8ed4a151916"
"Week 20","ScheduledActivityInstance_21","WK20","ScheduledActivityInstance","-","db0508b8-4ec5-4290-81da-090a7126dd9d"
"Week 20 NPI","ScheduledActivityInstance_22","WK20N","ScheduledActivityInstance","-","b108a776-0e9e-4467-82a5-5fcbd54d3436"
"Week 24","ScheduledActivityInstance_23","WK24","ScheduledActivityInstance","-","13b2e07c-61fd-457b-acb4-1d0384c8dc80"
"Week 26","ScheduledActivityInstance_24","WK26","ScheduledActivityInstance","-","9ba9a1ab-735b-418d-82d8-ff6a7a5b73c8"
"Adevers Event","ScheduledActivityInstance_1","AE","ScheduledActivityInstance","-","b0eedcdd-fc0f-4b64-944c-c957dd76df1a"
"Early Termination","ScheduledActivityInstance_2","ET","ScheduledActivityInstance","-","58dd0cb2-b23f-4c60-84b4-ee3a7426db7c"
"5 minute supine","ScheduledActivityInstance_3","VS_5MIN","ScheduledActivityInstance","","a6a38b77-3262-499a-8cca-8f1f8b2c5671"
"Vital signs supine","ScheduledActivityInstance_4","VS_SUPINE","ScheduledActivityInstance","","de4ef17d-ef3b-458e-8c2a-2aa179b46ba7"
"1 minute standing","ScheduledActivityInstance_5","VS_1MIN","ScheduledActivityInstance","","db2847c4-7ebb-416f-9a0b-b7b32a178248"
"Vital signs after 1 min standing","ScheduledActivityInstance_6","VS_STAND1","ScheduledActivityInstance","","584bdb32-2220-439e-9d29-fc2a79e4417c"
"2 minute standing","ScheduledActivityInstance_7","VS_2MIN","ScheduledActivityInstance","","fe0a0bfd-3f17-4903-849d-0bde03d10853"
"Vital signs after 3 min standing","ScheduledActivityInstance_8","VS_STAND3","ScheduledActivityInstance","","2fb50b79-363a-4af2-9a75-9361ab60ee31"
