"code","codeSystemVersion","id","instanceType","decode","uuid:ID","codeSystem"
"C98388","2023-12-15","Code_1","Code","Interventional Study","696f6a6d-acd6-46b2-9e1b-17c38fd63998","http://www.cdisc.org"
"C15601","2023-12-15","Code_2","Code","Phase II Trial","69b0e2e2-1ccb-46c5-bbff-185b320ad8bd","http://www.cdisc.org"
"C132352","2023-12-15","Code_9","Code","Sponsor Approval Date","6a7c2ba6-b262-4f0b-ae8f-390c99582a7d","http://www.cdisc.org"
"C68846","2023-12-15","Code_10","Code","Global","b65ee6de-2f5b-459c-b922-2ad10f66eacb","http://www.cdisc.org"
"C99904x3","2023-12-15","Code_72","Code","IRB/IEC Feedback","6045e165-8302-4e2e-b599-1cc247b6c40d","http://www.cdisc.org"
"C17649","2023-12-15","Code_73","Code","Other","d8688827-b72f-424d-aa23-9678c920000a","http://www.cdisc.org"
"C41129","2023-12-15","Code_75","Code","Region","934fbec8-3c5f-4a46-a4f3-573a828b5eb4","http://www.cdisc.org"
"150","2020-08","Code_74","Code","Europe","5b502fec-aca3-48a1-a9ef-13231b5a6f73","ISO 3166 1 alpha3"
"PHARMA","12","Code_4","Code","Eli Lilly","519f073e-f257-47f3-9672-96e281a2bd5f","SPONSOR"
"C70793","2023-12-15","Code_76","Code","Clinical Study Sponsor","bd83ced0-2f97-4d4b-9288-ed4317234028","http://www.cdisc.org"
"USA","2020-08","Code_77","Code","United States of America","595820a7-b09c-46c7-b981-810ccac9864c","ISO 3166 1 alpha3"
"C93453","2023-12-15","Code_78","Code","Study Registry","a52f9e86-7a07-49d4-9072-37953b63ceb8","http://www.cdisc.org"
"USA","2020-08","Code_79","Code","United States of America","7577e813-e344-4636-9113-07226025404a","ISO 3166 1 alpha3"
"C49656","2023-12-15","Code_137","Code","Treatment Study","b0515673-c7f6-40d0-82e7-262e6ff191ef","http://www.cdisc.org"
"C49666","2023-12-15","Code_138","Code","Efficacy Study","d1fe5c9b-bab2-47da-bb9c-d66d0a3edc6c","http://www.cdisc.org"
"C49667","2023-12-15","Code_139","Code","Safety Study","0948dd5c-f2da-48b6-8692-f8237b549a6f","http://www.cdisc.org"
"C49663","2023-12-15","Code_140","Code","Pharmacokinetic Study","0318308f-558e-4ca5-9348-6be290b7c64e","http://www.cdisc.org"
"MILD_MOD_ALZ","12","Code_134","Code","Mild to Moderate Alzheimer's Disease","cc8ff896-c49b-4ae3-89c1-dfd46bd0954e","SPONSOR"
"26929004","January 31, 2018","Code_135","Code","Alzheimer's disease","ccacd686-2b25-475c-97d5-0f052df61ae9","SNOMED"
"C99907x1","2023-12-15","Code_143","Code","EXTENSION","4e0ea84b-38c2-4e36-a93a-30dcaca05f8c","http://www.cdisc.org"
"C98704","2023-12-15","Code_144","Code","ADAPTIVE","f60091d2-dfdf-4517-9a9f-ced2aa45a1f6","http://www.cdisc.org"
