"label","id","name","instanceType","synonyms","uuid:ID","reference"
"Sex","BiomedicalConcept_20","Sex","BiomedicalConcept","","d242d02b-4ce0-4f88-9643-89894a99cf21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","BiomedicalConcept_21","Race","BiomedicalConcept","['Racial Group']","02901006-c854-434f-be0c-6cbee27ceb0f","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","BiomedicalConcept_22","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","e941a5e9-1c17-49a2-b01b-86a1255d5d37","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","BiomedicalConcept_23","Weight","BiomedicalConcept","['Weight', 'Body Weight']","e8cd1283-a3d8-4969-a880-98034ab17912","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","BiomedicalConcept_24","Height","BiomedicalConcept","['Height', 'Body Height']","d7d1ff2a-25c3-476a-962d-ddba54814094","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","0f17888c-1bbd-4700-9c4f-97b1edb2b51b","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","BiomedicalConcept_26","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","3ff69107-2791-4119-9c14-d74ab1fde978","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","e82a9131-8f6a-4eb1-918b-3fc4131de292","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","282800b8-c228-4889-aa2b-6c170cefefb2","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","BiomedicalConcept_29","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","8fb5bb3c-56d5-4cbb-ac02-d912b54daa62","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","BiomedicalConcept_30","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","a594527d-1f49-4cef-abc2-acf7f10a4ce9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","BiomedicalConcept_31","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","d1ed6031-63c6-4407-9dcf-524dc505be60","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","ac16df11-932e-45f2-839b-fcde4ec0f9d1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","BiomedicalConcept_1","Adverse Event Prespecified","BiomedicalConcept","['Adverse Event', 'Solicited Adverse Event']","cc82a266-793b-4f41-9f95-ee8fd19e141d","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","BiomedicalConcept","['SYSBP', 'Systolic Blood Pressure']","8521b83c-0bbc-4d88-a1e8-38e7e4519a2c","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","BiomedicalConcept","['DIABP', 'Diastolic Blood Pressure']","38397c89-7fc5-4646-bbba-7223bc989254","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","BiomedicalConcept_4","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","700ad59b-a8eb-4e5c-908f-1ab8b5fe26da","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","BiomedicalConcept_5","Weight","BiomedicalConcept","['Weight', 'Body Weight']","4c9b0f52-37f8-4b20-88d9-653ed2443a64","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","BiomedicalConcept_6","Height","BiomedicalConcept","['Height', 'Body Height']","ebfc53cf-3287-4057-be83-8b9e6dc03868","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","3b008dec-42d6-4e2d-93be-1ad757213159","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","BiomedicalConcept_8","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","30ef4464-719a-4db6-b06b-5be1ad8ae075","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","4135a52c-80b7-4ee0-8e16-7412c2bd86c2","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
