"id","name","instanceType","text","uuid:ID"
"TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier","47b68044-a614-4199-8382-1728a4e4eda9"
"TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities","5b7bcaef-ef93-4d65-baab-8b7fa55605e3"
"TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","9f99282b-99cb-4413-9745-182f57ac462f"
"TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed","5e6ac495-16c4-4685-9553-08f34e58166b"
"TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule","Radomized","508b5b7d-bd46-4be1-9a07-7a326dc55dfc"
"TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule","End of treatment","e7703e87-199d-4069-bc35-c0774918002d"
"TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule","Informed consent","11045966-5bab-4faa-8319-96aa439a51bf"
"TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","2cc865ba-eab0-4736-927b-e7f547bb7755"
"TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule","Administration of first dose","1be5e6e3-ec11-41a2-87d8-2082550e5880"
"TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)","1694423b-c36d-4173-8f33-0b72987f58d0"
"TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","52d52e6d-9d5a-4257-a118-24f0311c4c4f"
"TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule","Administration of first dose","8e8e7ca0-f631-4031-a53b-b6fc141c5b31"
"TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule","Randomized","b68c7a41-abe8-4fda-9fbe-1a6cd52d0df0"
"TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","f1e54642-b5c5-4fd2-b5a1-195efcea8617"
"TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","d9276440-9f5c-47fa-b122-60ef6ec42a2f"
