"name","id","description","instanceType","label","uuid:ID"
"E1","Encounter_1","Screening encounter","Encounter","Screening 1","775a875e-0870-441f-a76a-5b9fbe1739fd"
"E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter","Screening 2","5bbb005c-8042-4258-a096-586a43886c35"
"E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter","Baseline","087075b5-73a3-40b5-baee-615d00da790a"
"E4","Encounter_4","Day 14","Encounter","Week 2","15ec22e0-f248-4f5a-9715-e805473c401e"
"E5","Encounter_5","Day 28","Encounter","Week 4","a4d40b0f-885a-4b55-9e9b-9127ff26cc19"
"E7","Encounter_6","Day 42","Encounter","Week 6","432ba506-10aa-48ae-9436-2e43b917e26f"
"E8","Encounter_7","Day 56","Encounter","Week 8","6c027464-e6a2-4a0f-a0cf-85e259c15780"
"E9","Encounter_8","Day 84","Encounter","Week 12","70433c37-d679-4e2e-9006-4cff5f3c4e91"
"E10","Encounter_9","Day 112","Encounter","Week 16","60185c59-1fad-4023-9c36-1d55bfb82086"
"E11","Encounter_10","Day 140","Encounter","Week 20","c0881f26-809f-4cbc-8203-47a354af549e"
"E12","Encounter_11","Day 168","Encounter","Week 24","b8cb472a-1df7-4102-9c7c-85cc7970947b"
"E13","Encounter_12","Day 182","Encounter","Week 26","150379dd-259e-4af0-83a1-1f39be19683c"
