"name","id","text","instanceType","uuid:ID"
"ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","TransitionRule","2dba7a47-0b00-4fd1-b064-94771e0ee10c"
"ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","TransitionRule","94d3f7fb-e0f7-4936-a4d9-e0bb37153a53"
"ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","e19714bf-1124-4622-93e4-4f04ca0ac5bc"
"ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","1276bb0e-09ff-451f-8671-bcd9f31f876a"
"ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","TransitionRule","988ca963-d862-4eb3-aa42-74102ac0062f"
"ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","TransitionRule","3399fd21-a129-4149-883a-05f49b153e37"
"ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","TransitionRule","6385582a-0cea-4157-bda2-f256fab2fc5c"
"ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","8ce55e66-bf76-4df7-88c6-cb0791683c66"
"ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","TransitionRule","3bfaad15-6d0c-4ce6-ac3b-d1cfd133b3a9"
"ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","bc0d851d-135a-477a-8802-2565bba8e6b1"
"ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","6b171a5e-e894-43f0-bc84-a08b3e891d66"
"ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","TransitionRule","115f5f6d-775d-4967-b164-79db3260b5fa"
"ELEMENT_START_RULE_4","TransitionRule_11","Randomized","TransitionRule","0186ed85-8ecf-49b5-ab2c-265f6d92626d"
"ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","dd1084fe-a996-4146-9a60-c3b79c3432d3"
"ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","3f8a38a8-8bd2-42e9-9916-d9f8510d6219"
