"name","windowUpper","id","description","value","instanceType","window","label","uuid:ID","windowLower"
"TIM1","","Timing_1","Screening timing","P2W","Timing","","Screening","886b2b20-f6b2-4def-858f-1ddbab3e5af0",""
"TIM2","PT0H","Timing_2","Pre dose timing","P2D","Timing","-4..0 hours","Pre dose","f527991f-8671-4adc-a3d5-7fd7c327eb47","PT4H"
"TIM3","","Timing_3","Dosing anchor","P1D","Timing","","Dosing","5c501f6a-cbea-44c3-a316-370f4307f7ef",""
"TIM4","P3D","Timing_4","Week 2 timing","P2W","Timing","-3..3 days","Week 2","4e033a64-af97-47ef-b847-4aad751a12ff","P3D"
"TIM5","P3D","Timing_5","Week 4 timing","P4W","Timing","-3..3 days","Week 4","ec81aa10-69b5-44a7-a9c4-5670b72e17a7","P3D"
"TIM6","P3D","Timing_6","Week 6 timing","P6W","Timing","-3..3 days","Week 6","12f27075-ff12-4633-8e5c-48dfa1b6081a","P3D"
"TIM7","P3D","Timing_7","Week 8 timing","P8W","Timing","-3..3 days","Week 8","fac91c79-5253-47b1-8ab2-d5679a10b787","P3D"
"TIM9","P4D","Timing_9","Week 12 timing","P12W","Timing","-4..4 days","Week 12","f9bc9aef-3d16-4f82-bf29-6bd7f7d19b71","P4D"
"TIM11","P4D","Timing_11","Week 16 timing","P16W","Timing","-4..4 days","Week 16","e3991442-a5eb-499d-8c48-c7880de981b0","P4D"
"TIM13","P4D","Timing_13","Week 20 timing","P20W","Timing","-4..4 days","Week 20","30871621-da1e-408b-be63-78eabf853f64","P4D"
"TIM15","P4D","Timing_15","Week 24 timing","P24W","Timing","-4..4 days","Week 24","1721066c-e93e-4c8f-9ec3-ddfdd4c25f4f","P4D"
"TIM16","P3D","Timing_16","Week 26 timing","P26W","Timing","-3..3 days","Week 26","31c5d297-4dc6-41aa-b197-65d78e4bc5c8","P3D"
"TIM8","","Timing_8","Week 8 at home timing","P2W","Timing","","Week 8 Home","dd6bf377-52b3-48d4-a120-d7c695252910",""
"TIM10","","Timing_10","Week 12 at home timing","P2W","Timing","","Week 12 Home","cb055349-c20c-4f0c-96b3-771b3b87ee06",""
"TIM12","","Timing_12","Week 16 at home timing","P2W","Timing","","Week 16 Home","e6e65b11-4967-45be-9a5b-57df5c4581ab",""
"TIM14","","Timing_14","Week 20 at home timing","P2W","Timing","","Week 20 Home","5298c7de-0b75-4729-8a4b-5f53eac77c79",""
"TIM17","","Timing_17","Adverse Event","P1D","Timing","","Adverse Event","e7bd5eac-0b91-40ae-8a95-85f134e738d8",""
"TIM18","","Timing_18","Early Termination","P1D","Timing","","Early Termination","3804e935-2306-4969-94d8-1bc362efdecd",""
"TIM19","","Timing_19","Supine","PT0M","Timing","","Supine","262f3a43-2d52-4348-8b00-c965144317b3",""
"TIM20","","Timing_20","VS while supine","PT5M","Timing","","VS while supine","6f1cd2dc-5f61-44b1-a59c-15353c531c1b",""
"TIM21","","Timing_21","Standing","PT0M","Timing","","Standing","5fbb54c4-bedf-4d3d-a614-c5b40c379fd7",""
"TIM22","","Timing_22","VS while standing","PT1M","Timing","","VS while standing","40043f9b-fa79-4c9a-bb20-6f8d13bd1662",""
"TIM23","","Timing_23","Standing","PT0M","Timing","","Standing","d93d8ec2-1bd3-43f8-a028-4e4c74338343",""
"TIM24","","Timing_24","VS while standing","PT2M","Timing","","VS while standing","35128c3e-1234-4c3c-bb06-4128b5cb7c7e",""
