"name","id","instanceType","label","reference","synonyms","uuid:ID"
"Body Temperature","BiomedicalConcept_20","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","8063a826-05a5-4062-8085-6459b0fb63ff"
"Body Weight","BiomedicalConcept_21","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","9c8f7f52-a09a-4db3-8493-deae211ac437"
"Body Height","BiomedicalConcept_22","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","e3fbba68-4679-4906-aa09-2d16a54b6793"
"Alanine Aminotransferase Measurement","BiomedicalConcept_23","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","afc39111-6d11-42cb-b1ba-640038c3dcfb"
"Albumin Measurement","BiomedicalConcept_24","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","7dd7919b-0080-49ab-a03d-47359e7a7dce"
"Alkaline Phosphatase Measurement","BiomedicalConcept_25","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","b2b978db-0523-477f-ad83-03602bd7227a"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_26","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","4859d8a2-3dbc-4288-b146-55da5b5cd0b5"
"Creatinine Measurement","BiomedicalConcept_27","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","dac0bc1e-3555-4507-bd69-04bfdb01be31"
"Potassium Measurement","BiomedicalConcept_28","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","a2ae2027-828a-4d87-add1-8f89fc9fd5dd"
"Sodium Measurement","BiomedicalConcept_29","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","47df643c-1515-4192-83d6-ba48ed6baad2"
"Adverse Event","BiomedicalConcept_1","BiomedicalConcept","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","f90c6ab0-30bc-4f90-8f03-338434ee5f9f"
"Systolic Blood Pressure","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","08b38702-3a3f-40a7-9045-deb9826ee6c5"
"Diastolic Blood Pressure","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","7d0dade6-6def-4c62-9f4f-35291ed6a0c9"
"Body Temperature","BiomedicalConcept_4","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","daafd0e8-fb00-48aa-abe1-462fefd2b89c"
"Body Weight","BiomedicalConcept_5","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","b005d6a4-c192-4c0f-8f2a-4b24c61be35a"
"Body Height","BiomedicalConcept_6","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","e45a8fa5-84bd-456c-8e1a-39408a3d333c"
"Alanine Aminotransferase Measurement","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","11a4010f-13bf-49a2-bab9-03b53fd24055"
"Albumin Measurement","BiomedicalConcept_8","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","08b85d04-d251-46a9-ae6d-c7cd3679d0cd"
"Alkaline Phosphatase Measurement","BiomedicalConcept_9","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","d78a1c1d-4a4a-470c-b332-5a707b8920c6"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_10","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","2b724981-9ba5-4787-98d4-6649329a6edf"
"Creatinine Measurement","BiomedicalConcept_11","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","074ec688-45cd-4909-bfcc-6798d726d207"
"Potassium Measurement","BiomedicalConcept_12","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","07342152-d8c7-4163-9406-58625827c156"
"Sodium Measurement","BiomedicalConcept_13","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","f9e5c462-1805-4db1-973f-94013cbb82d6"
"Systolic Blood Pressure","BiomedicalConcept_14","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","ae1a48a2-fc36-4a26-bb63-22b34220766b"
"Diastolic Blood Pressure","BiomedicalConcept_15","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","3c984692-876a-4263-8c6b-b4ef2b36899b"
"Heart Rate","BiomedicalConcept_16","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","d91d3389-cf74-459c-89aa-c12c3ae45fec"
"Systolic Blood Pressure","BiomedicalConcept_17","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","965e09e7-f7a0-43d6-9cab-f52d1d887118"
"Diastolic Blood Pressure","BiomedicalConcept_18","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","6705aab4-a5bd-4170-a336-588c8ad44e8f"
"Heart Rate","BiomedicalConcept_19","BiomedicalConcept","Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","b0b8c809-ee5a-463c-b973-0cc730bea61a"
