"name","sectionNumber","id","text","instanceType","uuid:ID","sectionTitle"
"ROOT","0","NarrativeContent_1","","NarrativeContent","16341c1d-2127-42d0-9d10-7263e3364937","Root"
"SECTION 0","0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","a319d73c-654a-4930-b7c8-a548b9bd7f37","TITLE PAGE"
"SECTION 1","1","NarrativeContent_3","<div></div>","NarrativeContent","d2d09216-4868-4f46-9daf-a902c428aafb","PROTOCOL SUMMARY"
"SECTION 1.1","1.1","NarrativeContent_4","<div></div>","NarrativeContent","51535d4b-2bed-4f8e-b20a-e890ffca6710","Protocol Synopsis"
"SECTION 1.2","1.2","NarrativeContent_5","<div></div>","NarrativeContent","f2226a56-d330-404b-ad42-6c314de44840","Trial Schema"
"SECTION 1.3","1.3","NarrativeContent_6","<div></div>","NarrativeContent","918259c9-031a-431e-acc6-e3cd73c4b6be","Schedule of Activities"
"SECTION 2","2","NarrativeContent_7","<div></div>","NarrativeContent","52f18782-37ce-45d8-afa3-4646e5ab63bb","INTRODUCTION"
"SECTION 2.1","2.1","NarrativeContent_8","<div></div>","NarrativeContent","3b03b833-a00d-4ae5-8d53-fd1c947ad8f1","Purpose of Trial"
"SECTION 2.2","2.2","NarrativeContent_9","<div></div>","NarrativeContent","a379e4d0-9717-40d3-b60d-e99a3f7513b8","Summary of Benefits and Risks"
"SECTION 3","3","NarrativeContent_10","<div></div>","NarrativeContent","914d7c93-bb7d-4bf4-898f-9b03dcf5f61f","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"SECTION 3.1","3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","c65ec4d4-fd7c-43fb-a872-10bda8c29a51","Primary Objectives"
"SECTION 4","4","NarrativeContent_12","<div></div>","NarrativeContent","d98e0446-f42d-4437-b391-2acc53195c6f","TRIAL DESIGN"
"SECTION 4.1","4.1","NarrativeContent_13","<div></div>","NarrativeContent","c3980fa5-a49e-4ce6-9977-52f4dd64f8c9","Description of Trial Design"
"SECTION 4.1.1","4.1.1","NarrativeContent_14","<div></div>","NarrativeContent","9521b6a4-dacd-41ac-ba9b-abe2a0e05f2a","Participant Input into Design"
"SECTION 4.2","4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","4641675a-23f7-4cb5-921e-c9cc7d639875","Rationale for Trial Design"
"SECTION 4.2.1","4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","80b5e074-e28c-4af7-a7c9-49989e387d96","Rationale for Comparator"
"SECTION 4.2.2","4.2.2","NarrativeContent_17","<div></div>","NarrativeContent","9ff8f591-65e9-4c1d-a103-97204c0a7ac4","Rationale for Adaptive or Novel Trial Design"
"SECTION 4.2.3","4.2.3","NarrativeContent_18","<div></div>","NarrativeContent","a27ee07b-c68d-4e7e-8265-75a84af8ba36","Other Trial Design Considerations"
"SECTION 4.3","4.3","NarrativeContent_19","<div></div>","NarrativeContent","931e04f4-b58f-475e-bc7a-78b328e9200f","Access to Trial Intervention After End of Trial"
"SECTION 4.4","4.4","NarrativeContent_20","<div></div>","NarrativeContent","15ca0de3-957b-415c-b8e1-50cdba1a88bb","Start of Trial and End of Trial"
"SECTION 5","5","NarrativeContent_21","<div></div>","NarrativeContent","754a4d23-4c47-4fa3-9aa2-0ac181aad0c2","TRIAL POPULATION"
