"instanceType","reference","name","label","uuid:ID","synonyms","id"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","8fba1324-0171-420b-8210-c0ee30c892aa","['Temperature']","BiomedicalConcept_20"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","44d3ec25-8271-4482-8d2f-d9b4e4ee9cc4","['Weight']","BiomedicalConcept_21"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","977c40a7-a818-4adf-b702-16e9b55821af","['Height']","BiomedicalConcept_22"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","8a001a53-4c8c-4aed-97a9-df785a58b3c9","['ALT', 'SGPT']","BiomedicalConcept_23"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","8c91c3bf-9b63-4537-b4d6-a6411d8483e3","['Albumin']","BiomedicalConcept_24"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","de52bf30-fd54-413e-839f-464432a57fbc","['Alkaline Phosphatase']","BiomedicalConcept_25"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","14fc99be-4cf7-4e61-aa9f-675c327be4a0","['AST', 'SGOT']","BiomedicalConcept_26"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement","ba0d10d0-79f0-410f-ad6c-e3664834d114","['Creatinine']","BiomedicalConcept_27"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement","d3b28b2d-3e7b-475f-bf4a-f57c2c3c13c8","['Potassium', 'K']","BiomedicalConcept_28"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement","7889fe71-ccdd-4040-a33d-e8ccfc615fdd","['Sodium', 'NA']","BiomedicalConcept_29"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","Adverse Event","6f6b0a9c-584a-4c89-9952-8ac3081aa544","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","Systolic Blood Pressure","5a06c98a-dfad-44b6-8475-e1560088474f","['SYSBP']","BiomedicalConcept_2"
"BiomedicalConcept","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","Diastolic Blood Pressure","4ebf4ce9-61b7-4870-8071-41f6fb98978f","['DIABP']","BiomedicalConcept_3"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","f3024384-727d-4c72-8be3-716f53b2f7ee","['Temperature']","BiomedicalConcept_4"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","95a84df3-f113-4f9b-97fd-79d31682f30b","['Weight']","BiomedicalConcept_5"
"BiomedicalConcept","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","b7759ee1-1b7d-4bc4-a143-d14f0d9084d3","['Height']","BiomedicalConcept_6"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","f2ef29d7-bc14-403f-9c8e-b6866b577ce6","['ALT', 'SGPT']","BiomedicalConcept_7"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","f0a299c8-27d0-4c08-b984-8e860890f2d0","['Albumin']","BiomedicalConcept_8"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","8ed20180-9b51-45ce-a939-9c41757aeb40","['Alkaline Phosphatase']","BiomedicalConcept_9"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","add4d73a-7ed3-4a38-afbd-03827ae68f6a","['AST', 'SGOT']","BiomedicalConcept_10"
"BiomedicalConcept","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement","88ec444f-c0a1-45db-a026-2cd361acf2cb","['Creatinine']","BiomedicalConcept_11"
"BiomedicalConcept","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement","6b3b4108-1ee6-4af5-b45f-50974bae1b05","['Potassium', 'K']","BiomedicalConcept_12"
