"instanceType","description","name","label","uuid:ID","id"
"Encounter","Screening encounter","E1","Screening 1","235720c1-31c2-4129-8cc8-bfbb07c56345","Encounter_1"
"Encounter","Screening encounter - Ambulatory ECG Placement","E2","Screening 2","12fcdb70-5a38-498c-ae30-8784490ceed8","Encounter_2"
"Encounter","Baseline encounter - Ambulatory ECG Removal","E3","Baseline","a3b05806-d31f-4f24-bb83-c2083f41ec7b","Encounter_3"
"Encounter","Day 14","E4","Week 2","e28405e3-d35d-4b84-a615-5a5cf9915c24","Encounter_4"
"Encounter","Day 28","E5","Week 4","28ac92e0-e129-4baf-a25c-0e993e8e35e3","Encounter_5"
"Encounter","Day 42","E7","Week 6","ed58f115-499f-4580-9fb2-1220963ead60","Encounter_6"
"Encounter","Day 56","E8","Week 8","12ccd158-9884-4f2f-978d-97076aeb59af","Encounter_7"
"Encounter","Day 84","E9","Week 12","527b9291-3f1d-4923-9f79-aa6c02559559","Encounter_8"
"Encounter","Day 112","E10","Week 16","189d44e1-8876-424c-8629-6bff16ef49b6","Encounter_9"
"Encounter","Day 140","E11","Week 20","46abb50b-8472-41b0-ac02-8cadc489df57","Encounter_10"
"Encounter","Day 168","E12","Week 24","2519c0f6-9023-4a64-a82e-e9dcd733acd6","Encounter_11"
"Encounter","Day 182","E13","Week 26","3ce5e10f-c64e-46c6-9734-71be15c3e637","Encounter_12"
