"instanceType","name","text","uuid:ID","id"
"TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","dc20f2b7-4d8d-462c-bde4-51bf5d00f550","TransitionRule_1"
"TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","ac39a6c2-4d17-45eb-94f1-a252c83ebc03","TransitionRule_2"
"TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","411aebac-059f-4f27-be19-959abcdb754e","TransitionRule_3"
"TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","6b04ccac-5611-43b7-9c50-1d1e4bcea900","TransitionRule_4"
"TransitionRule","ENCOUNTER_START_RULE_3","Radomized","5a3f5f44-4613-4ef8-8f04-1912d15724ff","TransitionRule_5"
"TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","899a34b6-a101-4c95-83dc-5aec59a53e3b","TransitionRule_6"
"TransitionRule","ELEMENT_START_RULE_1","Informed consent","328fc8f3-24c7-47b0-a358-7999d347998a","TransitionRule_7"
"TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","78090576-f8ca-49fb-9f5f-a6aefc7134b0","TransitionRule_8"
"TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","c0dff683-47b4-4530-8e2c-1eec7a02f62f","TransitionRule_9"
"TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","d1253fc3-29e1-44af-9a47-37078a03b51e","TransitionRule_14"
"TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","62c5b136-79da-4150-9eb5-dac3925ad9cb","TransitionRule_15"
"TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","5aa647d1-9012-45f8-91f9-f1ec03f832a7","TransitionRule_10"
"TransitionRule","ELEMENT_START_RULE_4","Randomized","0bb378b4-8eb8-428f-8c0e-d155adab8e36","TransitionRule_11"
"TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","a6b55d65-848d-4f01-b81f-2c0a6d59abf6","TransitionRule_12"
"TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","a76f139c-91ff-4a2a-979e-e823ba7d9633","TransitionRule_13"
