"sectionNumber","instanceType","sectionTitle","name","text","uuid:ID","id"
"0","NarrativeContent","Root","ROOT","","ed6a09c8-3bd3-44e1-87b3-88ad67494495","NarrativeContent_1"
"0","NarrativeContent","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","4c34d130-42c5-45bb-99b3-1afdd7dce394","NarrativeContent_2"
"1","NarrativeContent","PROTOCOL SUMMARY","SECTION 1","<div></div>","698faa91-eff3-4d1f-8838-82a43a53f140","NarrativeContent_3"
"1.1","NarrativeContent","Protocol Synopsis","SECTION 1.1","<div></div>","ff25e2cd-ddd7-432d-8e95-31f820876cf1","NarrativeContent_4"
"1.2","NarrativeContent","Trial Schema","SECTION 1.2","<div></div>","a29c82bc-4b15-4c49-8f29-a67a961d9873","NarrativeContent_5"
"1.3","NarrativeContent","Schedule of Activities","SECTION 1.3","<div></div>","7ed2528d-4fd9-4c50-b214-526b8372e846","NarrativeContent_6"
"2","NarrativeContent","INTRODUCTION","SECTION 2","<div></div>","58960865-fedb-4b6d-8033-8da7e8265b6c","NarrativeContent_7"
"2.1","NarrativeContent","Purpose of Trial","SECTION 2.1","<div></div>","e6e3d193-200b-450a-9707-83c8dc983e03","NarrativeContent_8"
"2.2","NarrativeContent","Summary of Benefits and Risks","SECTION 2.2","<div></div>","043d550c-7e8e-44ab-a3f0-8f7bea94ef63","NarrativeContent_9"
"3","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","a0b09773-c053-4f32-9642-3da86ef959e7","NarrativeContent_10"
"3.1","NarrativeContent","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","aac03f4f-77fd-42ca-99bd-9e541d1a3bfb","NarrativeContent_11"
"4","NarrativeContent","TRIAL DESIGN","SECTION 4","<div></div>","f2925adc-21fd-4097-ad1e-400e8616ef89","NarrativeContent_12"
"4.1","NarrativeContent","Description of Trial Design","SECTION 4.1","<div></div>","0c4b517e-e0b3-47b0-8b3c-771b49d96daf","NarrativeContent_13"
"4.1.1","NarrativeContent","Participant Input into Design","SECTION 4.1.1","<div></div>","5b97b4fc-2830-40b5-bf0c-5b0e2752559d","NarrativeContent_14"
"4.2","NarrativeContent","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","60252f7b-0dd3-43d9-bf0c-eca993401bc3","NarrativeContent_15"
"4.2.1","NarrativeContent","Rationale for Comparator","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","8e3a53ec-dc92-4f68-89a2-bbb54806681e","NarrativeContent_16"
"4.2.2","NarrativeContent","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","9369497f-3d99-4fde-a65f-d483ee1d605a","NarrativeContent_17"
"4.2.3","NarrativeContent","Other Trial Design Considerations","SECTION 4.2.3","<div></div>","fda380f7-7e26-4aa5-9e7c-5af3a1f79d52","NarrativeContent_18"
"4.3","NarrativeContent","Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","5327479b-cab6-463d-9d0d-300a66a73a6c","NarrativeContent_19"
