"instanceType","description","windowUpper","name","label","window","windowLower","value","uuid:ID","id"
"Timing","Screening timing","","TIM1","Screening","","","P2W","87b46e77-f7ac-4c3c-a657-2f77fcb518b8","Timing_1"
"Timing","Pre dose timing","PT0H","TIM2","Pre dose","-4..0 hours","PT4H","P2D","4e32f0fa-91a6-4ffa-8f5e-9739badcb001","Timing_2"
"Timing","Dosing anchor","","TIM3","Dosing","","","P1D","63d5d557-a250-42eb-a71e-ccd6e80df8ea","Timing_3"
"Timing","Week 2 timing","P3D","TIM4","Week 2","-3..3 days","P3D","P2W","e502cfb5-16e8-4608-933b-ad14c647294c","Timing_4"
"Timing","Week 4 timing","P3D","TIM5","Week 4","-3..3 days","P3D","P4W","7b235789-550a-4e0d-a196-7bef388534a2","Timing_5"
"Timing","Week 6 timing","P3D","TIM6","Week 6","-3..3 days","P3D","P6W","a276e36f-eb0d-47e2-a8ac-495ffdc93096","Timing_6"
"Timing","Week 8 timing","P3D","TIM7","Week 8","-3..3 days","P3D","P8W","c4ccb021-0558-4b2b-ab17-2d7ed4d4583e","Timing_7"
"Timing","Week 12 timing","P4D","TIM9","Week 12","-4..4 days","P4D","P12W","96ddc688-1657-4cb5-bf00-4233cad27dfc","Timing_9"
"Timing","Week 16 timing","P4D","TIM11","Week 16","-4..4 days","P4D","P16W","4dcceb00-4c02-48d0-9862-53fe5e2f07bb","Timing_11"
"Timing","Week 20 timing","P4D","TIM13","Week 20","-4..4 days","P4D","P20W","9a200978-d5c7-43be-9c55-85bf65d5bd63","Timing_13"
"Timing","Week 24 timing","P4D","TIM15","Week 24","-4..4 days","P4D","P24W","abcb8333-0e06-452a-ae28-27456a321049","Timing_15"
"Timing","Week 26 timing","P3D","TIM16","Week 26","-3..3 days","P3D","P26W","cee20540-6a11-414f-ae95-e10c31c03ff9","Timing_16"
"Timing","Week 8 at home timing","","TIM8","Week 8 Home","","","P2W","8574dca8-a148-479c-854f-9275d9f21c5c","Timing_8"
"Timing","Week 12 at home timing","","TIM10","Week 12 Home","","","P2W","4b41d289-81ee-411e-bc9c-75461c7d7dbc","Timing_10"
"Timing","Week 16 at home timing","","TIM12","Week 16 Home","","","P2W","1bd670da-37a8-424d-be0f-8e196c24e122","Timing_12"
"Timing","Week 20 at home timing","","TIM14","Week 20 Home","","","P2W","bfa4d7d6-8300-4739-86dd-7f7a6cd8329a","Timing_14"
"Timing","Adverse Event","","TIM17","Adverse Event","","","P1D","7a5d33c3-c2e7-4a37-9130-219b607ca974","Timing_17"
"Timing","Early Termination","","TIM18","Early Termination","","","P1D","dee2a804-c2b6-410d-9b9b-5856b149df62","Timing_18"
"Timing","Supine","","TIM19","Supine","","","PT0M","0e059608-fe89-499b-87ab-c2958d417892","Timing_19"
"Timing","VS while supine","","TIM20","VS while supine","","","PT5M","d1037ca3-252a-4482-9c06-9713cb07cee8","Timing_20"
"Timing","Standing","","TIM21","Standing","","","PT0M","9acebf4a-db22-4ffc-9588-37ba22a2bb62","Timing_21"
"Timing","VS while standing","","TIM22","VS while standing","","","PT1M","b680f8d8-2051-469a-8627-c6930d5f89d5","Timing_22"
"Timing","Standing","","TIM23","Standing","","","PT0M","e18dc168-b9d5-434e-8a56-dcb36fe77618","Timing_23"
"Timing","VS while standing","","TIM24","VS while standing","","","PT2M","d440f665-e0e3-40bd-845c-a8e7227edf37","Timing_24"
