"codeSystem","instanceType","code","codeSystemVersion","uuid:ID","decode","id"
"http://www.cdisc.org","Code","C98388","2023-09-29","71562b10-e69b-4111-84e2-bfaf9a811033","Interventional Study","Code_1"
"http://www.cdisc.org","Code","C15601","2023-09-29","2f16789b-fa54-4d66-952c-df386fcb3c68","Phase II Trial","Code_2"
"http://www.cdisc.org","Code","C132352","2023-09-29","69e604e7-b162-498f-bbd5-d323e33c7432","Sponsor Approval Date","Code_9"
"http://www.cdisc.org","Code","C68846","2023-09-29","248fbaf1-15e7-4304-bb62-d5c1e372e28d","Global","Code_10"
"http://www.cdisc.org","Code","C99904x3","2023-09-29","aea2a61c-2e1a-4213-8a04-2ecdb260fbc3","IRB/IEC Feedback","Code_72"
"http://www.cdisc.org","Code","C17649","2023-09-29","32e3dae6-220e-4e45-ad72-707c5213e2b6","Other","Code_73"
"http://www.cdisc.org","Code","C41129","2023-09-29","adf2b99f-6646-48ad-b8bf-8a6400f0ac9e","Region","Code_75"
"ISO 3166 1 alpha3","Code","150","2020-08","0fa62f67-5fb1-4a7f-88ba-a5eedd1a583a","Europe","Code_74"
"SPONSOR","Code","PHARMA","12","0eaba87e-116e-4539-8dbd-9a1bd8b2a622","Eli Lilly","Code_4"
"http://www.cdisc.org","Code","C70793","2023-09-29","640364c4-e5db-4bc2-a538-b1cfa16b40dd","Clinical Study Sponsor","Code_76"
"ISO 3166 1 alpha3","Code","DNK","2020-08","d9a8d328-0db6-4be2-8d81-37244b7393dc","Denmark","Code_77"
"http://www.cdisc.org","Code","C93453","2023-09-29","48feff19-4cac-4f98-9df5-5f9717987baf","Study Registry","Code_78"
"http://www.cdisc.org","Code","C49656","2023-09-29","4e35b4ce-03d0-4395-a87c-8e43daf3ef55","Treatment Study","Code_136"
"http://www.cdisc.org","Code","C49666","2023-09-29","5d3f95c0-bc91-4d18-b930-741611f99b31","Efficacy Study","Code_137"
"http://www.cdisc.org","Code","C49667","2023-09-29","70990835-dbc2-4d3e-8ad1-e3213d8fcccf","Safety Study","Code_138"
