"isRequired","instanceType","isEnabled","name","label","datatype","uuid:ID","id"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","afa345a3-f3eb-4b47-9a19-0a5d07bae319","BiomedicalConceptProperty_98"
"True","BiomedicalConceptProperty","True","Unit of Temperature","Unit of Temperature","string","d48d3204-1b2f-4ac1-9d56-f81ab9cf31f1","BiomedicalConceptProperty_99"
"True","BiomedicalConceptProperty","True","Vital Signs Location","Vital Signs Location","string","c5038a6a-48bf-4500-abc1-075ceb02038c","BiomedicalConceptProperty_100"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","95905010-f956-4226-8711-8075884a58ed","BiomedicalConceptProperty_101"
"True","BiomedicalConceptProperty","True","Unit of Weight","Unit of Weight","string","5e1125df-4c2a-4140-b2d4-4da9f0bcfb61","BiomedicalConceptProperty_102"
"True","BiomedicalConceptProperty","True","Vital Signs Result","Vital Signs Result","decimal","f3ed63cd-8c57-4bad-bb12-45592afe6382","BiomedicalConceptProperty_103"
"True","BiomedicalConceptProperty","True","Unit of Height","Unit of Height","string","17f3cdf0-c546-4fdb-b894-290accfa609d","BiomedicalConceptProperty_104"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","04109be2-366d-4a8f-a554-d27df1699a47","BiomedicalConceptProperty_105"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","ec85cde0-7e24-41ca-b943-30862a41e5e5","BiomedicalConceptProperty_106"
"True","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","179ed6c6-c847-4e5b-8d40-f59e13cc4825","BiomedicalConceptProperty_107"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","fabc16f8-f120-4dc2-8ccd-4baa7a3b968b","BiomedicalConceptProperty_108"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","string","d37bcde7-04ba-4743-8dc5-96886489a3bf","BiomedicalConceptProperty_109"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","2eccaec7-9f77-4d04-960e-7409884f5b13","BiomedicalConceptProperty_110"
"True","BiomedicalConceptProperty","True","Unit of Concentration","Unit of Concentration","string","6aad3183-52d7-44b2-b0b2-009b157fc246","BiomedicalConceptProperty_111"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","3feddc6b-70f4-4b0f-9046-968c72abe590","BiomedicalConceptProperty_112"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","ab23853f-aa65-42a9-8764-8bf224e78419","BiomedicalConceptProperty_113"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","79ec949d-5d2b-4336-b43a-fe14e0b6ae11","BiomedicalConceptProperty_114"
"True","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","5c885de7-3eac-4b62-8042-3fd64b2a30c8","BiomedicalConceptProperty_115"
"True","BiomedicalConceptProperty","True","Biospecimen Type","Biospecimen Type","string","aabeeb23-ab64-44a7-949b-e51f6d9b5df6","BiomedicalConceptProperty_116"
"True","BiomedicalConceptProperty","True","Laboratory Test Result","Laboratory Test Result","decimal","b93b3e88-bf72-44b3-9e00-dfbbd3a5e1a7","BiomedicalConceptProperty_117"
"True","BiomedicalConceptProperty","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean","8e294114-90ef-4015-bcd2-06d373656c91","BiomedicalConceptProperty_118"
"True","BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string","99561dc0-f699-4d84-9c51-2e64008b3129","BiomedicalConceptProperty_119"
