"instanceType","value","uuid:ID","windowUpper","description","windowLower","id","window","label","name"
"Timing","P2W","c7df6619-7e2c-438a-9e41-9499d44e593b","","Screening timing","","Timing_1","","Screening","TIM1"
"Timing","P2D","f4d1853a-05dd-4933-aa39-ba81b4840298","PT0H","Pre dose timing","PT4H","Timing_2","-4..0 hours","Pre dose","TIM2"
"Timing","P1D","0c09c228-09f5-491f-9de1-7a358073b162","","Dosing anchor","","Timing_3","","Dosing","TIM3"
"Timing","P2W","2a7428ce-9e80-4411-af00-5bf349d1fd7c","P3D","Week 2 timing","P3D","Timing_4","-3..3 days","Week 2","TIM4"
"Timing","P4W","e949373c-0e36-40bc-8c45-eaa0f73fdc89","P3D","Week 4 timing","P3D","Timing_5","-3..3 days","Week 4","TIM5"
"Timing","P6W","f9dccd65-8f69-4e17-bf67-0a5002b9b60f","P3D","Week 6 timing","P3D","Timing_6","-3..3 days","Week 6","TIM6"
"Timing","P8W","c7239430-abd0-4c21-bed0-034110cf3245","P3D","Week 8 timing","P3D","Timing_7","-3..3 days","Week 8","TIM7"
"Timing","P12W","b337b0cf-63d2-4f86-ad8b-847e267d3aa6","P4D","Week 12 timing","P4D","Timing_9","-4..4 days","Week 12","TIM9"
"Timing","P16W","83238b55-5f2f-4f42-a939-adb1a8daab0f","P4D","Week 16 timing","P4D","Timing_11","-4..4 days","Week 16","TIM11"
"Timing","P20W","e1a054aa-2e9e-4141-bb89-c42a28a7fea9","P4D","Week 20 timing","P4D","Timing_13","-4..4 days","Week 20","TIM13"
"Timing","P24W","1fbc5103-b25b-407c-b500-1128755e2913","P4D","Week 24 timing","P4D","Timing_15","-4..4 days","Week 24","TIM15"
"Timing","P26W","d3d13d8d-9197-419e-9f3b-1a773ea85475","P3D","Week 26 timing","P3D","Timing_16","-3..3 days","Week 26","TIM16"
"Timing","P2W","a6a53d18-9728-4bc3-9ff9-447c3d222ab2","","Week 8 at home timing","","Timing_8","","Week 8 Home","TIM8"
"Timing","P2W","0f7f82e0-b80a-447e-8247-4350d351c042","","Week 12 at home timing","","Timing_10","","Week 12 Home","TIM10"
"Timing","P2W","bca773a7-9222-4270-b697-50c6cb5f9911","","Week 16 at home timing","","Timing_12","","Week 16 Home","TIM12"
"Timing","P2W","05190cb3-18a1-4115-beb9-00f9450d9745","","Week 20 at home timing","","Timing_14","","Week 20 Home","TIM14"
"Timing","P1D","a64e29a1-10b4-4fc8-9ae5-ea703de1f7d6","","Adverse Event","","Timing_17","","Adverse Event","TIM17"
"Timing","P1D","ee42a7ab-92e7-44bf-8cd9-3a8268bc8d49","","Early Termination","","Timing_18","","Early Termination","TIM18"
"Timing","PT0M","4e2e3f43-bbaa-48a6-a6f0-a896c5fb968e","","Supine","","Timing_19","","Supine","TIM19"
"Timing","PT5M","34a87893-d774-40c5-86a1-3c60caec5a2f","","VS while supine","","Timing_20","","VS while supine","TIM20"
"Timing","PT0M","609daa52-6ac8-48d5-86ec-c288a77ce38e","","Standing","","Timing_21","","Standing","TIM21"
"Timing","PT1M","9e9df2c9-39f8-431a-a945-39bf147b5d6a","","VS while standing","","Timing_22","","VS while standing","TIM22"
"Timing","PT0M","6a067afc-a893-4de4-aa11-3fed8bee53f9","","Standing","","Timing_23","","Standing","TIM23"
"Timing","PT2M","322c7534-f8ed-41e6-84f6-005677cbc319","","VS while standing","","Timing_24","","VS while standing","TIM24"
