"instanceType","purpose","uuid:ID","description","id","text","label","name"
"Endpoint","","4d95bccc-0c14-427f-83c6-257470229c16","","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","END1"
"Endpoint","","628dd88e-dde6-4d3c-a24c-7d17d1343a15","","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","END2"
"Endpoint","","e781c3ef-8fad-4519-896d-ea4d123c3edb","","Endpoint_3","Adverse events","","END3"
"Endpoint","","7735f4bb-fceb-4784-a886-cd04e4d54ba3","","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","","END4"
"Endpoint","","c93ad64c-3793-4b6e-896f-81ec2a735e42","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","Laboratory evaluations (Change from Baseline)","","END5"
"Endpoint","","8d82b295-76bf-4d2b-bc8d-67c8bbcebeaa","","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","END6"
"Endpoint","","0e41edbe-f02c-43c9-90d7-15a87cff6cd1","","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","END7"
"Endpoint","","8f835ca0-bc8f-47e4-ad6e-ad654737eaf2","","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","END8"
"Endpoint","","33964973-1b6d-4ea0-a39d-12349edf5532","","Endpoint_9","*** To be determined from protocol ***","","END9"
"Endpoint","","3e364d1a-3cf6-4cee-945c-4ee130ae6f99","","Endpoint_10","*** To be determined from protocol ***","","END10"
"Endpoint","","15e28a59-360e-4c64-9b5c-32951303366f","","Endpoint_11","*** To be determined from protocol ***","","END11"
