"instanceType","uuid:ID","id","text","name"
"TransitionRule","ea865338-de8d-42a7-8ea3-50ff7562cb3d","TransitionRule_1","Subject identifier","ENCOUNTER_START_RULE_1"
"TransitionRule","5dee90c7-4c8e-4c46-a217-9e7cc748b46f","TransitionRule_2","completion of screening activities","ENCOUNTER_START_RULE_1"
"TransitionRule","d849b44b-2adf-4c92-83f7-f24be77e7f3f","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2"
"TransitionRule","05740fbd-be17-47af-8ca2-df282d93cb7f","TransitionRule_4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3"
"TransitionRule","0e7e86fe-a1b8-4a62-aed9-43a0a37e346e","TransitionRule_5","Radomized","ENCOUNTER_START_RULE_3"
"TransitionRule","8e6ff968-1eb0-4a21-be65-d3700c13f287","TransitionRule_6","End of treatment","ENCOUNTER_START_RULE_12"
"TransitionRule","78608f7c-b5f9-4118-bcf4-0a7b56a115b4","TransitionRule_7","Informed consent","ELEMENT_START_RULE_1"
"TransitionRule","60fdfc74-35a5-49d9-9c5e-536cbf44e74a","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1"
"TransitionRule","af8d08ae-7021-49f5-b207-720a35bdb232","TransitionRule_9","Administration of first dose","ELEMENT_START_RULE_2"
"TransitionRule","cda78120-4482-4212-af97-c2f6ce520e53","TransitionRule_14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7"
"TransitionRule","a19e98af-056c-4b1b-8f1c-46267609ac5a","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7"
"TransitionRule","ec83800e-7bda-4b8e-9de2-8a7857a1ec2d","TransitionRule_10","Administration of first dose","ELEMENT_START_RULE_3"
"TransitionRule","f82b6c78-4807-4e2d-b575-b709bb303280","TransitionRule_11","Randomized","ELEMENT_START_RULE_4"
"TransitionRule","d12ca226-a11b-4758-a73f-b2b38d500419","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5"
"TransitionRule","82446457-fa9f-4774-bdef-beb383e34cd5","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6"
