"instanceType","uuid:ID","description","id","label","name"
"Encounter","c3ef024c-ff84-4fe1-a19f-d1df1d14939a","Screening encounter","Encounter_1","Screening 1","E1"
"Encounter","db12e8d6-c0d7-4ff0-ac8a-20a37444748c","Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","E2"
"Encounter","ece87231-ee1c-4c10-96d5-f0c4b7ed1384","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","E3"
"Encounter","3a935835-51c3-4951-bf69-ba1b9d0c2c65","Day 14","Encounter_4","Week 2","E4"
"Encounter","6daf374a-378b-46de-83ce-129e6b7479e1","Day 28","Encounter_5","Week 4","E5"
"Encounter","8d7339e3-626c-487a-92f1-228d18cb771a","Day 42","Encounter_6","Week 6","E7"
"Encounter","448e0a85-2af4-4978-ab46-ed96ea876026","Day 56","Encounter_7","Week 8","E8"
"Encounter","4d151335-5a33-4019-90ea-33e81c4b5faf","Day 84","Encounter_8","Week 12","E9"
"Encounter","9d3f2812-48a0-4eb6-ada5-fdfe6db24e89","Day 112","Encounter_9","Week 16","E10"
"Encounter","89c2a791-cd48-4ee0-9eba-fbd2a9911c26","Day 140","Encounter_10","Week 20","E11"
"Encounter","59a1b1d1-b6f7-4e0a-b64c-b24c97b69996","Day 168","Encounter_11","Week 24","E12"
"Encounter","867b0942-71f1-4d10-95e3-5646042eac71","Day 182","Encounter_12","Week 26","E13"
