"instanceType","uuid:ID","description","id","label","name"
"Activity","456f8256-1962-4c25-8553-ae7074e6a773","","Activity_1","Informed consent","Informed consent"
"Activity","66880f0d-5338-4376-bd78-5c015c11b612","","Activity_2","Inclusion and exclusion criteria","Inclusion/exclusion criteria"
"Activity","5a8aa1b4-cc4c-499a-a3aa-c626f2b734b4","","Activity_3","Patient number assigned","Patient number assigned"
"Activity","4278f64b-efc0-4fad-94e2-b747a793e138","","Activity_4","Demographics","Demographics"
"Activity","60ce1289-8998-4224-96f4-82b388a88413","","Activity_5","Hachinski Ischemic Scale","Hachinski"
"Activity","01b58359-7b9d-4a0a-813e-33a609226926","","Activity_6","MMSE","MMSE"
"Activity","d55e869c-d29d-4ef2-921a-bfe92a7b9482","","Activity_7","Physical examination","Physical examination"
"Activity","b4c2ba90-589e-42ad-a642-7b2f11ccd974","","Activity_8","Medical history","Medical history"
"Activity","74f9379c-c250-4e47-a57a-03f4bbf2f8b4","","Activity_9","Habits","Habits"
"Activity","15f4fc55-2825-4d19-8bb3-56e9449e6eaa","","Activity_10","Chest X-ray","Chest X-ray"
"Activity","ffdb3704-eac2-445b-b43e-7b44c92f91c6","","Activity_11","Apo E genotyping","Apo E genotyping"
"Activity","988898bb-4e18-4b34-85fd-afb5c8656373","","Activity_12","Patient randomised","Patient randomised"
"Activity","18524bc2-3148-4713-81e8-a629084805f8","","Activity_13","Vital Signs and Temperature","Vital signs / Temperature"
"Activity","e4314cce-a176-40ee-bbd9-e9fe548871b1","","Activity_14","Ambulatory ECG placed","Ambulatory ECG placed"
"Activity","f75ed319-335b-4ad1-b055-9aabf494cd42","","Activity_15","Ambulatory ECG removed","Ambulatory ECG removed"
"Activity","b0fc4542-fc9c-4f71-9f69-2961c5f2ad2e","","Activity_16","ECG","ECG"
"Activity","530c0f2e-597c-4c3f-a119-bb3cc4c2b06c","","Activity_17","Placebo TTS test","Placebo TTS test"
"Activity","4126a345-a2ae-4aa5-b57a-b70666dca055","","Activity_18","CT scan","CT scan"
"Activity","b9d07b95-d0af-4e89-b17f-af3c9e81864f","","Activity_19","Concomitant medications","Concomitant medications"
"Activity","ee3f4e4b-ebba-4e1f-9ea6-b982d219461b","","Activity_20","Hematology","Hematology"
"Activity","2da3520b-47eb-4a26-98d1-9e53836953ec","","Activity_21","Chemistry","Chemistry"
"Activity","bd7ee180-2947-401e-8476-bf4e221e1e3f","","Activity_22","Uninalysis","Uninalysis"
"Activity","1af7a9cd-fcab-47b6-b9f7-4d884e1798a5","","Activity_23","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)"
"Activity","7a486f23-b794-458d-b638-766cda7e311e","","Activity_24","Hemoglobin A1C","Hemoglobin A1C"
"Activity","85881085-e59a-4330-8829-ef50f68dfcf7","","Activity_25","Study drug record , Medications dispensed, Medications returned","Study drug"
"Activity","711e0f5b-3254-4bf8-abeb-fc8a61ef60ab","","Activity_26","TTS Acceptability Survey","TTS Acceptability Survey"
"Activity","90f2f95c-8600-4a8c-a5bb-79fa84f45f33","","Activity_27","ADAS-Cog","ADAS-Cog"
"Activity","0830a641-19e9-4159-add5-254765af4903","","Activity_28","CIBIC+","CIBIC+"
"Activity","65d63764-3c22-473d-b388-d46a9a2419d0","","Activity_29","DAD","DAD"
"Activity","22e9c2dc-3c09-4b71-b6f4-4d65fa696b95","","Activity_30","NPI-X","NPI-X"
"Activity","667b4230-63f8-447e-9e61-cf4080476b48","","Activity_31","Adverse events","Adverse events"
"Activity","bef9c5d9-860b-4011-bc8b-e348c4f17ddb","","Activity_32","Check adverse events","Check adverse events"
"Activity","9c7fbc78-b697-4042-b079-4bd65b4461c4","","Activity_33","Subject supine","Supine"
"Activity","b0f1007c-69b9-414c-9d00-448ab730c20a","","Activity_34","Vital signs while supine","Vital Signs Supine"
"Activity","bb467813-79ae-42f4-873f-4a892e7ca631","","Activity_35","Subject Standing","Stand"
"Activity","cadb257f-4b84-45eb-93f9-a805da678e36","","Activity_36","Vital signs while standing","Vital Signs Standing"
