"instanceType","uuid:ID","codeSystem","id","decode","code","codeSystemVersion"
"Code","2e02f1cb-813f-4b3b-bed0-e159a53e5c32","http://www.cdisc.org","Code_1","Interventional Study","C98388","2023-09-29"
"Code","d22d14d8-6e2f-43d8-ba77-ff5ea89ec284","http://www.cdisc.org","Code_2","Phase II Trial","C15601","2023-09-29"
"Code","6305f46b-7b9a-45ea-a32f-16f0df59ab1e","http://www.cdisc.org","Code_9","Sponsor Approval Date","C132352","2023-09-29"
"Code","243aeb70-239e-4dfd-923b-d7cdfb65bb73","http://www.cdisc.org","Code_10","Global","C68846","2023-09-29"
"Code","79148329-85a7-486e-9d69-b475d2d418ac","http://www.cdisc.org","Code_72","IRB/IEC Feedback","C99904x3","2023-09-29"
"Code","7f7e9ae0-66e2-4f70-83f4-ab369891c616","http://www.cdisc.org","Code_73","Other","C17649","2023-09-29"
"Code","55b6f64a-be4a-42f3-aef4-3f76e092c44a","http://www.cdisc.org","Code_75","Region","C41129","2023-09-29"
"Code","0d2a3d54-4a5f-40bf-b8c1-ba96e09280d6","ISO 3166 1 alpha3","Code_74","Europe","150","2020-08"
"Code","365ce9ab-e727-4308-8ec3-cb91e12fb5da","SPONSOR","Code_4","Eli Lilly","PHARMA","12"
"Code","f7da37e5-52a6-4f19-b3f1-00034867a218","http://www.cdisc.org","Code_76","Clinical Study Sponsor","C70793","2023-09-29"
"Code","cf07f96b-a0f7-4e05-8c86-523fb043c73d","ISO 3166 1 alpha3","Code_77","United States of America","USA","2020-08"
"Code","a389a243-f92f-4a7b-ad0f-8e8f0b780f01","http://www.cdisc.org","Code_78","Study Registry","C93453","2023-09-29"
"Code","9a53ce88-4bef-4d5c-a11a-2665dc838ea2","ISO 3166 1 alpha3","Code_79","United States of America","USA","2020-08"
"Code","f9578012-122c-430e-b374-34ad95bdb0da","http://www.cdisc.org","Code_137","Treatment Study","C49656","2023-09-29"
"Code","3ec4e788-3582-4078-aecf-1989d9fe6941","http://www.cdisc.org","Code_138","Efficacy Study","C49666","2023-09-29"
"Code","a58cb857-683d-47f3-9b92-e9dc754f01c7","http://www.cdisc.org","Code_139","Safety Study","C49667","2023-09-29"
"Code","7928e033-ecdb-4231-9c1e-0e55f81dcac9","http://www.cdisc.org","Code_140","Pharmacokinetic Study","C49663","2023-09-29"
"Code","57ad03a1-0652-46d7-89ec-dcac316a6d34","SPONSOR","Code_134","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","12"
"Code","6b32e759-b820-4d2e-ac1c-5bb6b489a17b","SNOMED","Code_135","Alzheimer's disease","26929004","January 31, 2018"
"Code","a6358e9e-5562-4429-ba01-36860bd1fe5c","http://www.cdisc.org","Code_143","EXTENSION","C99907x1","2023-09-29"
"Code","2e1a8034-ca4f-4149-bb86-4904c3c77df1","http://www.cdisc.org","Code_144","ADAPTIVE","C98704","2023-09-29"
"Code","a165d36c-3550-4683-b84f-df9630a1bd1c","http://www.cdisc.org","Code_141","Parallel Study","C82639","2023-09-29"
"Code","5f4a2278-40a6-4aac-aecb-94e3c1859998","http://www.cdisc.org","Code_83","Visit","C25716","2023-09-29"
"Code","34dcec6a-8e3e-4456-9c9f-85ec9d807b52","http://www.cdisc.org","Code_84","Clinic","C51282","2023-09-29"
"Code","68d3beaa-52b7-4a80-87ee-6ad630a49936","http://www.cdisc.org","Code_85","In Person","C175574","2023-09-29"
"Code","72b6b177-6220-4c8c-b6f6-9f9e152551c3","http://www.cdisc.org","Code_86","Visit","C25716","2023-09-29"
"Code","4c87af46-d281-4614-86df-0458fad61d91","http://www.cdisc.org","Code_87","Clinic","C51282","2023-09-29"
"Code","29903c39-5333-4cfc-8a23-47a3594dfa3e","http://www.cdisc.org","Code_88","In Person","C175574","2023-09-29"
"Code","96ff5246-2d84-44b7-8f9b-22a06da4b36d","http://www.cdisc.org","Code_89","Visit","C25716","2023-09-29"
"Code","f475363b-3782-428c-a47b-4e460c47f49e","http://www.cdisc.org","Code_90","Clinic","C51282","2023-09-29"
"Code","c24cff2d-3be4-47e1-84bb-a620a407cec4","http://www.cdisc.org","Code_91","In Person","C175574","2023-09-29"
"Code","6d7cc74b-da99-4390-ad4d-934884ea1191","http://www.cdisc.org","Code_92","Visit","C25716","2023-09-29"
"Code","760b8225-e9e3-463c-9c04-c284d99f8dd5","http://www.cdisc.org","Code_93","Clinic","C51282","2023-09-29"
"Code","a7293c53-cd75-4dac-af6f-604ce5fc3dce","http://www.cdisc.org","Code_94","In Person","C175574","2023-09-29"
"Code","0b972b94-fa89-4118-b7d7-58c82bc2ed8f","http://www.cdisc.org","Code_95","Visit","C25716","2023-09-29"
"Code","60d748b8-a7f4-4d0f-9c55-ad378d8965b7","http://www.cdisc.org","Code_96","Clinic","C51282","2023-09-29"
"Code","8cf6feaa-05d7-41b7-8ee1-1a52c7261f88","http://www.cdisc.org","Code_97","In Person","C175574","2023-09-29"
"Code","d0576667-d9e7-44c4-8b24-0e6fd7f121d4","http://www.cdisc.org","Code_98","Visit","C25716","2023-09-29"
"Code","e56f54fa-7863-453a-b68b-75e3a4acd5f2","http://www.cdisc.org","Code_99","Clinic","C51282","2023-09-29"
"Code","bfacc1dc-0899-403d-a436-a29b2c64dba8","http://www.cdisc.org","Code_100","In Person","C175574","2023-09-29"
"Code","8eb58cdb-dda2-42c8-b7dd-ac85d659d059","http://www.cdisc.org","Code_101","Visit","C25716","2023-09-29"
"Code","73cd6371-c920-44a8-8d94-f6b2152681c6","http://www.cdisc.org","Code_102","Clinic","C51282","2023-09-29"
"Code","6546adca-a953-4dec-b2df-adf42df6284b","http://www.cdisc.org","Code_103","In Person","C175574","2023-09-29"
"Code","da79da2b-047b-4492-8d50-ba869c782387","http://www.cdisc.org","Code_104","Telephone Call","C171537","2023-09-29"
"Code","b7394a68-5d78-4967-b0fc-9532a6d4e247","http://www.cdisc.org","Code_105","Visit","C25716","2023-09-29"
"Code","ff383d21-6491-4b94-8c6a-6a87a5eae854","http://www.cdisc.org","Code_106","Clinic","C51282","2023-09-29"
"Code","7cf513c3-b90a-49b0-809a-5d400aae4980","http://www.cdisc.org","Code_107","In Person","C175574","2023-09-29"
"Code","f50a27ee-c0b5-4ddd-b86e-1d402a271250","http://www.cdisc.org","Code_108","Telephone Call","C171537","2023-09-29"
"Code","05db5f9d-950d-431b-8077-6e0e0e7bbbfc","http://www.cdisc.org","Code_109","Visit","C25716","2023-09-29"
"Code","459253b7-0b9f-4761-8b2f-9ddf070f66d8","http://www.cdisc.org","Code_110","Clinic","C51282","2023-09-29"
"Code","774366f2-7215-4fee-a4fb-8c840b7e6b67","http://www.cdisc.org","Code_111","In Person","C175574","2023-09-29"
"Code","38b40fea-ed9c-4f33-bf38-671d78e6db55","http://www.cdisc.org","Code_112","Telephone Call","C171537","2023-09-29"
"Code","9f434e32-0db2-4902-aaf1-e948d6d03267","http://www.cdisc.org","Code_113","Visit","C25716","2023-09-29"
"Code","b0993deb-a300-49b3-ab32-e82ba92261d8","http://www.cdisc.org","Code_114","Clinic","C51282","2023-09-29"
"Code","cad93659-149e-4d34-8bca-807c3fcfb90b","http://www.cdisc.org","Code_115","In Person","C175574","2023-09-29"
"Code","7407a0cb-3695-4c74-b4fe-126da9607320","http://www.cdisc.org","Code_116","Telephone Call","C171537","2023-09-29"
"Code","6765c22e-4d6e-43c8-91f5-407d35aad5e0","http://www.cdisc.org","Code_117","Visit","C25716","2023-09-29"
"Code","01f0de68-3301-4417-b29f-bb1b5ced5f98","http://www.cdisc.org","Code_118","Clinic","C51282","2023-09-29"
"Code","b1501f56-df23-4bc2-b844-46335d15b61e","http://www.cdisc.org","Code_119","In Person","C175574","2023-09-29"
"Code","16403b21-d6f3-4d4c-9e53-2f46de916833","http://www.cdisc.org","Code_120","Visit","C25716","2023-09-29"
"Code","0e0ab6c9-3582-4c53-8c16-489d1037372c","http://www.cdisc.org","Code_121","Clinic","C51282","2023-09-29"
"Code","83316471-51bc-44ba-877f-b8d24cf3f1aa","http://www.cdisc.org","Code_122","In Person","C175574","2023-09-29"
"Code","6190b365-c8b9-438f-9255-e79c4358d951","SNOMED","Code_80","CT of head without contrast","383371000119108","January 31, 2018"
"Code","7101204f-c481-4e60-8bc0-cd70c34e1f59","SPONSOR","Code_81","Subject Supine","123","12"
"Code","afae4643-4615-4ef4-9523-6ddf063b6fa2","SPONSOR","Code_82","Subject Standing","124","12"
"Code","9c0aa262-6dda-42f5-ac07-e7ddf00304e8","http://www.cdisc.org","Code_269","Male","C20197","2023-09-29"
"Code","d46faf61-2197-4746-ad07-19318810520c","http://www.cdisc.org","Code_270","Female","C16576","2023-09-29"
"Code","8d6a3f0b-00ad-452d-bbb5-c851a90b1ca1","NCI Thesaurus","Code_271","Sex","C28421",""
"Code","e0c00500-2fbc-4db5-b8b8-7cfd01711ba6","NCI Thesaurus","Code_268","Sex","C28421",""
"Code","1f5bf130-024f-41fe-bb07-fb578ff627e7","NCI Thesaurus","Code_273","Race","C17049",""
"Code","ae7f414c-0175-482c-ab68-45b162a00d2e","NCI Thesaurus","Code_272","Race","C17049",""
"Code","b6ad5790-d821-4050-b008-33e5e04b0585","NCI Thesaurus","Code_275","Clinical Test Result","C77140",""
"Code","742d3c6e-b4e4-40ef-bb4b-77fb8e8ba267","http://www.cdisc.org","Code_276","Kelvin","C42537","2023-09-29"
"Code","2ca48cc3-5714-4d92-86f2-4b2431e3b498","NCI Thesaurus","Code_277","Unit of Temperature","C44276",""
"Code","2c39c63a-238f-44b4-a5c8-f270c2bd6d3a","NCI Thesaurus","Code_278","Anatomic Site","C13717",""
"Code","b4074958-eab1-48e9-a7f4-7d4963c767b5","NCI Thesaurus","Code_274","Body Temperature","C174446",""
"Code","f5436e89-dad4-4bdd-8e60-a8302f38eca7","NCI Thesaurus","Code_280","Clinical Test Result","C77140",""
"Code","36d8b8c8-e71d-4423-b2e9-a66e172579d4","http://www.cdisc.org","Code_281","Kilogram","C28252","2023-09-29"
"Code","7646ccce-e14e-4d56-93c6-3733ae5fa5b0","http://www.cdisc.org","Code_282","Gram","C48155","2023-09-29"
"Code","b9d004c5-46d9-45c5-bee7-284079fe2d50","http://www.cdisc.org","Code_283","Pound","C48531","2023-09-29"
"Code","4fec8cd2-e95a-4c9b-879e-af03126e7394","NCI Thesaurus","Code_284","Unit of Weight","C48208",""
"Code","1c12932d-2113-4639-95fe-15abded32831","NCI Thesaurus","Code_279","Body Weight","C81328",""
"Code","b3bdef9d-2377-4f44-b81b-0f69ea013e56","NCI Thesaurus","Code_286","Clinical Test Result","C77140",""
"Code","cd0f8a14-362e-4e01-b8fe-370ebf51129a","http://www.cdisc.org","Code_287","Centimeter","C49668","2023-09-29"
"Code","b1329dcc-b300-49a5-9143-bf44b11b5e26","http://www.cdisc.org","Code_288","Inch","C48500","2023-09-29"
"Code","09d442fb-2a93-4b68-8138-957e8ce32ab4","http://www.cdisc.org","Code_289","Millimeter","C28251","2023-09-29"
"Code","90444839-d1fa-4dcb-8e5d-238f91bc0180","http://www.cdisc.org","Code_290","Meter","C41139","2023-09-29"
"Code","e4e11d7e-0776-4e8c-b955-5d718453ea64","NCI Thesaurus","Code_291","Unit of Height","C168688",""
"Code","949e8dbd-e6e4-4494-ab6f-5e3e15075648","NCI Thesaurus","Code_285","Body Height","C164634",""
"Code","ef56011d-d469-4abe-ad4b-d783542e34ab","NCI Thesaurus","Code_293","Laboratory Test Result","C36292",""
"Code","6fca507c-4dd7-40c1-8974-20ee0b8c5397","NCI Thesaurus","Code_294","Laboratory Test Fasting Status","C83309",""
"Code","35de9481-aaac-470e-a69c-2084f4fe42bd","NCI Thesaurus","Code_295","Unit of Catalytic Activity Concentration","C67365",""
"Code","a4355b6c-acfa-446c-8d7a-91ba52f17770","NCI Thesaurus","Code_296","Biospecimen Type","C70713",""
"Code","e15c87a2-3c1c-44fd-8cdd-e23df431eef3","NCI Thesaurus","Code_292","Alanine Aminotransferase Measurement","C64433",""
"Code","f3d29961-c94c-449c-adc5-90423fbe1601","NCI Thesaurus","Code_298","Laboratory Test Result","C36292",""
"Code","9e24bf49-0002-4b78-b6fd-7adc3a120b52","NCI Thesaurus","Code_299","Laboratory Test Fasting Status","C83309",""
"Code","f70b7586-d99d-46ba-8b16-bb11e22e0bf5","NCI Thesaurus","Code_300","Unit of Concentration","C48207",""
"Code","3ccbea3d-3826-4f9e-b5e3-1899a50cdbda","NCI Thesaurus","Code_301","Biospecimen Type","C70713",""
"Code","51e2ebce-8071-40e2-96fe-620eecece2c1","NCI Thesaurus","Code_297","Albumin Measurement","C64431",""
"Code","c3cf3580-d8d0-4c23-ab06-3417a384eb15","NCI Thesaurus","Code_303","Laboratory Test Result","C36292",""
"Code","c8d41c28-26f5-416d-af0e-6e3bf7d40acf","NCI Thesaurus","Code_304","Laboratory Test Fasting Status","C83309",""
"Code","9ff68003-e02d-4fe4-8757-4a61bcc664d3","NCI Thesaurus","Code_305","Unit of Catalytic Activity Concentration","C67365",""
"Code","12d3db6c-af8d-4377-83c5-9a9ae7d860c7","NCI Thesaurus","Code_306","Biospecimen Type","C70713",""
"Code","7f1b357b-328a-4aa2-8037-a409cec93b67","NCI Thesaurus","Code_302","Alkaline Phosphatase Measurement","C64432",""
"Code","0438b687-5df6-492d-950e-a3e757fea52d","NCI Thesaurus","Code_308","Laboratory Test Result","C36292",""
"Code","102d4f0f-51c7-4dfb-bdfd-8d8a79936b65","NCI Thesaurus","Code_309","Laboratory Test Fasting Status","C83309",""
"Code","96a2801c-d066-4c70-a584-7945cbea0975","NCI Thesaurus","Code_310","Unit of Catalytic Activity Concentration","C67365",""
"Code","3ac4d43b-0c14-447f-9f40-af1a73bb1da9","NCI Thesaurus","Code_311","Biospecimen Type","C70713",""
"Code","c8b9a9f7-8268-4a47-99e4-406c2348e72d","NCI Thesaurus","Code_307","Aspartate Aminotransferase Measurement","C64467",""
"Code","71c10bf4-c885-4f6b-bed9-dd661f1a5771","NCI Thesaurus","Code_313","Laboratory Test Result","C36292",""
"Code","e3879a55-7e2b-4d34-a561-3fa35a374c91","NCI Thesaurus","Code_314","Laboratory Test Fasting Status","C83309",""
"Code","d802e87b-ed2d-47d3-a892-09d3b93b18e6","NCI Thesaurus","Code_315","Unit of Concentration","C48207",""
"Code","7369e7c7-9349-4b0a-8eb5-eade90910c3d","NCI Thesaurus","Code_316","Biospecimen Type","C70713",""
"Code","bfadeb25-bc50-4c74-a8c5-3809512fd68a","NCI Thesaurus","Code_312","Creatinine Measurement","C64547",""
"Code","12daf8a9-46c5-4de1-83c6-c665c09363f4","NCI Thesaurus","Code_318","Laboratory Test Result","C36292",""
"Code","a8e4792d-5809-4c4b-add8-19b02f7f7700","NCI Thesaurus","Code_319","Laboratory Test Fasting Status","C83309",""
"Code","adbf92d3-20e0-4704-a16a-ef774e5ccf53","NCI Thesaurus","Code_320","Molarity Unit","C64567",""
"Code","4b7bc795-6ff0-431e-bbf9-4f96b87f3f08","NCI Thesaurus","Code_321","Biospecimen Type","C70713",""
"Code","5e0fa9b3-c8cc-4a83-9d09-2cf8a74f77ca","NCI Thesaurus","Code_317","Potassium Measurement","C64853",""
"Code","d6637e42-b05d-489f-b3ac-8374f0041f9e","NCI Thesaurus","Code_323","Laboratory Test Result","C36292",""
"Code","888eedae-b9a7-48d1-a003-fe8c728ebdce","NCI Thesaurus","Code_324","Laboratory Test Fasting Status","C83309",""
"Code","d90479d2-74e4-4865-9f1a-f604f67fddb0","NCI Thesaurus","Code_325","Molarity Unit","C64567",""
"Code","a5a86b6b-229b-4fc6-bfde-8741975fca43","NCI Thesaurus","Code_326","Biospecimen Type","C70713",""
"Code","d8dfaeea-5b10-443f-aaf3-123a3cc459a2","NCI Thesaurus","Code_322","Sodium Measurement","C64809",""
"Code","2d72d062-5edf-4c35-90c7-8aeb0ef2bc72","NCI Thesaurus","Code_146","Reported Event Term","C82571",""
"Code","ed7b421c-6383-4c03-95ad-e8200211cf31","NCI Thesaurus","Code_147","Dictionary-derived Term","C82977",""
"Code","59f7cb86-c3ae-4096-b7d3-d2ebb6e51d17","NCI Thesaurus","Code_148","Category","C25372",""
"Code","a1a1e11b-ed5f-4c85-826a-db1fe6e0cb17","NCI Thesaurus","Code_149","Subcategory","C25692",""
"Code","66a8be84-7ea5-4b2c-9e5e-bfb786f4feb1","NCI Thesaurus","Code_150","Observation Start Date Time","C82517",""
"Code","afc7b725-f032-4ab0-a027-e200e363e5be","NCI Thesaurus","Code_145","Adverse Event","C41331",""
"Code","f768c86f-0557-47e9-bfad-31fd7791bab6","NCI Thesaurus","Code_152","Clinical Test Result","C77140",""
"Code","82c9c1cf-4416-428e-a9d3-903f7420995d","http://www.cdisc.org","Code_153","Pascal","C42547","2023-09-29"
"Code","04c219cd-e68c-49f3-875d-57449ca498f1","NCI Thesaurus","Code_154","Unit of Pressure","C49669",""
"Code","9fd276fe-6267-4a59-bc6d-97b899b97a5b","NCI Thesaurus","Code_155","Anatomic Site","C13717",""
"Code","a9a9c952-e353-4dc7-af78-173f7b405473","NCI Thesaurus","Code_156","Laterality","C25185",""
"Code","1c110019-471a-4173-8d03-57e5ec1a8360","NCI Thesaurus","Code_157","Test Method","C82535",""
"Code","b3f948bf-71a4-4e76-b5ff-8ba2cfcf912c","NCI Thesaurus","Code_158","Body Position","C62164",""
"Code","9987cd0a-56d8-4964-a4b7-316322999bcb","NCI Thesaurus","Code_151","Systolic Blood Pressure","C25298",""
