"instanceType","uuid:ID","reference","id","synonyms","label","name"
"BiomedicalConcept","3972ed2c-0094-41fb-9d53-b0d5fb4dcf7c","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_20","","Sex","Sex"
"BiomedicalConcept","6dc32462-8391-4b70-81f2-fae7faa0704d","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_21","['Racial Group']","Race","Race"
"BiomedicalConcept","7d0c906d-09d2-4365-b0dc-e5c9aa213c92","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept_22","['Temperature']","Body Temperature","Body Temperature"
"BiomedicalConcept","5b4debc7-7150-4812-9b47-7a3ac302595f","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept_23","['Weight']","Body Weight","Body Weight"
"BiomedicalConcept","a3630045-226a-46bf-b89c-091d13dcd0e1","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept_24","['Height']","Body Height","Body Height"
"BiomedicalConcept","88e6bf39-17d1-4d8c-a0ae-c7d643d5df05","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_25","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept","25fc82fb-d85e-4dc2-a754-43ed34c0dcb7","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_26","['Albumin']","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept","58c48e13-12f9-413b-bc53-788ba78338b9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_27","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept","158f7f3f-6d6b-4721-ab14-608d5e9f8a2c","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_28","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","9d8bdc97-aa27-4a2f-8f93-7835196a30f4","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_29","['Creatinine']","Creatinine Measurement","Creatinine Measurement"
"BiomedicalConcept","1038eedf-a459-4678-ac70-e6248b4d862d","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_30","['Potassium', 'K']","Potassium Measurement","Potassium Measurement"
"BiomedicalConcept","e7018e3f-d12c-452b-99db-ed4a2ccb67c1","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_31","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement"
"BiomedicalConcept","fb77fc02-9b92-44ce-b24c-77ad71209f0c","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","BiomedicalConcept_1","","Adverse Event","Adverse Event"
"BiomedicalConcept","64b6e858-e50d-46ea-bd63-5dd10af70a51","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept_2","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept","efd98e27-e512-418e-923c-de11cb4b744f","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept_3","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept","2e00766c-4ec7-42f9-bceb-61e3852bc9f2","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept_4","['Temperature']","Body Temperature","Body Temperature"
"BiomedicalConcept","f90f90ed-d197-4821-acd4-50bf267654ba","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept_5","['Weight']","Body Weight","Body Weight"
"BiomedicalConcept","4decae9f-ab7d-4a1c-a72e-c42aabf243ed","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept_6","['Height']","Body Height","Body Height"
"BiomedicalConcept","d0b3f217-c290-4b4f-8f8c-18f43609487a","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept","dfd9ad2b-5ee2-4dd2-9b41-562db017ba9a","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","['Albumin']","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept","c76bb0dc-8a16-49f7-82db-5209930caaba","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept","595856d7-de94-47e3-8650-cb318c618776","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"BiomedicalConcept","4dda27cb-d970-46d6-894c-f960f5bc774a","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","['Creatinine']","Creatinine Measurement","Creatinine Measurement"
"BiomedicalConcept","1a3c3de9-445a-4a83-baab-cef9e99ddf9e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","['Potassium', 'K']","Potassium Measurement","Potassium Measurement"
"BiomedicalConcept","3effd27f-d988-42b3-a1e1-0970bf7a6b57","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement"
"BiomedicalConcept","3243b22a-c39a-4956-8534-385f57015c4f","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept_14","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept","8e64240f-f26b-4695-800d-6d123e5ee9e1","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept_15","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept","9a68243b-e513-4a4a-9786-d59fe6b91dfc","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept_16","","Heart Rate","Heart Rate"
"BiomedicalConcept","fc1501e6-3c31-4c21-8b40-87d4f9d2597a","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept_17","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept","98da9a2a-8034-490e-ab00-26e809ae4252","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept_18","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept","a2581e91-8b51-4cc7-9f97-2422aabda06a","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","BiomedicalConcept_19","","Heart Rate","Heart Rate"
