"sectionNumber","sectionTitle","uuid:ID","name","id","text"
"0","Root","1ac07e43-f084-44e8-8380-86c091a66b3a","ROOT","NarrativeContent_1",""
"0","TITLE PAGE","206323b8-fe83-4025-9c71-6e8d748103a3","SECTION 0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>"
"1","PROTOCOL SUMMARY","a0e75650-0221-464c-a607-c98776b59790","SECTION 1","NarrativeContent_3","<div></div>"
"1.1","Protocol Synopsis","36034957-4a92-4f92-aaea-06d3ff78060a","SECTION 1.1","NarrativeContent_4","<div></div>"
"1.2","Trial Schema","13a79be8-27e0-4792-ba9f-6051bb2a56fc","SECTION 1.2","NarrativeContent_5","<div></div>"
"1.3","Schedule of Activities","40d4479a-2fac-4684-b761-f16d84c781df","SECTION 1.3","NarrativeContent_6","<div></div>"
"2","INTRODUCTION","fb5b7fe2-84b8-4e0d-936f-53c321e194d5","SECTION 2","NarrativeContent_7","<div></div>"
"2.1","Purpose of Trial","6974fd1f-9c88-47ab-bdec-2c8d0a347e1f","SECTION 2.1","NarrativeContent_8","<div></div>"
"2.2","Summary of Benefits and Risks","9fca7a39-5090-4696-bfe2-efe90a2805ce","SECTION 2.2","NarrativeContent_9","<div></div>"
"3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","86161fee-ca43-40f6-839a-8c92c0c27af3","SECTION 3","NarrativeContent_10","<div></div>"
"3.1","Primary Objectives","d0bb2f5a-13b2-4840-bce3-36e654e27b1c","SECTION 3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>"
"4","TRIAL DESIGN","77d7fdbd-2560-4722-959d-e25cfde59cba","SECTION 4","NarrativeContent_12","<div></div>"
"4.1","Description of Trial Design","ff79f952-05af-4d74-acfd-847c7d1fdec2","SECTION 4.1","NarrativeContent_13","<div></div>"
"4.1.1","Participant Input into Design","ecc761e5-cc17-401f-beb7-8fab71fedde8","SECTION 4.1.1","NarrativeContent_14","<div></div>"
"4.2","Rationale for Trial Design","7e4ca3bc-a733-498d-b04a-e636563b5cc1","SECTION 4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"4.2.1","Rationale for Comparator","d8d4043d-90e2-4683-b5be-6b364a80e579","SECTION 4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"4.2.2","Rationale for Adaptive or Novel Trial Design","4b6e13dc-ede5-4be3-99e8-ae958f4782d1","SECTION 4.2.2","NarrativeContent_17","<div></div>"
"4.2.3","Other Trial Design Considerations","2cf17ec3-1c3f-4938-a9e0-d87d99a10cd1","SECTION 4.2.3","NarrativeContent_18","<div></div>"
"4.3","Access to Trial Intervention After End of Trial","85aad416-391e-4498-8818-843d91bbea5b","SECTION 4.3","NarrativeContent_19","<div></div>"
"4.4","Start of Trial and End of Trial","be9ccad4-72c8-430f-818b-da4224eeaa9c","SECTION 4.4","NarrativeContent_20","<div></div>"
"5","TRIAL POPULATION","3203b7f3-6a4a-455d-809e-f759b7ae75ae","SECTION 5","NarrativeContent_21","<div></div>"
"5.1","Selection of Trial Population","e0ea7ab5-f9cb-4e47-ad36-2d0511ee2288","SECTION 5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"5.2","Rationale for Trial Population","be12ff23-cea6-4f7b-a197-6e63d2ed92b7","SECTION 5.2","NarrativeContent_23","<div></div>"
"5.3","Inclusion Criteria","1792636f-ce56-4c45-abcd-5e059616a456","SECTION 5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>"
"5.4","Exclusion Criteria","c2b59ab3-5a17-459c-8b68-9c84a4e6015d","SECTION 5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>"
"5.5","Lifestyle Considerations","3c04ce46-a3a5-4a44-a943-bf64f84fba4c","SECTION 5.5","NarrativeContent_26","<div></div>"
"5.5.1","Meals and Dietary Restrictions","8a035c03-c5ee-4a11-8087-b1ea0e5399ee","SECTION 5.5.1","NarrativeContent_27","<div></div>"
"5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","879987f3-24b6-4a20-8752-237e92562935","SECTION 5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>"
"5.5.3","Physical Activity","fb45483c-8512-484b-a0f4-8f92ba05a943","SECTION 5.5.3","NarrativeContent_29","<div></div>"
"5.5.4","Other Activity","340894df-10e3-4134-8884-bb352c7a5348","SECTION 5.5.4","NarrativeContent_30","<div></div>"
"5.6","Screen Failures","a609e5d7-5d2d-4dc2-b7d2-5deb92f82420","SECTION 5.6","NarrativeContent_31","<div></div>"
"6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","b310f3ed-9227-40e7-886f-20d69aef933f","SECTION 6","NarrativeContent_32","<div></div>"
"6.1","Description of Trial Intervention","1f985b50-9918-4681-8f7c-d52b5902effd","SECTION 6.1","NarrativeContent_33","<div></div>"
"6.2","Rationale for Trial Intervention","47695521-c818-4690-947a-27d9b19efa6c","SECTION 6.2","NarrativeContent_34","<div></div>"
"6.3","Dosing and Administration","d53409b7-5c60-485d-9ba7-92c842060e21","SECTION 6.3","NarrativeContent_35","<div></div>"
"6.3.1","Trial Intervention Dose Modification","bb19363c-455f-4246-9c20-8fb91a39ad3b","SECTION 6.3.1","NarrativeContent_36","<div></div>"
"6.4","Treatment of Overdose","d2af707e-d097-44db-99fc-c86e9719f485","SECTION 6.4","NarrativeContent_37","<div></div>"
"6.5","Preparation, Handling, Storage and Accountability","85101076-0f27-42a2-848c-7a18e02fb98d","SECTION 6.5","NarrativeContent_38","<div></div>"
"6.5.1","Preparation of Trial Intervention","a58f4c36-7a53-4d87-b088-90edb3e8fc3a","SECTION 6.5.1","NarrativeContent_39","<div></div>"
"6.5.2","Handling and Storage of Trial Intervention","eaa2558a-1684-4441-a8c9-579f6bb26352","SECTION 6.5.2","NarrativeContent_40","<div></div>"
"6.5.3","Accountability of Trial Intervention","99686f95-66f8-4715-b4a0-5315de1d3ef2","SECTION 6.5.3","NarrativeContent_41","<div></div>"
"6.6","Participant Assignment, Randomisation and Blinding","a550b8c0-6818-4aa9-93ee-e2149b441569","SECTION 6.6","NarrativeContent_42","<div></div>"
"6.6.1","Participant Assignment","e46d0d0f-c768-4898-8e53-39663afbe8f7","SECTION 6.6.1","NarrativeContent_43","<div></div>"
"6.6.2","Randomisation","acf0da68-9835-48ba-9fe3-02b6b974e765","SECTION 6.6.2","NarrativeContent_44","<div></div>"
"6.6.3","Blinding and Unblinding","9f132d68-4248-481f-8e4a-6371a24f5f6b","SECTION 6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"6.7","Trial Intervention Compliance","4ac2d7a9-fce2-4851-9165-f0231a44311e","SECTION 6.7","NarrativeContent_46","<div></div>"
"6.8","Concomitant Therapy","fa723875-a5f4-49dc-80cd-c799bdfbbbac","SECTION 6.8","NarrativeContent_47","<div></div>"
"6.8.1","Prohibited Concomitant Therapy","e99226df-4370-44b7-bf0f-614966bf404b","SECTION 6.8.1","NarrativeContent_48","<div></div>"
"6.8.2","Permitted Concomitant Therapy","4bfe8bbc-71ac-4d75-81f0-288e89cfe2d1","SECTION 6.8.2","NarrativeContent_49","<div></div>"
"6.8.3","Rescue Therapy","32d36388-fd51-45c9-b5fb-7e3ed9f1dde1","SECTION 6.8.3","NarrativeContent_50","<div></div>"
"6.8.4","Other Therapy","b4e81b0f-8284-4fdc-b1a8-ec571fcac288","SECTION 6.8.4","NarrativeContent_51","<div></div>"
"7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","b6fbc0fd-bdab-4b4e-8ccf-ab96432c04de","SECTION 7","NarrativeContent_52","<div></div>"
"7.1","Discontinuation of Trial Intervention","17fa6bb1-f87c-4504-b9fd-825a382e3f6b","SECTION 7.1","NarrativeContent_53","<div></div>"
"7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","f58125a3-9a4d-40d5-80b7-776f3eef9667","SECTION 7.1.1","NarrativeContent_54","<div></div>"
"7.1.2","Temporary Discontinuation or Interruption of Trial Intervention","7b204c5f-3b94-4264-bea4-aaa38927376a","SECTION 7.1.2","NarrativeContent_55","<div></div>"
"7.1.3","Rechallenge","e08f7a1c-a3e4-4ced-b0a4-8e24c27b880a","SECTION 7.1.3","NarrativeContent_56","<div></div>"
"7.2","Participant Withdrawal from the Trial","68ce0e19-1f83-4f29-83ce-0f60ddf420ee","SECTION 7.2","NarrativeContent_57","<div></div>"
