"instanceType","uuid:ID","name","text","id"
"TransitionRule","5a654436-5822-4122-90fa-6626a2ab630c","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1"
"TransitionRule","57a19c44-0e27-498e-b9e7-78dc549291d9","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2"
"TransitionRule","4a631dc0-ccb3-49a9-b56c-d3676c5f382e","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"TransitionRule","8068d63b-cfe5-49d7-8bc1-1e04f7404673","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"TransitionRule","2817c76d-2f59-4390-9c7b-23b2f6615958","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5"
"TransitionRule","5c951869-60e0-4130-94f2-8895ea070007","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6"
"TransitionRule","65efedf8-393c-43b9-8d02-e5e215449b70","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7"
"TransitionRule","ebeab417-129e-4655-8ba3-2b100b57543d","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"TransitionRule","496bc148-7527-4513-a2b8-fbda6ecacbc2","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9"
"TransitionRule","288ee5db-ed79-43d4-86bd-71c7d4902492","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"TransitionRule","cfd02b48-2238-45c0-9854-84fd4ce07a97","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"TransitionRule","14371aff-143f-42a7-aad3-bbb68458dd82","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10"
"TransitionRule","ba3c3b8d-1e10-4bf0-80e2-333e88b727c4","ELEMENT_START_RULE_4","Randomized","TransitionRule_11"
"TransitionRule","aa25bd3b-eab4-4ac8-b517-07148779ff91","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"TransitionRule","14cad6c3-ebed-428c-9918-57a5d8ff5200","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
