"instanceType","codeSystemVersion","codeSystem","code","decode","uuid:ID","id"
"Code","2023-09-29","http://www.cdisc.org","C98388","Interventional Study","2398696e-68b9-4928-87dc-e64153925349","Code_1"
"Code","2023-09-29","http://www.cdisc.org","C15601","Phase II Trial","4f176bce-a738-416c-b46c-bfa85de48f5a","Code_2"
"Code","2023-09-29","http://www.cdisc.org","C132352","Sponsor Approval Date","bafb0464-5898-4ee2-9c72-8ebd3326b3ac","Code_9"
"Code","2023-09-29","http://www.cdisc.org","C68846","Global","bc6eb006-ed8d-44d5-9775-41fd1314bb05","Code_10"
"Code","2023-09-29","http://www.cdisc.org","C99904x3","IRB/IEC Feedback","0692334a-02ea-4ae7-89b2-9f8576d72299","Code_72"
"Code","2023-09-29","http://www.cdisc.org","C17649","Other","1c0ee03e-4c57-48c9-bd72-dea8bba11a5f","Code_73"
"Code","2023-09-29","http://www.cdisc.org","C41129","Region","1771528b-23fa-41dc-9320-d930e360e383","Code_75"
"Code","2020-08","ISO 3166 1 alpha3","150","Europe","d1930b99-d57e-484a-863d-ede7f216ae64","Code_74"
"Code","12","SPONSOR","PHARMA","Eli Lilly","e8f2ae37-0a9b-4f0c-acdc-12f33b6e446b","Code_4"
"Code","2023-09-29","http://www.cdisc.org","C70793","Clinical Study Sponsor","e4970bc5-e9ce-426e-ba2d-d8284f7cb66e","Code_76"
"Code","2020-08","ISO 3166 1 alpha3","DNK","Denmark","87adbfa1-bdb6-414b-860d-6fc134af180d","Code_77"
"Code","2023-09-29","http://www.cdisc.org","C93453","Study Registry","73b78f43-4dcd-4cf4-9d51-37990155e392","Code_78"
"Code","2023-09-29","http://www.cdisc.org","C49656","Treatment Study","9d1389ad-f1a6-45f1-984f-90a933818c52","Code_136"
"Code","2023-09-29","http://www.cdisc.org","C49666","Efficacy Study","e8518773-d845-4de4-a39b-b65f68cdf4fd","Code_137"
"Code","2023-09-29","http://www.cdisc.org","C49667","Safety Study","89b30ce1-ebbf-4e5e-856a-263e8f182527","Code_138"
"Code","2023-09-29","http://www.cdisc.org","C49663","Pharmacokinetic Study","c52d9d66-fc64-46c5-8300-4b14fc1e19e1","Code_139"
"Code","12","SPONSOR","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","6317bfe0-7a20-4031-b9c5-eab2d71eeaff","Code_133"
"Code","January 31, 2018","SNOMED","26929004","Alzheimer's disease","ab8d4136-c704-4129-a423-6313e8161c24","Code_134"
"Code","2023-09-29","http://www.cdisc.org","C99907x1","EXTENSION","96877002-c826-4d27-ba6e-0db8ca43660c","Code_142"
"Code","2023-09-29","http://www.cdisc.org","C98704","ADAPTIVE","a01ba60c-750f-42a8-8cc7-3de5ae875d66","Code_143"
"Code","2023-09-29","http://www.cdisc.org","C82639","Parallel Study","9ade47ab-bc2f-4af4-8c4d-63c6737454e9","Code_140"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","7233cc11-b0fd-49e0-b490-47120145f89a","Code_82"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","8a70218a-5228-44b7-8ac4-f745d5fd60f1","Code_83"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","6ba0bd4c-2f17-497a-8c7a-39c08a2d2f95","Code_84"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","0b720625-163d-44db-a0e1-6a1361e59452","Code_85"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","39868b0f-dc06-40e6-bf04-6ebff153fc16","Code_86"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","f646af74-fe76-4bf4-ba35-178d699230ff","Code_87"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","d65b310d-d164-41d5-8635-7095fcf82ed8","Code_88"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","8e9aa430-e3dd-4976-8a37-8243e2b9a8f9","Code_89"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","4f310b64-c2fe-4e91-8da7-c94482b56c17","Code_90"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","36441121-8370-4d5f-bb4d-f713091568cb","Code_91"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","a74235f7-6d12-48f0-b801-ec53547b1e4f","Code_92"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","08ff9bb6-8e81-426c-9d28-654550794c87","Code_93"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","6fd12802-0cc9-4d01-abab-e73870d779e9","Code_94"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","ba316603-1bdd-44bc-bd5c-076ed2a4faa4","Code_95"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","165b9814-8bd3-4e46-a498-a8f79f3a6a7f","Code_96"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","4c9483b8-9fbd-4739-8a92-d9e02a129dfc","Code_97"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","de761616-85ef-4f62-a3fe-f05033cd8e49","Code_98"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","ce377d4a-ff74-4c10-bac5-fef62bd02258","Code_99"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","1c919730-0569-4fa3-a352-cf201fc152ab","Code_100"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","a6270a55-798d-48bc-9ed6-a9c9594f07b6","Code_101"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","724852dd-8f88-48d9-88d6-35b7b2a01259","Code_102"
"Code","2023-09-29","http://www.cdisc.org","C171537","Telephone Call","36415366-1c3e-4982-b7dd-8e5cb2a30fd7","Code_103"
"Code","2023-09-29","http://www.cdisc.org","C25716","Visit","a8dc1a79-f0da-4b9e-bb2f-3829cea02ba0","Code_104"
"Code","2023-09-29","http://www.cdisc.org","C51282","Clinic","b5f98bac-87e6-4c54-83ae-026ee405a336","Code_105"
"Code","2023-09-29","http://www.cdisc.org","C175574","In Person","d02747fb-cac1-4b8b-81d2-a2a2b9bcd8f8","Code_106"
