"window","instanceType","value","windowLower","windowUpper","uuid:ID","name","id","description","label"
"","Timing","P2W","","","63b2959a-3264-4019-87fb-e440177d248a","TIM1","Timing_1","Screening timing","Screening"
"-4..0 hours","Timing","P2D","PT4H","PT0H","7f0e573e-9f89-45f7-8a32-9526aca29532","TIM2","Timing_2","Pre dose timing","Pre dose"
"","Timing","P1D","","","94ca9e47-7db0-44cf-b673-750745183e84","TIM3","Timing_3","Dosing anchor","Dosing"
"-3..3 days","Timing","P2W","P3D","P3D","27a0291f-67c5-4644-aedd-1c34abd3c675","TIM4","Timing_4","Week 2 timing","Week 2"
"-3..3 days","Timing","P4W","P3D","P3D","88df2cdf-7d7a-40e6-b903-6a3712b78185","TIM5","Timing_5","Week 4 timing","Week 4"
"-3..3 days","Timing","P6W","P3D","P3D","85b30c7f-9924-4ad1-8529-e66b220585a1","TIM6","Timing_6","Week 6 timing","Week 6"
"-3..3 days","Timing","P8W","P3D","P3D","7d1f00ae-9b6c-4389-be1d-e0762d7e83f0","TIM7","Timing_7","Week 8 timing","Week 8"
"-4..4 days","Timing","P12W","P4D","P4D","28e95e92-7def-4268-b90b-889f987141b8","TIM9","Timing_9","Week 12 timing","Week 12"
"-4..4 days","Timing","P16W","P4D","P4D","a1a5958e-de08-4251-beef-13fcaabacb6d","TIM11","Timing_11","Week 16 timing","Week 16"
"-4..4 days","Timing","P20W","P4D","P4D","4894b87e-5632-4f73-86a8-f262bc940c02","TIM13","Timing_13","Week 20 timing","Week 20"
"-4..4 days","Timing","P24W","P4D","P4D","1c044ba9-2ef5-4cf2-881d-e899ac8832f0","TIM15","Timing_15","Week 24 timing","Week 24"
"-3..3 days","Timing","P26W","P3D","P3D","fb23a3a0-a12c-48e8-89f0-4a42f89e6b83","TIM16","Timing_16","Week 26 timing","Week 26"
"","Timing","P2W","","","37620b31-baff-46ee-a9f7-a9f896c67c63","TIM8","Timing_8","Week 8 at home timing","Week 8 Home"
"","Timing","P2W","","","9f8ff9bb-7099-479a-97fe-26d44522087b","TIM10","Timing_10","Week 12 at home timing","Week 12 Home"
"","Timing","P2W","","","e81a3e8b-3201-473d-9384-96ab6b9479eb","TIM12","Timing_12","Week 16 at home timing","Week 16 Home"
"","Timing","P2W","","","0b0c7cb4-09b7-49f9-ba56-a15fbb310e06","TIM14","Timing_14","Week 20 at home timing","Week 20 Home"
"","Timing","P1D","","","7d1bb49c-b001-46af-a0d5-d3041924b41e","TIM17","Timing_17","Adverse Event","Adverse Event"
"","Timing","P1D","","","3203494f-0a60-466f-9852-d580d902b23e","TIM18","Timing_18","Early Termination","Early Termination"
"","Timing","PT0M","","","240da8b0-bd90-48ad-9638-ef9534a1617f","TIM19","Timing_19","Supine","Supine"
"","Timing","PT5M","","","80064553-77e4-4141-8d63-97592bcf8731","TIM20","Timing_20","VS while supine","VS while supine"
"","Timing","PT0M","","","2dc2ff11-6a9f-4942-9f52-7db311b58d83","TIM21","Timing_21","Standing","Standing"
"","Timing","PT1M","","","f122ce98-086b-4867-b84f-eb4db88255b2","TIM22","Timing_22","VS while standing","VS while standing"
"","Timing","PT0M","","","7e6094ac-aabe-4cd4-a668-1071bea58829","TIM23","Timing_23","Standing","Standing"
"","Timing","PT2M","","","90a7151a-905d-4fa3-a884-bc0bf64e0015","TIM24","Timing_24","VS while standing","VS while standing"
