"instanceType","uuid:ID","name","id","description","label"
"Encounter","fcc22f09-6275-44c8-a1a3-2599e7eb6a9a","E1","Encounter_1","Screening encounter","Screening 1"
"Encounter","4cc656e8-f8ad-4876-9b93-bd1247bc3320","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2"
"Encounter","09baf331-6965-4c0a-b556-88e9e8deb25d","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline"
"Encounter","13f3eb99-3f06-40c0-8e24-a705bd1ec874","E4","Encounter_4","Day 14","Week 2"
"Encounter","41a6ac5b-292d-4df0-996c-2ae49afae2e4","E5","Encounter_5","Day 28","Week 4"
"Encounter","0d3a193d-683e-47ff-9b24-da1f7cd16135","E7","Encounter_6","Day 42","Week 6"
"Encounter","982fce66-627f-42a6-a80a-aaf68c6a81ab","E8","Encounter_7","Day 56","Week 8"
"Encounter","bd5f2749-7dee-47c1-9ae7-4398477877e0","E9","Encounter_8","Day 84","Week 12"
"Encounter","74dedcf8-d280-4c67-9a00-be54cc85be49","E10","Encounter_9","Day 112","Week 16"
"Encounter","e524d805-c7c0-4f95-91f1-26d7c454a28c","E11","Encounter_10","Day 140","Week 20"
"Encounter","0ac175d6-ed7b-4aa4-a2ab-159fa004d36a","E12","Encounter_11","Day 168","Week 24"
"Encounter","425693e6-7efa-45ba-80e9-c25cd4e965c7","E13","Encounter_12","Day 182","Week 26"
