"instanceType","sectionNumber","uuid:ID","name","text","id","sectionTitle"
"NarrativeContent","0","d4d1d7ad-141a-44b8-bb4e-2476311cc8ce","ROOT","","NarrativeContent_1","Root"
"NarrativeContent","0","dff9afd4-f7bc-4496-8746-397e1c2f4320","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","TITLE PAGE"
"NarrativeContent","1","4813405a-e3c6-4bbe-941c-74a8017c1971","SECTION 1","<div></div>","NarrativeContent_3","PROTOCOL SUMMARY"
"NarrativeContent","1.1","a3ee3c7d-4df3-4acc-a5f3-84041282fe01","SECTION 1.1","<div></div>","NarrativeContent_4","Protocol Synopsis"
"NarrativeContent","1.2","ae9c0f22-76e7-45af-b93a-ac3edd513c85","SECTION 1.2","<div></div>","NarrativeContent_5","Trial Schema"
"NarrativeContent","1.3","892a9f88-2906-4e49-8ff0-8e2f003aa45f","SECTION 1.3","<div></div>","NarrativeContent_6","Schedule of Activities"
"NarrativeContent","2","5dc87c30-131a-4f21-bdb5-4a02b15482a6","SECTION 2","<div></div>","NarrativeContent_7","INTRODUCTION"
"NarrativeContent","2.1","9267ad10-02c4-4101-a2a1-24d3f6e12107","SECTION 2.1","<div></div>","NarrativeContent_8","Purpose of Trial"
"NarrativeContent","2.2","e331224b-8f56-47a6-8e3e-4cfec2b1a65e","SECTION 2.2","<div></div>","NarrativeContent_9","Summary of Benefits and Risks"
"NarrativeContent","3","f9a6989b-90e6-4393-8ee1-3f8e15c2f240","SECTION 3","<div></div>","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent","3.1","bcedd6a2-fd66-427a-ad63-aaba871cb654","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","Primary Objectives"
"NarrativeContent","4","7c3915f9-676d-4278-8360-82b2f6017ca9","SECTION 4","<div></div>","NarrativeContent_12","TRIAL DESIGN"
"NarrativeContent","4.1","0fd84ce5-d597-45ae-b4a0-eefbc5256d6c","SECTION 4.1","<div></div>","NarrativeContent_13","Description of Trial Design"
"NarrativeContent","4.1.1","cd0ebf05-1127-41a2-b589-3a5970260a7c","SECTION 4.1.1","<div></div>","NarrativeContent_14","Participant Input into Design"
"NarrativeContent","4.2","3520d9b2-abf6-46bd-a14e-cab8b5177c2b","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","Rationale for Trial Design"
"NarrativeContent","4.2.1","279f32b2-41ab-4463-bb4a-bb7a44578936","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","Rationale for Comparator"
"NarrativeContent","4.2.2","3b500fd7-1e89-4bb0-9453-f79f84b9751e","SECTION 4.2.2","<div></div>","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design"
"NarrativeContent","4.2.3","41549442-304d-4434-9357-43d537b4f202","SECTION 4.2.3","<div></div>","NarrativeContent_18","Other Trial Design Considerations"
"NarrativeContent","4.3","d2632df1-c8d7-4900-a916-6a77dd20deee","SECTION 4.3","<div></div>","NarrativeContent_19","Access to Trial Intervention After End of Trial"
"NarrativeContent","4.4","48a0b16a-6734-4e63-86d7-08314f96d169","SECTION 4.4","<div></div>","NarrativeContent_20","Start of Trial and End of Trial"
"NarrativeContent","5","06d57117-0a00-4e25-b44d-3f0ee5ead547","SECTION 5","<div></div>","NarrativeContent_21","TRIAL POPULATION"
