"reference","instanceType","uuid:ID","name","synonyms","id","label"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","c7ccdd3a-7d51-4112-a919-41b6a8e89e7b","Body Temperature","['Temperature']","BiomedicalConcept_20","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","8f904cb6-e5c5-482a-a598-f0dc110def38","Body Weight","['Weight']","BiomedicalConcept_21","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","2d681277-3d2e-4b3c-b9b8-4d89d2eb795f","Body Height","['Height']","BiomedicalConcept_22","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","06298158-8d4b-42dd-bfca-d7695470bf22","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_23","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","9ff97cf1-32d5-4197-9de7-756d421579a0","Albumin Measurement","['Albumin']","BiomedicalConcept_24","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","5825e82b-b540-4438-a13c-360ec5206147","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_25","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","c06be0b0-7b82-42c4-a2f3-ec1f4657ac64","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_26","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","b9d7385f-4932-4f2b-91cd-9b30119f7322","Creatinine Measurement","['Creatinine']","BiomedicalConcept_27","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","25e54d9e-1c21-48cb-b885-3c8961ffa9fe","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_28","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","4f1560da-673c-4e4d-97bf-d04c019d09df","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_29","Sodium Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","c337ba78-99f4-478b-b652-6ebbd2a271a1","Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","7470498a-d02c-438c-b742-13da6fb80143","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_2","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","199e1ed4-bc7a-4e0d-83b9-f2d9ac7b571e","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_3","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","e4d0c0eb-287c-4931-af7c-3f0ba20c5832","Body Temperature","['Temperature']","BiomedicalConcept_4","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","fdaaede2-8cd4-45f0-968d-291a9c8b5480","Body Weight","['Weight']","BiomedicalConcept_5","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","a8d87278-7846-40db-b224-30299779713b","Body Height","['Height']","BiomedicalConcept_6","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","0eee87a6-a8f7-4e11-9fcd-68a3b77fd93d","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","21241dd0-fb41-42c1-b7d8-37bdf40dc850","Albumin Measurement","['Albumin']","BiomedicalConcept_8","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","c2b2404d-4d23-44d6-bc22-cc0fbd692ab9","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","c12d92bf-ebc6-44cd-9a57-1436aad0e332","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","83317740-7ec7-437c-81df-46566f7cbfdb","Creatinine Measurement","['Creatinine']","BiomedicalConcept_11","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","2139cf41-83b0-4481-ae7f-a2e68d24f9f8","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_12","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","76ba4693-073c-4321-b781-1a1f97760357","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_13","Sodium Measurement"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","7c77184a-f789-443e-9d19-29eee3053d27","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_14","Systolic Blood Pressure"
