"instanceType","isRequired","name","uuid:ID","isEnabled","id","datatype","label"
"BiomedicalConceptProperty","True","Vital Signs Result","335f47ae-0ac0-430a-a942-c4be37fbdf78","True","BiomedicalConceptProperty_98","decimal","Vital Signs Result"
"BiomedicalConceptProperty","True","Unit of Temperature","61b7ba8a-149a-4fa5-9bd2-34e1cc80685f","True","BiomedicalConceptProperty_99","string","Unit of Temperature"
"BiomedicalConceptProperty","True","Vital Signs Location","073204bf-1b1e-4ac3-a870-b1d214182720","True","BiomedicalConceptProperty_100","string","Vital Signs Location"
"BiomedicalConceptProperty","True","Vital Signs Result","debb2b76-a0b6-4f2e-bf5b-9897437893b2","True","BiomedicalConceptProperty_101","decimal","Vital Signs Result"
"BiomedicalConceptProperty","True","Unit of Weight","c0088db7-9a21-460d-9d4d-ea23458070de","True","BiomedicalConceptProperty_102","string","Unit of Weight"
"BiomedicalConceptProperty","True","Vital Signs Result","cd0e44d8-5382-4322-aeb4-d9784cac75df","True","BiomedicalConceptProperty_103","decimal","Vital Signs Result"
"BiomedicalConceptProperty","True","Unit of Height","d917592d-73e7-4d13-be09-7785648816ef","True","BiomedicalConceptProperty_104","string","Unit of Height"
"BiomedicalConceptProperty","True","Laboratory Test Result","53591997-174f-4c0b-baf4-037e23330c76","True","BiomedicalConceptProperty_105","decimal","Laboratory Test Result"
"BiomedicalConceptProperty","True","Laboratory Test Fasting Status","700aa0ce-e500-4b56-b6c0-7f3c853b2a0a","True","BiomedicalConceptProperty_106","boolean","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","True","Unit of Catalytic Activity Concentration","bce5b69a-cdc0-491b-930b-51bd7a9689ce","True","BiomedicalConceptProperty_107","string","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty","True","Biospecimen Type","efc1a6e0-e9d6-4407-ab7f-ff90b7255d91","True","BiomedicalConceptProperty_108","string","Biospecimen Type"
"BiomedicalConceptProperty","True","Laboratory Test Result","eee4992b-a6cb-4e20-95b0-914d6c7262d1","True","BiomedicalConceptProperty_109","string","Laboratory Test Result"
"BiomedicalConceptProperty","True","Laboratory Test Fasting Status","d92ab6cd-c6d7-4831-b904-0c23d3d0a90b","True","BiomedicalConceptProperty_110","boolean","Laboratory Test Fasting Status"
"BiomedicalConceptProperty","True","Unit of Concentration","76aea5e3-cbcb-45d7-a2e2-3111d1ec6e58","True","BiomedicalConceptProperty_111","string","Unit of Concentration"
"BiomedicalConceptProperty","True","Biospecimen Type","259510b4-3a8a-482c-bf4b-d1b8c82ae0e7","True","BiomedicalConceptProperty_112","string","Biospecimen Type"
"BiomedicalConceptProperty","True","Laboratory Test Result","9bce3559-fdc3-4770-aaa3-216a7f642577","True","BiomedicalConceptProperty_113","decimal","Laboratory Test Result"
"BiomedicalConceptProperty","True","Laboratory Test Fasting Status","0348aed9-4b73-4aed-bff6-372accb60ac3","True","BiomedicalConceptProperty_114","boolean","Laboratory Test Fasting Status"
