"label","name","synonyms","uuid:ID","id","reference","instanceType"
"Body Temperature","Body Temperature","['Temperature']","85be477d-da0c-4806-a3ae-bf5f77f07fd1","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept"
"Body Weight","Body Weight","['Weight']","bc23cb17-e63e-49b1-8738-f51dafd33860","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept"
"Body Height","Body Height","['Height']","4fa17c57-4758-4cce-b88e-7f0c5fbaa8b3","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","1d80e319-1e8a-47d8-807e-330b4be4ebf6","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"Albumin Measurement","Albumin Measurement","['Albumin']","b682b493-a9ff-4274-878a-af747c1baecf","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","ffe20264-4034-49ee-9626-144e42210aaf","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","c9e76e5d-fa45-4fef-8e19-f6d6370813c7","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"Creatinine Measurement","Creatinine Measurement","['Creatinine']","4e30cb9c-c280-49e0-a0a9-6ff5d3199b3b","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"Potassium Measurement","Potassium Measurement","['Potassium', 'K']","9ee8bd22-2076-404b-94ea-f51fcee66938","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","2e7a3600-9111-4616-93b1-1e5e65cabdb3","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"Adverse Event","Adverse Event","['Adverse Event Reported Term', 'AETERM']","a394844e-784e-4277-87ff-138bdfbf148b","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","ee635910-9c6c-4c18-98e9-39a090dcbcb1","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","1bd7c731-9ba0-48ec-9c1d-6bf2224c54f8","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"Body Temperature","Body Temperature","['Temperature']","ea106163-d8dd-475a-b085-5f25e4654dfd","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept"
"Body Weight","Body Weight","['Weight']","546d35ea-34da-4315-8e1b-2b4a425ad70a","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept"
"Body Height","Body Height","['Height']","c9d19c1b-2b84-400b-82e3-1abef52646ac","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept"
"Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","b4b06b63-f305-4af0-ba2b-162054015690","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept"
"Albumin Measurement","Albumin Measurement","['Albumin']","f5721c85-2266-4810-88bc-3931beb2fe42","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept"
"Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","0767b2f0-84dd-44f3-bdb2-92e0c3a66130","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","ea93ac21-afd3-4b25-a91b-526e36a58cf7","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept"
"Creatinine Measurement","Creatinine Measurement","['Creatinine']","59476181-24b0-49c4-9ff2-232154aa1619","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept"
"Potassium Measurement","Potassium Measurement","['Potassium', 'K']","d639e046-c565-4359-b59f-5ec78386989c","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept"
"Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","8e0035c8-996d-40ae-9727-a79acce4e5ea","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","6efd831d-986e-4e39-b1ed-bbf1defb9c37","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","9622d78d-6981-4959-97fc-da6f07ec39c4","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"Heart Rate","Heart Rate","","80329e39-64d3-439e-b5c4-f857c980aa4a","BiomedicalConcept_16","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept"
"Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","79ba6154-d0d1-4fea-81fd-9fe0feced743","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept"
"Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","1c4586c8-4eb8-4fea-b4ac-33f37e4195c9","BiomedicalConcept_18","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept"
"Heart Rate","Heart Rate","","50cdc292-da39-469c-a1f5-e017fb07aaee","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept"
