"name","uuid:ID","text","id","sectionNumber","instanceType","sectionTitle"
"ROOT","cc6af20c-4062-4add-9fe4-c2e1deea2d6f","","NarrativeContent_1","0","NarrativeContent","Root"
"SECTION 0","651ef0d3-6dbe-451f-952c-120d1d509e5a","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","0","NarrativeContent","TITLE PAGE"
"SECTION 1","0871b313-1182-4a7b-9ef0-6458aa3b830f","<div></div>","NarrativeContent_3","1","NarrativeContent","PROTOCOL SUMMARY"
"SECTION 1.1","1755ac6a-55ba-4075-a46a-db6162ed7834","<div></div>","NarrativeContent_4","1.1","NarrativeContent","Protocol Synopsis"
"SECTION 1.2","6a06420a-6079-479d-81a8-f3658472e6a7","<div></div>","NarrativeContent_5","1.2","NarrativeContent","Trial Schema"
"SECTION 1.3","02b88049-e7ff-4993-b497-4df55f06726d","<div></div>","NarrativeContent_6","1.3","NarrativeContent","Schedule of Activities"
"SECTION 2","8d539873-6a98-467e-aa35-7156bd965875","<div></div>","NarrativeContent_7","2","NarrativeContent","INTRODUCTION"
"SECTION 2.1","3734a49e-d1cd-4e1e-9f16-aee48b96a222","<div></div>","NarrativeContent_8","2.1","NarrativeContent","Purpose of Trial"
"SECTION 2.2","36ac2fc9-f8a4-4931-b628-460f5dc3fbbd","<div></div>","NarrativeContent_9","2.2","NarrativeContent","Summary of Benefits and Risks"
"SECTION 3","6a4d0961-97c3-4790-8fa0-d4006084bd4d","<div></div>","NarrativeContent_10","3","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"SECTION 3.1","07bf87c1-92da-44fd-a5cb-b1e7bd1d281a","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","3.1","NarrativeContent","Primary Objectives"
"SECTION 4","8e3c15b8-bd51-4671-b301-fa8062b93753","<div></div>","NarrativeContent_12","4","NarrativeContent","TRIAL DESIGN"
"SECTION 4.1","ca2d5017-6a0f-455d-a653-e3314695de45","<div></div>","NarrativeContent_13","4.1","NarrativeContent","Description of Trial Design"
"SECTION 4.1.1","4ece3a37-b700-4670-ae8d-f05cb8257ad4","<div></div>","NarrativeContent_14","4.1.1","NarrativeContent","Participant Input into Design"
"SECTION 4.2","6f60f855-afad-4994-8a93-a8fff5521850","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","4.2","NarrativeContent","Rationale for Trial Design"
"SECTION 4.2.1","bf9e6acc-171a-4825-b9ec-3861f254911b","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","4.2.1","NarrativeContent","Rationale for Comparator"
"SECTION 4.2.2","a5e374e0-cb0e-457f-b559-43a98ab91af7","<div></div>","NarrativeContent_17","4.2.2","NarrativeContent","Rationale for Adaptive or Novel Trial Design"
"SECTION 4.2.3","58d4cfc7-20d5-4e64-8a5f-d46281f60d24","<div></div>","NarrativeContent_18","4.2.3","NarrativeContent","Other Trial Design Considerations"
"SECTION 4.3","e33b44b7-5380-4ab4-9daf-7a0a65394c93","<div></div>","NarrativeContent_19","4.3","NarrativeContent","Access to Trial Intervention After End of Trial"
"SECTION 4.4","a23e0d13-9cf4-4099-9b0b-0f6a269b3a02","<div></div>","NarrativeContent_20","4.4","NarrativeContent","Start of Trial and End of Trial"
"SECTION 5","9af7037f-68b3-4233-92d7-e216fcde795f","<div></div>","NarrativeContent_21","5","NarrativeContent","TRIAL POPULATION"
"SECTION 5.1","e88ceb60-1e14-40a3-922f-753cc88d5fb0","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","5.1","NarrativeContent","Selection of Trial Population"
"SECTION 5.2","41e107ac-6748-4331-983d-6247ed4538e8","<div></div>","NarrativeContent_23","5.2","NarrativeContent","Rationale for Trial Population"
"SECTION 5.3","8f609f3e-9086-4d60-85d0-eaeb1124a489","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","5.3","NarrativeContent","Inclusion Criteria"
