"label","name","isRequired","uuid:ID","datatype","id","isEnabled","instanceType"
"Vital Signs Result","Vital Signs Result","True","2a5e8941-c914-4124-b4ea-9565b90112de","decimal","BiomedicalConceptProperty_98","True","BiomedicalConceptProperty"
"Unit of Temperature","Unit of Temperature","True","2e1171d3-9af9-49ea-ae2f-75b3e571c0d9","string","BiomedicalConceptProperty_99","True","BiomedicalConceptProperty"
"Vital Signs Location","Vital Signs Location","True","3d24646c-1831-4d61-9343-6bf73422648d","string","BiomedicalConceptProperty_100","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","820ecea4-4b8d-4195-af3a-0d4c8e5daf46","decimal","BiomedicalConceptProperty_101","True","BiomedicalConceptProperty"
"Unit of Weight","Unit of Weight","True","dfea04b8-9535-48ba-809f-bc8f029f3ee8","string","BiomedicalConceptProperty_102","True","BiomedicalConceptProperty"
"Vital Signs Result","Vital Signs Result","True","c9bf2231-922a-440c-8663-c11d1c6b3e0c","decimal","BiomedicalConceptProperty_103","True","BiomedicalConceptProperty"
"Unit of Height","Unit of Height","True","c25788cd-5f18-4822-bf0d-d3e5f7bfb254","string","BiomedicalConceptProperty_104","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","2248705e-c14c-4f3a-9bbf-9cfaacbaeb05","decimal","BiomedicalConceptProperty_105","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","c0ad37f7-364a-4544-a56e-9e4900712e24","boolean","BiomedicalConceptProperty_106","True","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","c5a0db35-438d-4d8b-aae7-a2e983ae1cde","string","BiomedicalConceptProperty_107","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","b7abed88-a696-4625-9a74-3881ca8a0eea","string","BiomedicalConceptProperty_108","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","0021689d-3ee0-4d15-bcdf-2cf03aa25c9b","string","BiomedicalConceptProperty_109","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","7f2d6a1d-d9be-49cb-8da4-7fe8b510ef9d","boolean","BiomedicalConceptProperty_110","True","BiomedicalConceptProperty"
"Unit of Concentration","Unit of Concentration","True","43a0c37c-efa3-448f-8e85-f80b86c709b5","string","BiomedicalConceptProperty_111","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","0fbe5d55-f3b0-4373-8980-bc94758d9b34","string","BiomedicalConceptProperty_112","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","208b8c2a-c1b6-4189-b34c-da1eb63f5a49","decimal","BiomedicalConceptProperty_113","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","2cdb8e40-2010-4f88-b0a7-8f7a9dcc8f92","boolean","BiomedicalConceptProperty_114","True","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","f829cb10-00fb-437e-95dc-65163634856c","string","BiomedicalConceptProperty_115","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","a8d68e96-2c94-4157-9285-a5112f8428fd","string","BiomedicalConceptProperty_116","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","a5c8dae1-e4f8-436e-971f-ef03e52903b1","decimal","BiomedicalConceptProperty_117","True","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","9f161ca0-3081-4655-8feb-337093430481","boolean","BiomedicalConceptProperty_118","True","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","71ede658-12f2-49aa-8292-12fb15f74be6","string","BiomedicalConceptProperty_119","True","BiomedicalConceptProperty"
"Biospecimen Type","Biospecimen Type","True","3677bf88-3f0b-4ebc-8663-9504aa1dd264","string","BiomedicalConceptProperty_120","True","BiomedicalConceptProperty"
"Laboratory Test Result","Laboratory Test Result","True","70eb1d32-3bcd-4ce8-b29b-4f3232db1240","string","BiomedicalConceptProperty_121","True","BiomedicalConceptProperty"
