"decode","uuid:ID","codeSystemVersion","id","instanceType","codeSystem","code"
"Interventional Study","1eb4fd21-9ea6-46a2-b770-8fd749a24b9b","2023-09-29","Code_1","Code","http://www.cdisc.org","C98388"
"Phase II Trial","bb4e1a39-f5d7-4a54-bf89-e5fc112a71ba","2023-09-29","Code_2","Code","http://www.cdisc.org","C15601"
"Sponsor Approval Date","399a05c1-c123-4f21-9a10-4e796551f277","2023-09-29","Code_9","Code","http://www.cdisc.org","C132352"
"Global","75d282d6-98cb-447c-84a6-3f43ff109267","2023-09-29","Code_10","Code","http://www.cdisc.org","C68846"
"IRB/IEC Feedback","1cf27df7-7485-467c-b352-5a76bae68b4b","2023-09-29","Code_72","Code","http://www.cdisc.org","C99904x3"
"Other","8c95bed8-1ac1-4cd7-a90d-28b4a60c0c4b","2023-09-29","Code_73","Code","http://www.cdisc.org","C17649"
"Region","8253107d-0833-4a49-aa7a-e95e1c296372","2023-09-29","Code_75","Code","http://www.cdisc.org","C41129"
"Europe","e686eb6c-1a44-430f-8753-511c034f7273","2020-08","Code_74","Code","ISO 3166 1 alpha3","150"
"Eli Lilly","3d7cd31c-b3ed-48ef-ab47-05ff04e31dec","12","Code_4","Code","SPONSOR","PHARMA"
"Clinical Study Sponsor","0c46a911-365a-4239-83e6-d5e437ac248b","2023-09-29","Code_76","Code","http://www.cdisc.org","C70793"
"Denmark","2b99259d-f6dc-4b65-8cfa-f5c0da4bbe6d","2020-08","Code_77","Code","ISO 3166 1 alpha3","DNK"
"Study Registry","0c16bb50-3e0e-40a4-8d7b-764a2ec1438f","2023-09-29","Code_78","Code","http://www.cdisc.org","C93453"
"Treatment Study","dfcd7e6a-d459-4265-ab0a-2cf681ab75e8","2023-09-29","Code_136","Code","http://www.cdisc.org","C49656"
"Efficacy Study","4294ea3d-f255-4851-b954-d9a168aef228","2023-09-29","Code_137","Code","http://www.cdisc.org","C49666"
"Safety Study","0dd916a0-77f8-45a2-81b5-cd19c0615a03","2023-09-29","Code_138","Code","http://www.cdisc.org","C49667"
"Pharmacokinetic Study","058bc2cb-6367-4d48-8460-25cd71115fe7","2023-09-29","Code_139","Code","http://www.cdisc.org","C49663"
"Mild to Moderate Alzheimer's Disease","d377e7e3-77e6-4e13-9e5e-b38a5382c33c","12","Code_133","Code","SPONSOR","MILD_MOD_ALZ"
"Alzheimer's disease","fbca9ecd-0082-47e4-bcf9-13fba9123aa5","January 31, 2018","Code_134","Code","SNOMED","26929004"
"EXTENSION","dff6a33f-e185-493d-929b-7b042f64e4dd","2023-09-29","Code_142","Code","http://www.cdisc.org","C99907x1"
"ADAPTIVE","095d9806-e2ec-4b22-98cd-6a7e6307983b","2023-09-29","Code_143","Code","http://www.cdisc.org","C98704"
"Parallel Study","7ce57bc7-cea5-4915-a934-356e76b8a22b","2023-09-29","Code_140","Code","http://www.cdisc.org","C82639"
"Visit","58f65ac4-ae9f-4eb5-bc20-71fb04cfdf07","2023-09-29","Code_82","Code","http://www.cdisc.org","C25716"
"Clinic","d5497cb2-30d3-4c92-a877-92dff537297d","2023-09-29","Code_83","Code","http://www.cdisc.org","C51282"
"In Person","d56b8981-d4d1-4fd0-ab4a-1ba58f15627f","2023-09-29","Code_84","Code","http://www.cdisc.org","C175574"
"Visit","13d4588d-5626-464b-b227-d07cce4a0dde","2023-09-29","Code_85","Code","http://www.cdisc.org","C25716"
"Clinic","8c3fb8d4-c5a9-4fe5-a425-87c8224203d9","2023-09-29","Code_86","Code","http://www.cdisc.org","C51282"
"In Person","cc73b926-9366-450a-a1f4-fa30bbe24a5d","2023-09-29","Code_87","Code","http://www.cdisc.org","C175574"
"Visit","c1654579-f8b6-45f2-9308-11548e3b96ea","2023-09-29","Code_88","Code","http://www.cdisc.org","C25716"
"Clinic","cc4f70ab-00a3-4e7c-a4f4-1633c109b693","2023-09-29","Code_89","Code","http://www.cdisc.org","C51282"
"In Person","e224636a-94e1-438b-b129-55089a0a5e7d","2023-09-29","Code_90","Code","http://www.cdisc.org","C175574"
"Visit","98d74845-4bc3-4f0a-8112-78e43ba3bdca","2023-09-29","Code_91","Code","http://www.cdisc.org","C25716"
"Clinic","18f2910f-7456-451f-9eab-48f8588ab52a","2023-09-29","Code_92","Code","http://www.cdisc.org","C51282"
"In Person","e88abb63-3d64-4796-aa38-4d19dae98dde","2023-09-29","Code_93","Code","http://www.cdisc.org","C175574"
"Visit","61a1aae9-1278-40de-8a31-ed6d648abdb0","2023-09-29","Code_94","Code","http://www.cdisc.org","C25716"
"Clinic","e7bb1766-5706-4f29-a23b-feb1f4034593","2023-09-29","Code_95","Code","http://www.cdisc.org","C51282"
"In Person","d5b771ab-7433-4944-9789-29db86d42ba7","2023-09-29","Code_96","Code","http://www.cdisc.org","C175574"
"Visit","c6fdf821-96c5-4378-abd3-ab015e9cbc06","2023-09-29","Code_97","Code","http://www.cdisc.org","C25716"
"Clinic","a0a257e4-5e1a-4fdb-94c3-510512f0cd54","2023-09-29","Code_98","Code","http://www.cdisc.org","C51282"
"In Person","0f9c0115-1229-4e7a-b06b-9e5a91f4221c","2023-09-29","Code_99","Code","http://www.cdisc.org","C175574"
"Visit","996738ba-8755-4b25-a745-937bd904ef8c","2023-09-29","Code_100","Code","http://www.cdisc.org","C25716"
"Clinic","8b3a4c83-3655-4fb1-ac82-fae1b1ad65b4","2023-09-29","Code_101","Code","http://www.cdisc.org","C51282"
"In Person","9583a385-c160-40d5-8d49-c9b4bd7f970d","2023-09-29","Code_102","Code","http://www.cdisc.org","C175574"
"Telephone Call","d82d9f9c-21e5-4bec-ae31-5a450383378c","2023-09-29","Code_103","Code","http://www.cdisc.org","C171537"
"Visit","4b144705-2bc3-4562-97d9-1d7070c69432","2023-09-29","Code_104","Code","http://www.cdisc.org","C25716"
"Clinic","2d149793-3331-402a-ba23-c7d44e44a3d3","2023-09-29","Code_105","Code","http://www.cdisc.org","C51282"
"In Person","abf668a7-d44c-45a3-af26-540d94a9dc23","2023-09-29","Code_106","Code","http://www.cdisc.org","C175574"
"Telephone Call","0821659f-599e-49e1-8ad2-e5d5e770c008","2023-09-29","Code_107","Code","http://www.cdisc.org","C171537"
"Visit","04892fdb-ce85-4674-97fe-25829289e217","2023-09-29","Code_108","Code","http://www.cdisc.org","C25716"
"Clinic","21ac213b-ff76-4afb-a55c-ebe74eda64b6","2023-09-29","Code_109","Code","http://www.cdisc.org","C51282"
"In Person","a2da394d-8e59-4e15-aad9-2816dc3dae3a","2023-09-29","Code_110","Code","http://www.cdisc.org","C175574"
"Telephone Call","ebc77385-db29-4833-9d2a-efbb3672b538","2023-09-29","Code_111","Code","http://www.cdisc.org","C171537"
"Visit","2b9c71d0-6165-4065-88a1-0c0a3061ace3","2023-09-29","Code_112","Code","http://www.cdisc.org","C25716"
"Clinic","7b36aa98-a4d4-45a5-862f-ca9511b89fa0","2023-09-29","Code_113","Code","http://www.cdisc.org","C51282"
"In Person","b07a0d6e-c5e1-4dec-8f2f-1e671e385b4b","2023-09-29","Code_114","Code","http://www.cdisc.org","C175574"
"Telephone Call","b58f2d24-4ae8-4db3-a5b4-ee5fc031f1b2","2023-09-29","Code_115","Code","http://www.cdisc.org","C171537"
"Visit","d4ca7307-6dac-4181-9829-67d1da8519d9","2023-09-29","Code_116","Code","http://www.cdisc.org","C25716"
"Clinic","e91def40-88d5-4878-82d0-5a8d6c830ee5","2023-09-29","Code_117","Code","http://www.cdisc.org","C51282"
"In Person","7efb9275-e679-468b-ac0a-2e9d5328137e","2023-09-29","Code_118","Code","http://www.cdisc.org","C175574"
"Visit","5ffc2241-1040-47c5-9d8a-8ed6ae4b4a56","2023-09-29","Code_119","Code","http://www.cdisc.org","C25716"
"Clinic","3b8ea6de-fb86-46cb-84af-bc37cfb69cda","2023-09-29","Code_120","Code","http://www.cdisc.org","C51282"
"In Person","91438db8-a0ee-4870-9957-9854aff3daed","2023-09-29","Code_121","Code","http://www.cdisc.org","C175574"
"CT of head without contrast","9a39d25a-e309-48a8-8e9f-79c6e57729a6","January 31, 2018","Code_79","Code","SNOMED","383371000119108"
