"name","uuid:ID","text","id","instanceType"
"ENCOUNTER_START_RULE_1","1f6881a1-c0f7-45d8-ae79-fa8b8a7364dd","Subject identifier","TransitionRule_1","TransitionRule"
"ENCOUNTER_START_RULE_1","4647d479-dd60-4863-9fe5-0a5f34b94840","completion of screening activities","TransitionRule_2","TransitionRule"
"ENCOUNTER_START_RULE_2","7d828816-ff6d-47f9-a1cc-0e50ec86e2eb","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule"
"ENCOUNTER_START_RULE_3","e45fe7e6-5985-4252-ab71-547113e56a64","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule"
"ENCOUNTER_START_RULE_3","e394454f-2536-4de9-a7db-ad3eebfcbf37","Radomized","TransitionRule_5","TransitionRule"
"ENCOUNTER_START_RULE_12","975ba46d-66e3-4ad9-ba1c-9cf255fbb662","End of treatment","TransitionRule_6","TransitionRule"
"ELEMENT_START_RULE_1","c66bef1c-2172-4034-88ae-f2183c2843be","Informed consent","TransitionRule_7","TransitionRule"
"ELEMENT_END_RULE_1","a472c872-42ad-4a0b-99c7-ea0ea84be4d7","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule"
"ELEMENT_START_RULE_2","97ec107b-1d72-4e42-a64b-caf6ee190dc4","Administration of first dose","TransitionRule_9","TransitionRule"
"ELEMENT_START_RULE_7","b2f457c1-88b6-4882-9b8b-30becc0715d8","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule"
"ELEMENT_END_RULE_7","e2d7d6d6-4f2e-479f-aa04-52b307e75a1d","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule"
"ELEMENT_START_RULE_3","21a5d384-0581-4836-b921-0097ce2a6a8f","Administration of first dose","TransitionRule_10","TransitionRule"
"ELEMENT_START_RULE_4","f6e86b3d-82c8-4675-bdc8-dff9b413d76f","Randomized","TransitionRule_11","TransitionRule"
"ELEMENT_START_RULE_5","1b186f93-8b1f-4ec8-aedf-26c9e4e30d61","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule"
"ELEMENT_START_RULE_6","78f4d0cf-9051-4d81-8c6b-bf5d36579dcc","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule"
