"sectionTitle","uuid:ID","text","name","id","instanceType","sectionNumber"
"Root","b79ce297-2f61-4356-826f-150d689fc11a","","ROOT","NarrativeContent_1","NarrativeContent","0"
"TITLE PAGE","6c293f1b-85a0-422f-b2a2-6a4555f6ac98","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","NarrativeContent_2","NarrativeContent","0"
"PROTOCOL SUMMARY","aceeb6c2-fcb0-478d-97cd-342be7904a81","<div></div>","SECTION 1","NarrativeContent_3","NarrativeContent","1"
"Protocol Synopsis","9b9162d4-4e66-4291-b8e4-65a0de11e49d","<div></div>","SECTION 1.1","NarrativeContent_4","NarrativeContent","1.1"
"Trial Schema","74707293-af81-46a4-95ec-ecc0707cfa71","<div></div>","SECTION 1.2","NarrativeContent_5","NarrativeContent","1.2"
"Schedule of Activities","13231ab7-15f5-45d6-9374-756e226e373a","<div></div>","SECTION 1.3","NarrativeContent_6","NarrativeContent","1.3"
"INTRODUCTION","5e13f7d8-3f9b-49a2-92c4-d413e8c05e82","<div></div>","SECTION 2","NarrativeContent_7","NarrativeContent","2"
"Purpose of Trial","610675a5-6bf9-487d-b989-1adf9ffda7d6","<div></div>","SECTION 2.1","NarrativeContent_8","NarrativeContent","2.1"
"Summary of Benefits and Risks","74b64df7-4ca6-4565-adf5-33a553d73eec","<div></div>","SECTION 2.2","NarrativeContent_9","NarrativeContent","2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","6e5de29e-7a49-4a60-ba1c-60f09917c49d","<div></div>","SECTION 3","NarrativeContent_10","NarrativeContent","3"
"Primary Objectives","d32eef51-00e1-4682-b492-56691bc6840f","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","NarrativeContent_11","NarrativeContent","3.1"
"TRIAL DESIGN","ad4b2c8d-c7ff-4b14-982d-7ddfb2a05e59","<div></div>","SECTION 4","NarrativeContent_12","NarrativeContent","4"
"Description of Trial Design","9a8d6242-f3aa-4aab-9591-fe07ac4f66b5","<div></div>","SECTION 4.1","NarrativeContent_13","NarrativeContent","4.1"
"Participant Input into Design","d0a45903-4187-4ef4-a950-c2aa242599a7","<div></div>","SECTION 4.1.1","NarrativeContent_14","NarrativeContent","4.1.1"
"Rationale for Trial Design","d265dd71-9a10-43a5-b10d-1bb098119493","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","NarrativeContent_15","NarrativeContent","4.2"
"Rationale for Comparator","3258cbcc-b5ba-4cf0-bfee-5d402e00d7e1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","NarrativeContent_16","NarrativeContent","4.2.1"
"Rationale for Adaptive or Novel Trial Design","4b294747-1913-47ae-a0f9-b21942b6b016","<div></div>","SECTION 4.2.2","NarrativeContent_17","NarrativeContent","4.2.2"
"Other Trial Design Considerations","ae40ecc9-1196-445e-aa70-b82712095c19","<div></div>","SECTION 4.2.3","NarrativeContent_18","NarrativeContent","4.2.3"
"Access to Trial Intervention After End of Trial","d7887da8-14c7-4d20-acf1-c3f1bc4914d3","<div></div>","SECTION 4.3","NarrativeContent_19","NarrativeContent","4.3"
"Start of Trial and End of Trial","ee702088-88c9-41e2-a8d6-02efd415d19a","<div></div>","SECTION 4.4","NarrativeContent_20","NarrativeContent","4.4"
"TRIAL POPULATION","4b000e2c-2bdf-478e-98c6-a336f9f8a91e","<div></div>","SECTION 5","NarrativeContent_21","NarrativeContent","5"
