"uuid:ID","text","name","id","instanceType"
"20b815ad-b83f-4985-b78a-ed2e9321bfd4","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule"
"6820e00b-7fa9-4909-a16d-914d774ad485","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule"
"5460d28e-2c0d-441c-9ce6-971238337464","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule"
"2dbb63a4-11d3-4b27-9ae4-17f9ff7b9968","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule"
"a724a49e-7edb-464b-b890-79d31198cc0b","Radomized","ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule"
"2192bc6f-f6a5-4747-8421-98856202811d","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule"
"8cf89f25-a4be-411d-909c-94a689ed198e","Informed consent","ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule"
"510bada9-9db5-4df1-b247-082c001c5cf7","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule"
"bdc98255-0eec-46cc-b285-e2481f0a9898","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule"
"02f8cae3-4df2-4d8a-b39b-3f11437ef044","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule"
"9dd9f88d-1983-4c12-a78e-4a0475fb1955","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule"
"bc22b766-d4aa-4b77-8a7d-a8191f2c2824","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule"
"1457e394-c722-4063-82c8-812defc78aa5","Randomized","ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule"
"f1eed040-db68-4fd5-8000-d6ad91f983d2","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule"
"2ed15865-2a99-46cb-8de8-ea4b90f80367","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule"
