"uuid:ID","name","id","instanceType","description","label"
"3bbe2754-41d1-4909-b3ce-a83aee17eec6","E1","Encounter_1","Encounter","Screening encounter","Screening 1"
"60ae7acf-483a-43e0-9035-afc682bba9b8","E2","Encounter_2","Encounter","Screening encounter - Ambulatory ECG Placement","Screening 2"
"48d60564-9fd3-47e7-91f1-c9ad9de08193","E3","Encounter_3","Encounter","Baseline encounter - Ambulatory ECG Removal","Baseline"
"e65f9bc7-d89f-44b3-8dc2-bbcf7f4a60bc","E4","Encounter_4","Encounter","Day 14","Week 2"
"46d8e764-4426-40e0-a066-fb9ee435bc84","E5","Encounter_5","Encounter","Day 28","Week 4"
"c42341be-f9d0-4d82-84f7-0419c844576c","E7","Encounter_6","Encounter","Day 42","Week 6"
"c6c7c12a-8762-48b2-a979-e49151b0c4ae","E8","Encounter_7","Encounter","Day 56","Week 8"
"9fd7b14e-938d-4766-a3ac-404a9e94020f","E9","Encounter_8","Encounter","Day 84","Week 12"
"836c4e91-29c4-4178-a823-b7735c843659","E10","Encounter_9","Encounter","Day 112","Week 16"
"77040f32-1c60-4ce0-a2e4-837177ae3610","E11","Encounter_10","Encounter","Day 140","Week 20"
"a12c5164-148a-4f26-b9b2-7b2e8672b017","E12","Encounter_11","Encounter","Day 168","Week 24"
"b748968f-7ce7-454a-aab0-d9cc51dfe415","E13","Encounter_12","Encounter","Day 182","Week 26"
