"uuid:ID","codeSystemVersion","code","id","decode","instanceType","codeSystem"
"7bbf706f-e717-461f-88b6-5acb09ac3a7d","2023-09-29","C98388","Code_1","Interventional Study","Code","http://www.cdisc.org"
"2c7608be-fd14-4cd6-a301-6c0dcd210194","2023-09-29","C15601","Code_2","Phase II Trial","Code","http://www.cdisc.org"
"140f3e15-85a7-4127-96fa-14766e689207","2023-09-29","C132352","Code_9","Sponsor Approval Date","Code","http://www.cdisc.org"
"8030afe2-2d1b-43f4-9e70-ae2c791b32c4","2023-09-29","C68846","Code_10","Global","Code","http://www.cdisc.org"
"b0f0d98f-b58c-491a-82f5-f7419e5923fe","2023-09-29","C99904x3","Code_72","IRB/IEC Feedback","Code","http://www.cdisc.org"
"532976cf-dc7f-468a-b7dc-5dcad3f40b0b","2023-09-29","C17649","Code_73","Other","Code","http://www.cdisc.org"
"721a915e-ed21-4a85-b1d9-0d4ba2eb79d3","2023-09-29","C41129","Code_75","Region","Code","http://www.cdisc.org"
"6a358bce-0eb2-4e9b-a6b4-c26544900817","2020-08","150","Code_74","Europe","Code","ISO 3166 1 alpha3"
"4c4dac48-7fb6-497f-9856-80a334c20cb8","12","PHARMA","Code_4","Eli Lilly","Code","SPONSOR"
"16f0e900-4284-4d84-84a6-2e8e43059634","2023-09-29","C70793","Code_76","Clinical Study Sponsor","Code","http://www.cdisc.org"
"18c7e186-0e40-45dc-9e7e-99d951a22aa2","2020-08","DNK","Code_77","Denmark","Code","ISO 3166 1 alpha3"
"3f4506c7-7566-473b-bd4c-461e6f48c977","2023-09-29","C93453","Code_78","Study Registry","Code","http://www.cdisc.org"
"7373180e-0cbd-4210-8858-62dd50315643","2023-09-29","C49656","Code_136","Treatment Study","Code","http://www.cdisc.org"
"72bade9d-7a6d-4a8c-9876-7a76ff8b6384","2023-09-29","C49666","Code_137","Efficacy Study","Code","http://www.cdisc.org"
"8a499f22-4a67-4577-879d-7c58af1f27d1","2023-09-29","C49667","Code_138","Safety Study","Code","http://www.cdisc.org"
"a05e5515-6456-4052-993a-90e3013143f9","2023-09-29","C49663","Code_139","Pharmacokinetic Study","Code","http://www.cdisc.org"
"13ed3f8f-28d0-4000-ac20-d6d1ba13213b","12","MILD_MOD_ALZ","Code_133","Mild to Moderate Alzheimer's Disease","Code","SPONSOR"
"436c0354-f3b2-4d8b-b33d-112c4ea7c425","January 31, 2018","26929004","Code_134","Alzheimer's disease","Code","SNOMED"
"aa64db61-84e9-4b24-a92e-75be6150d357","2023-09-29","C99907x1","Code_142","EXTENSION","Code","http://www.cdisc.org"
"25ccb4d2-403b-4341-9041-280f1531b501","2023-09-29","C98704","Code_143","ADAPTIVE","Code","http://www.cdisc.org"
"926c657f-eea2-44a2-b032-d17fc1579ec8","2023-09-29","C82639","Code_140","Parallel Study","Code","http://www.cdisc.org"
"efbae230-c6a9-4618-bc03-4bb8bc0c7e2c","2023-09-29","C25716","Code_82","Visit","Code","http://www.cdisc.org"
"9b72a83f-934c-4beb-b780-f50aebf6771b","2023-09-29","C51282","Code_83","Clinic","Code","http://www.cdisc.org"
"ac37530a-bee5-42ba-ab41-e55747d2730f","2023-09-29","C175574","Code_84","In Person","Code","http://www.cdisc.org"
"c9fee4d0-9dc9-49c4-ae2a-4c1982dc6dbc","2023-09-29","C25716","Code_85","Visit","Code","http://www.cdisc.org"
"5c4e1687-da16-4e9a-9a02-62512835f448","2023-09-29","C51282","Code_86","Clinic","Code","http://www.cdisc.org"
"d21ac45b-74c6-4154-9992-03178ff43a20","2023-09-29","C175574","Code_87","In Person","Code","http://www.cdisc.org"
"cff0531a-aa5b-4a73-98ad-f9e9c5dfbf02","2023-09-29","C25716","Code_88","Visit","Code","http://www.cdisc.org"
"d1d47dd5-fc08-448d-934e-7b51caa9dc2a","2023-09-29","C51282","Code_89","Clinic","Code","http://www.cdisc.org"
"e544a252-14f6-432c-980b-720bdeafd6a3","2023-09-29","C175574","Code_90","In Person","Code","http://www.cdisc.org"
"911f19e7-3295-449f-bc9f-7aa196ca8d67","2023-09-29","C25716","Code_91","Visit","Code","http://www.cdisc.org"
"35f28a9e-83d3-4365-aec8-e543d2ac597f","2023-09-29","C51282","Code_92","Clinic","Code","http://www.cdisc.org"
"29f63b25-dee8-4911-a241-3f723ee4b7f2","2023-09-29","C175574","Code_93","In Person","Code","http://www.cdisc.org"
"e1d4ade6-0e2e-4bc3-a28f-8a05b42e99d3","2023-09-29","C25716","Code_94","Visit","Code","http://www.cdisc.org"
"92ee0f9e-0d7a-4c6e-aded-f581022893f1","2023-09-29","C51282","Code_95","Clinic","Code","http://www.cdisc.org"
"563458e6-b4a6-434d-b31a-ca00ee79dc25","2023-09-29","C175574","Code_96","In Person","Code","http://www.cdisc.org"
"d3d4e031-9cc6-4ee1-8845-477ebeaa8478","2023-09-29","C25716","Code_97","Visit","Code","http://www.cdisc.org"
"325d6091-31ea-44d6-9bad-e2266d59021f","2023-09-29","C51282","Code_98","Clinic","Code","http://www.cdisc.org"
"e39d755d-d8e6-4fdc-81d0-196a6969124f","2023-09-29","C175574","Code_99","In Person","Code","http://www.cdisc.org"
"50cc8af8-92dd-4dde-8bdd-55cee5f51fce","2023-09-29","C25716","Code_100","Visit","Code","http://www.cdisc.org"
"18532f97-cef6-4e8a-923e-ebd876073b2e","2023-09-29","C51282","Code_101","Clinic","Code","http://www.cdisc.org"
"cede632c-7533-4923-92bc-4899466e7011","2023-09-29","C175574","Code_102","In Person","Code","http://www.cdisc.org"
"2c92bfac-a381-441a-afa1-69d537cbd3ce","2023-09-29","C171537","Code_103","Telephone Call","Code","http://www.cdisc.org"
"9a61dc78-74d4-4887-a35b-cd8202531290","2023-09-29","C25716","Code_104","Visit","Code","http://www.cdisc.org"
"2eaca157-8334-46d6-815e-8bac4b45f06f","2023-09-29","C51282","Code_105","Clinic","Code","http://www.cdisc.org"
"b3fe32b5-0f90-4522-b054-7bd044cd564e","2023-09-29","C175574","Code_106","In Person","Code","http://www.cdisc.org"
"74c1854c-ff15-428f-a590-ae8ce3f69048","2023-09-29","C171537","Code_107","Telephone Call","Code","http://www.cdisc.org"
"59c1f00c-f3e1-4f36-98ef-17faa7a4305f","2023-09-29","C25716","Code_108","Visit","Code","http://www.cdisc.org"
"a61bce7b-8b73-44f4-8cac-16892185a159","2023-09-29","C51282","Code_109","Clinic","Code","http://www.cdisc.org"
"5496a9c7-1483-4c53-8d62-c05f4e0b5f32","2023-09-29","C175574","Code_110","In Person","Code","http://www.cdisc.org"
"18c4a9e7-414d-43c7-a5d6-d3cd210e0af5","2023-09-29","C171537","Code_111","Telephone Call","Code","http://www.cdisc.org"
"529483e7-8602-48c4-ad34-9cf9a0799dcf","2023-09-29","C25716","Code_112","Visit","Code","http://www.cdisc.org"
"1435fc1c-c612-47cb-94b1-1f96c04c7e5c","2023-09-29","C51282","Code_113","Clinic","Code","http://www.cdisc.org"
"4a647031-11c2-40a3-93a7-61336e2a0cec","2023-09-29","C175574","Code_114","In Person","Code","http://www.cdisc.org"
"3a871417-c7e4-4aad-851a-cf7368aba93d","2023-09-29","C171537","Code_115","Telephone Call","Code","http://www.cdisc.org"
"d3c63330-5349-455d-8107-349c632f03ec","2023-09-29","C25716","Code_116","Visit","Code","http://www.cdisc.org"
"bfe85a24-a6c8-4b28-80d5-da3251907811","2023-09-29","C51282","Code_117","Clinic","Code","http://www.cdisc.org"
"13a78164-297f-4848-9b38-9d1d9776b7d7","2023-09-29","C175574","Code_118","In Person","Code","http://www.cdisc.org"
"44336856-82e0-45e0-8b27-a183f2921f55","2023-09-29","C25716","Code_119","Visit","Code","http://www.cdisc.org"
"0306efbb-affa-4540-9f3f-85d09306b34d","2023-09-29","C51282","Code_120","Clinic","Code","http://www.cdisc.org"
