"uuid:ID","windowLower","window","windowUpper","name","id","instanceType","value","description","label"
"6687ebe0-d3b2-415b-9ff7-0743042a53a9","","","","TIM1","Timing_1","Timing","P2W","Screening timing","Screening"
"545105ed-351b-4663-b51f-12298f798a4c","PT4H","-4..0 hours","PT0H","TIM2","Timing_2","Timing","P2D","Pre dose timing","Pre dose"
"45537e97-9201-4b1e-a301-063992f2d81e","","","","TIM3","Timing_3","Timing","P1D","Dosing anchor","Dosing"
"c7427ee2-b61d-4c66-becd-0830db5c0efc","P3D","-3..3 days","P3D","TIM4","Timing_4","Timing","P2W","Week 2 timing","Week 2"
"9f18062a-5930-4b81-af35-5997ed201b92","P3D","-3..3 days","P3D","TIM5","Timing_5","Timing","P4W","Week 4 timing","Week 4"
"2251861b-d1e6-4993-a412-ffabcd32282d","P3D","-3..3 days","P3D","TIM6","Timing_6","Timing","P6W","Week 6 timing","Week 6"
"86730450-94e5-49b4-b579-1ba4b75d8fc8","P3D","-3..3 days","P3D","TIM7","Timing_7","Timing","P8W","Week 8 timing","Week 8"
"e5ab4cc5-bdbc-4f1e-85dd-878a08cf207d","P4D","-4..4 days","P4D","TIM9","Timing_9","Timing","P12W","Week 12 timing","Week 12"
"121356b6-1119-4b0f-856f-122653296c1f","P4D","-4..4 days","P4D","TIM11","Timing_11","Timing","P16W","Week 16 timing","Week 16"
"26578198-9757-4c9a-8b48-aaf303f70dc3","P4D","-4..4 days","P4D","TIM13","Timing_13","Timing","P20W","Week 20 timing","Week 20"
"5988dd51-dca4-4a96-a6ea-cc8e80ad4556","P4D","-4..4 days","P4D","TIM15","Timing_15","Timing","P24W","Week 24 timing","Week 24"
"668a04e7-6861-42a5-a157-d6a74c85fc10","P3D","-3..3 days","P3D","TIM16","Timing_16","Timing","P26W","Week 26 timing","Week 26"
"e7405823-f9aa-46a5-bdf4-c3acb6d18234","","","","TIM8","Timing_8","Timing","P2W","Week 8 at home timing","Week 8 Home"
"3fb50588-65df-416d-8c29-ede0a8734cf8","","","","TIM10","Timing_10","Timing","P2W","Week 12 at home timing","Week 12 Home"
"a26b5fef-4f1d-4b15-ad33-cde2b0cfcd8b","","","","TIM12","Timing_12","Timing","P2W","Week 16 at home timing","Week 16 Home"
"bdcf73ff-8cc0-4920-9d59-bfb4c2500910","","","","TIM14","Timing_14","Timing","P2W","Week 20 at home timing","Week 20 Home"
"f35487cb-772e-4947-af4e-562d1f33da19","","","","TIM17","Timing_17","Timing","P1D","Adverse Event","Adverse Event"
"c8dd59c5-cbea-4949-b6ee-c1a4a3c1cd4d","","","","TIM18","Timing_18","Timing","P1D","Early Termination","Early Termination"
"a5d91a2f-4926-4167-ade3-a91789d2a83e","","","","TIM19","Timing_19","Timing","PT0M","Supine","Supine"
"24f38c58-8424-4435-9d9e-abab1e1b8c5e","","","","TIM20","Timing_20","Timing","PT5M","VS while supine","VS while supine"
"eda9e9c3-457c-43c9-af09-f44e07e177dc","","","","TIM21","Timing_21","Timing","PT0M","Standing","Standing"
"51fd1eab-2b68-40dd-b65e-f98b92b3c3bc","","","","TIM22","Timing_22","Timing","PT1M","VS while standing","VS while standing"
"f250914e-bc84-4b30-afed-e592329e0901","","","","TIM23","Timing_23","Timing","PT0M","Standing","Standing"
"61b296d0-1508-4a4d-ac15-90ca9eabc05f","","","","TIM24","Timing_24","Timing","PT2M","VS while standing","VS while standing"
