"uuid:ID","isEnabled","name","id","isRequired","datatype","instanceType","label"
"deb83fa1-4eb8-42ac-b172-110a29ef8d21","True","Vital Signs Result","BiomedicalConceptProperty_98","True","decimal","BiomedicalConceptProperty","Vital Signs Result"
"98f4d913-d822-4aed-8de1-1c9bdaf1fcc6","True","Unit of Temperature","BiomedicalConceptProperty_99","True","string","BiomedicalConceptProperty","Unit of Temperature"
"f71dd861-8141-4f1a-9d99-64f6de1f9339","True","Vital Signs Location","BiomedicalConceptProperty_100","True","string","BiomedicalConceptProperty","Vital Signs Location"
"2c62d3eb-6f96-4e86-9d4c-963a8b899c03","True","Vital Signs Result","BiomedicalConceptProperty_101","True","decimal","BiomedicalConceptProperty","Vital Signs Result"
"01301e94-1154-4196-ac5c-c8135507abdc","True","Unit of Weight","BiomedicalConceptProperty_102","True","string","BiomedicalConceptProperty","Unit of Weight"
"b6f90b53-32d9-4420-a57d-17f2c3574e7e","True","Vital Signs Result","BiomedicalConceptProperty_103","True","decimal","BiomedicalConceptProperty","Vital Signs Result"
"9b1c288c-d5f4-4800-a8cf-ba8d201414eb","True","Unit of Height","BiomedicalConceptProperty_104","True","string","BiomedicalConceptProperty","Unit of Height"
"b744fd3e-6926-45ea-b476-bb4224ef041e","True","Laboratory Test Result","BiomedicalConceptProperty_105","True","decimal","BiomedicalConceptProperty","Laboratory Test Result"
"bf2f83dc-f3a0-46aa-8221-85e5e3666509","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"39806797-cd5d-4e84-822f-3a7e0ca7ad57","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration"
"6dbbfd6a-f04c-4e27-93c7-736c16c7f46e","True","Biospecimen Type","BiomedicalConceptProperty_108","True","string","BiomedicalConceptProperty","Biospecimen Type"
"565e50a0-0375-4a73-aad3-56d4f8e80c6e","True","Laboratory Test Result","BiomedicalConceptProperty_109","True","string","BiomedicalConceptProperty","Laboratory Test Result"
"a71191b7-62ae-4356-8dce-4c2bdbfb896a","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status"
