"window","id","description","windowUpper","windowLower","instanceType","value","name","label","uuid:ID"
"","Timing_1","Screening timing","","","Timing","P2W","TIM1","Screening","cb23b9ec-beb4-4231-8aff-683396760ed5"
"-4..0 hours","Timing_2","Pre dose timing","PT0H","PT4H","Timing","P2D","TIM2","Pre dose","c9dbb561-369f-45ea-90f6-9702b74c3d0e"
"","Timing_3","Dosing anchor","","","Timing","P1D","TIM3","Dosing","3c6f7303-93d2-43d4-9e13-bae714540ad7"
"-3..3 days","Timing_4","Week 2 timing","P3D","P3D","Timing","P2W","TIM4","Week 2","2b539407-632c-44c0-a058-3027057f03f6"
"-3..3 days","Timing_5","Week 4 timing","P3D","P3D","Timing","P4W","TIM5","Week 4","5bb795ee-99cb-4592-aed1-aa1fc33be3ee"
"-3..3 days","Timing_6","Week 6 timing","P3D","P3D","Timing","P6W","TIM6","Week 6","f367a1b3-298f-4f3e-bfbc-628b178c1b06"
"-3..3 days","Timing_7","Week 8 timing","P3D","P3D","Timing","P8W","TIM7","Week 8","d435d877-0560-4d10-ab19-17588de0bd39"
"-4..4 days","Timing_9","Week 12 timing","P4D","P4D","Timing","P12W","TIM9","Week 12","5255fd90-b410-42be-ada9-1cdbf3758b4d"
"-4..4 days","Timing_11","Week 16 timing","P4D","P4D","Timing","P16W","TIM11","Week 16","0908c657-7c74-4476-8c4a-ad0ee2f3d700"
"-4..4 days","Timing_13","Week 20 timing","P4D","P4D","Timing","P20W","TIM13","Week 20","f7a9fce6-1e67-46df-89ef-e4c5644c61a7"
"-4..4 days","Timing_15","Week 24 timing","P4D","P4D","Timing","P24W","TIM15","Week 24","07d93a84-bd41-4611-b384-784f81b39e3b"
"-3..3 days","Timing_16","Week 26 timing","P3D","P3D","Timing","P26W","TIM16","Week 26","497f5a4f-aea6-4211-a38b-ce346767f115"
"","Timing_8","Week 8 at home timing","","","Timing","P2W","TIM8","Week 8 Home","a67fdbad-ef16-4967-938c-140303dfa245"
"","Timing_10","Week 12 at home timing","","","Timing","P2W","TIM10","Week 12 Home","8873a006-56c2-436a-80b6-5c6818a1d385"
"","Timing_12","Week 16 at home timing","","","Timing","P2W","TIM12","Week 16 Home","2d9f9310-e3bc-417f-b5dd-1933482af051"
"","Timing_14","Week 20 at home timing","","","Timing","P2W","TIM14","Week 20 Home","64d0b6fa-57e5-405a-a852-614fdfd4c178"
"","Timing_17","Adverse Event","","","Timing","P1D","TIM17","Adverse Event","2da8d922-d7f0-4943-9515-df6ab0be241d"
"","Timing_18","Early Termination","","","Timing","P1D","TIM18","Early Termination","a34788fa-1ab7-462b-a28b-ecffa13d4f13"
"","Timing_19","Supine","","","Timing","PT0M","TIM19","Supine","4648c4c6-d95d-42e0-bdc4-11e8c9c8458c"
"","Timing_20","VS while supine","","","Timing","PT5M","TIM20","VS while supine","cf7fe62c-f977-47e8-8c05-2b7aeb51985f"
"","Timing_21","Standing","","","Timing","PT0M","TIM21","Standing","58f955f5-807b-4803-8c37-8ccedc08f735"
"","Timing_22","VS while standing","","","Timing","PT1M","TIM22","VS while standing","e3d43354-bb82-4f20-8ae4-0a2aa59417c2"
"","Timing_23","Standing","","","Timing","PT0M","TIM23","Standing","65a06a67-0343-4fce-8504-360a6db0b5b6"
"","Timing_24","VS while standing","","","Timing","PT2M","TIM24","VS while standing","c90dd340-8205-44d4-8700-ee768353a0bd"
