"decode","id","codeSystem","instanceType","codeSystemVersion","code","uuid:ID"
"Interventional Study","Code_1","http://www.cdisc.org","Code","2023-09-29","C98388","b26db74c-bde0-4dbb-b4e1-03b8e40c3430"
"Phase II Trial","Code_2","http://www.cdisc.org","Code","2023-09-29","C15601","d03af1f9-0c95-4906-b340-a2a9ecd3c6dc"
"Sponsor Approval Date","Code_9","http://www.cdisc.org","Code","2023-09-29","C132352","fd50649e-f51a-45bc-a258-e620796b444c"
"Global","Code_10","http://www.cdisc.org","Code","2023-09-29","C68846","eccb3955-b3e0-476b-bc44-66ea936a8892"
"IRB/IEC Feedback","Code_72","http://www.cdisc.org","Code","2023-09-29","C99904x3","96f8461b-1e29-4e59-802b-8293bc67e614"
"Other","Code_73","http://www.cdisc.org","Code","2023-09-29","C17649","21564191-54e8-43c4-9762-4bb57abcd2cb"
"Region","Code_75","http://www.cdisc.org","Code","2023-09-29","C41129","f34e04b7-ba28-4a13-8fa6-7738e9dcd48f"
"Europe","Code_74","ISO 3166 1 alpha3","Code","2020-08","150","9bbf0a07-307e-4918-8088-dd3055118f8a"
"Eli Lilly","Code_4","SPONSOR","Code","12","PHARMA","fe17b9d6-6104-49af-aa08-c91628108378"
"Clinical Study Sponsor","Code_76","http://www.cdisc.org","Code","2023-09-29","C70793","4b31371d-44be-43d4-9ca4-6718a49c1fff"
"Denmark","Code_77","ISO 3166 1 alpha3","Code","2020-08","DNK","4f258f20-c069-4704-b0dc-951ac6154951"
"Study Registry","Code_78","http://www.cdisc.org","Code","2023-09-29","C93453","67dcc3f1-01d3-4aa4-bee7-061b4591c7e8"
"Treatment Study","Code_136","http://www.cdisc.org","Code","2023-09-29","C49656","b5fd2527-5369-46ce-923d-962dca7e74cb"
"Efficacy Study","Code_137","http://www.cdisc.org","Code","2023-09-29","C49666","be25eb78-c083-467e-993a-6f6cf078e7b6"
"Safety Study","Code_138","http://www.cdisc.org","Code","2023-09-29","C49667","aa936675-8618-4576-9148-6371096596d8"
"Pharmacokinetic Study","Code_139","http://www.cdisc.org","Code","2023-09-29","C49663","aa931c94-d18d-4fff-8743-b75f3cc8c1ae"
"Mild to Moderate Alzheimer's Disease","Code_133","SPONSOR","Code","12","MILD_MOD_ALZ","10711c20-59cf-4e94-9c71-c83ca2507d93"
"Alzheimer's disease","Code_134","SNOMED","Code","January 31, 2018","26929004","78705b33-7d05-429b-bd51-4bf530ef3c5e"
"EXTENSION","Code_142","http://www.cdisc.org","Code","2023-09-29","C99907x1","310a2775-48dc-46e2-9606-efebf04f2d6c"
"ADAPTIVE","Code_143","http://www.cdisc.org","Code","2023-09-29","C98704","c9f0892a-c773-4ea7-aa3f-d8f948772b3b"
"Parallel Study","Code_140","http://www.cdisc.org","Code","2023-09-29","C82639","5c4c6c1d-7f11-41f5-8ef4-4fbdef8415b0"
"Visit","Code_82","http://www.cdisc.org","Code","2023-09-29","C25716","6ce7b8bf-d3a1-4710-bde1-b3bacd365d0b"
"Clinic","Code_83","http://www.cdisc.org","Code","2023-09-29","C51282","94d5af13-ec3b-4ed4-a783-39ac9318c1d9"
"In Person","Code_84","http://www.cdisc.org","Code","2023-09-29","C175574","6ecccc31-876e-4c6e-878e-ca302123cf25"
"Visit","Code_85","http://www.cdisc.org","Code","2023-09-29","C25716","8f8f017f-f9e9-42b1-ab6a-45e934db22ac"
"Clinic","Code_86","http://www.cdisc.org","Code","2023-09-29","C51282","ba4441bb-98ff-4720-a873-a2ce0161e3dd"
"In Person","Code_87","http://www.cdisc.org","Code","2023-09-29","C175574","bd13b15f-fff9-4145-84fb-b96377e959ea"
