"id","description","instanceType","name","label","uuid:ID"
"Encounter_1","Screening encounter","Encounter","E1","Screening 1","0b097583-534b-42ad-8984-d2350822993f"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Screening 2","2a170a99-2d64-4c49-b02e-f9f46b089cbb"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Baseline","232ea363-d152-4361-9269-045159754e4f"
"Encounter_4","Day 14","Encounter","E4","Week 2","81faa659-34a5-4853-b5b0-4e4bd660e868"
"Encounter_5","Day 28","Encounter","E5","Week 4","1a570772-2701-4b0b-8578-aa1fe065401c"
"Encounter_6","Day 42","Encounter","E7","Week 6","16297ee5-537f-4a6a-9108-055aae43593e"
"Encounter_7","Day 56","Encounter","E8","Week 8","6cfcef40-8e2f-4f59-b8d8-ea720c4785c2"
"Encounter_8","Day 84","Encounter","E9","Week 12","ecd868be-3eac-4544-b512-9376d7df0450"
"Encounter_9","Day 112","Encounter","E10","Week 16","89976964-63fe-4f3e-8936-db1043517ff1"
"Encounter_10","Day 140","Encounter","E11","Week 20","671c4397-587f-45f9-91d0-b644e74d815f"
"Encounter_11","Day 168","Encounter","E12","Week 24","53b99ba5-10ef-4775-90ca-410ad85e164f"
"Encounter_12","Day 182","Encounter","E13","Week 26","5d014595-11bc-4360-88ef-8ad9c4c89ac6"
