"reference","id","instanceType","synonyms","name","label","uuid:ID"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","BiomedicalConcept","['Temperature']","Body Temperature","Body Temperature","f6f88390-afce-4256-885c-7e6e7080304f"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","BiomedicalConcept","['Weight']","Body Weight","Body Weight","3587dba2-2e2e-4738-9030-842e284de5cb"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","BiomedicalConcept","['Height']","Body Height","Body Height","0c7e28b7-05dd-48f9-9db5-d81177201f3c"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","BiomedicalConcept","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","3e41d43f-c7e1-454c-a36d-aafc9e7e87fc"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","BiomedicalConcept","['Albumin']","Albumin Measurement","Albumin Measurement","e80ac4d8-4d02-441c-9466-d30910897399"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","BiomedicalConcept","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","72704cd9-3cc2-4b56-a0f1-4fa618368e16"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","BiomedicalConcept","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","8251dbba-2751-43ad-99a0-1fb81e7fd065"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","BiomedicalConcept","['Creatinine']","Creatinine Measurement","Creatinine Measurement","e69cabfb-b708-43e3-89dc-8e75c1b054a6"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","BiomedicalConcept","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","6dd8671e-9f12-4e06-b42e-19ccd27eca11"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","BiomedicalConcept","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","c4e76206-f656-44ed-b92d-96aa7494d3b3"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","BiomedicalConcept","['Adverse Event Reported Term', 'AETERM']","Adverse Event","Adverse Event","f82d0a8b-a03f-4baf-85ff-4f61ed0838a2"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2","BiomedicalConcept","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","fe0a5f84-7422-41ba-9d03-9e481c9c4dc8"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3","BiomedicalConcept","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","5decb39c-4fd5-41f5-aac6-7bbe85319903"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4","BiomedicalConcept","['Temperature']","Body Temperature","Body Temperature","4886856f-3acd-4f99-8c11-d544feb4033e"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5","BiomedicalConcept","['Weight']","Body Weight","Body Weight","d16383f8-6621-47ee-81ba-e98af29e16ce"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6","BiomedicalConcept","['Height']","Body Height","Body Height","d2be6728-3c56-4b44-84ff-798e30889d38"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7","BiomedicalConcept","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","8f2151a5-0790-4c39-b018-e8eae7b924da"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8","BiomedicalConcept","['Albumin']","Albumin Measurement","Albumin Measurement","3587906d-6fe8-43c3-b688-08eb9dc0e2ca"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9","BiomedicalConcept","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","612493a2-9317-4d8f-9a71-aa841bde0944"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10","BiomedicalConcept","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","c39ed8b8-b757-4138-8cfa-47f75cd81907"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11","BiomedicalConcept","['Creatinine']","Creatinine Measurement","Creatinine Measurement","9cff9bb7-d11c-49b1-9625-36e2d1a8afc7"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12","BiomedicalConcept","['Potassium', 'K']","Potassium Measurement","Potassium Measurement","f2747eae-4633-4c3c-8fa1-06f6c8a3cb7f"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13","BiomedicalConcept","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement","2447c485-39a4-4fcb-ad83-57c861b60166"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14","BiomedicalConcept","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","d64a0213-2c59-4dea-9a3a-99a26f2033fb"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15","BiomedicalConcept","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","72be5f69-3117-4bf5-91f5-fe3673a40abf"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_16","BiomedicalConcept","","Heart Rate","Heart Rate","8d9b936f-a72a-4ffd-b02d-4c8d2d19581c"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_17","BiomedicalConcept","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure","9d6ffcb9-27b5-4b23-a88e-604c4772611c"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_18","BiomedicalConcept","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure","8d295ced-a6ea-4f8c-b0d9-30066c5b63bc"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept_19","BiomedicalConcept","","Heart Rate","Heart Rate","ccb0e966-83e1-45a2-b636-908ab8d92c92"
