"isRequired","isEnabled","id","instanceType","datatype","name","label","uuid:ID"
"True","True","BiomedicalConceptProperty_98","BiomedicalConceptProperty","decimal","Vital Signs Result","Vital Signs Result","612c7954-41f8-4dc2-9289-d1c3269c9f0d"
"True","True","BiomedicalConceptProperty_99","BiomedicalConceptProperty","string","Unit of Temperature","Unit of Temperature","709ca722-d6b1-4d37-b20a-2aff8858cc4c"
"True","True","BiomedicalConceptProperty_100","BiomedicalConceptProperty","string","Vital Signs Location","Vital Signs Location","e0e84df0-00be-44c6-829f-4267a3babfd3"
"True","True","BiomedicalConceptProperty_101","BiomedicalConceptProperty","decimal","Vital Signs Result","Vital Signs Result","682f80a7-f0ed-470e-867d-b1c6210d1bd1"
"True","True","BiomedicalConceptProperty_102","BiomedicalConceptProperty","string","Unit of Weight","Unit of Weight","d5a14cb9-397a-4b2b-9297-e038e368ca70"
"True","True","BiomedicalConceptProperty_103","BiomedicalConceptProperty","decimal","Vital Signs Result","Vital Signs Result","bea46b65-0de4-4bdd-84bd-4c26813e0795"
"True","True","BiomedicalConceptProperty_104","BiomedicalConceptProperty","string","Unit of Height","Unit of Height","e4ee148a-28a4-465d-9ae9-6761b8f1500a"
"True","True","BiomedicalConceptProperty_105","BiomedicalConceptProperty","decimal","Laboratory Test Result","Laboratory Test Result","303c4fe9-9c19-451d-a19b-400ce630a07a"
"True","True","BiomedicalConceptProperty_106","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","0ac0f845-2469-41cf-b185-9313d43c955e"
"True","True","BiomedicalConceptProperty_107","BiomedicalConceptProperty","string","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","9e349bb6-0c46-4786-bc87-878221a054be"
"True","True","BiomedicalConceptProperty_108","BiomedicalConceptProperty","string","Biospecimen Type","Biospecimen Type","c3dbe904-d58b-4647-8ace-bd280010fead"
"True","True","BiomedicalConceptProperty_109","BiomedicalConceptProperty","string","Laboratory Test Result","Laboratory Test Result","4e07ad1d-15a0-4e23-a0c1-dfac31bf1220"
"True","True","BiomedicalConceptProperty_110","BiomedicalConceptProperty","boolean","Laboratory Test Fasting Status","Laboratory Test Fasting Status","8b60910f-6c60-48c9-b931-b30bdbf97c7c"
"True","True","BiomedicalConceptProperty_111","BiomedicalConceptProperty","string","Unit of Concentration","Unit of Concentration","c08fe5ab-daa7-4d2d-98a1-49e3f16fea95"
"True","True","BiomedicalConceptProperty_112","BiomedicalConceptProperty","string","Biospecimen Type","Biospecimen Type","1223ab4d-6399-4904-b819-1c7333227777"
"True","True","BiomedicalConceptProperty_113","BiomedicalConceptProperty","decimal","Laboratory Test Result","Laboratory Test Result","5a1472b9-568b-489d-8b54-ac1bcfdb870b"
