"id","sectionNumber","instanceType","name","uuid:ID","text","sectionTitle"
"NarrativeContent_1","0","NarrativeContent","ROOT","5cd5a293-09f4-44ad-91ca-6e49df5b8808","","Root"
"NarrativeContent_2","0","NarrativeContent","SECTION 0","edd3af48-e787-4a5f-ad8e-a75f0920963b","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"NarrativeContent_3","1","NarrativeContent","SECTION 1","193ae215-f1d2-4742-9e93-de43295980b1","<div></div>","PROTOCOL SUMMARY"
"NarrativeContent_4","1.1","NarrativeContent","SECTION 1.1","2edcf85a-8763-406a-adc7-c6e48bfd16ac","<div></div>","Protocol Synopsis"
"NarrativeContent_5","1.2","NarrativeContent","SECTION 1.2","1e4ee771-27d5-4084-bf0d-87a3f21248a5","<div></div>","Trial Schema"
"NarrativeContent_6","1.3","NarrativeContent","SECTION 1.3","4593e0ae-66ac-4ac5-be96-7c258f520b29","<div></div>","Schedule of Activities"
"NarrativeContent_7","2","NarrativeContent","SECTION 2","baa0628c-faeb-4293-b889-600d92e9507b","<div></div>","INTRODUCTION"
"NarrativeContent_8","2.1","NarrativeContent","SECTION 2.1","b008b7ff-6bd5-43de-a613-14e1734625ee","<div></div>","Purpose of Trial"
"NarrativeContent_9","2.2","NarrativeContent","SECTION 2.2","5bfec27b-4d1d-4144-ae92-0ad84fa1838b","<div></div>","Summary of Benefits and Risks"
"NarrativeContent_10","3","NarrativeContent","SECTION 3","c48d30e4-fac6-4974-a43e-7381861693c2","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"NarrativeContent_11","3.1","NarrativeContent","SECTION 3.1","0260ea18-ddc7-4e4d-905a-0b4be1cad577","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"NarrativeContent_12","4","NarrativeContent","SECTION 4","afb4fb9b-f0b2-44fb-bab3-59383ebc6897","<div></div>","TRIAL DESIGN"
"NarrativeContent_13","4.1","NarrativeContent","SECTION 4.1","83b6ad69-48dd-4644-ba52-652d1021f021","<div></div>","Description of Trial Design"
"NarrativeContent_14","4.1.1","NarrativeContent","SECTION 4.1.1","c4090e5f-45a6-486f-821c-a6edd43e0e0b","<div></div>","Participant Input into Design"
"NarrativeContent_15","4.2","NarrativeContent","SECTION 4.2","0cc59227-1a21-4c40-9dd2-53486100d435","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
"NarrativeContent_16","4.2.1","NarrativeContent","SECTION 4.2.1","3aedf909-ed7b-4b34-a31e-336f50b44e33","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"NarrativeContent_17","4.2.2","NarrativeContent","SECTION 4.2.2","1e7852ff-fe14-44b1-9e82-9cddeb79972a","<div></div>","Rationale for Adaptive or Novel Trial Design"
"NarrativeContent_18","4.2.3","NarrativeContent","SECTION 4.2.3","b23e92b6-6ed5-49c0-a31a-0a836698c174","<div></div>","Other Trial Design Considerations"
"NarrativeContent_19","4.3","NarrativeContent","SECTION 4.3","47ec2def-8b1e-4856-813e-2726fc036f14","<div></div>","Access to Trial Intervention After End of Trial"
"NarrativeContent_20","4.4","NarrativeContent","SECTION 4.4","5d972198-6b51-4ba2-9a40-957bc86d4cba","<div></div>","Start of Trial and End of Trial"
"NarrativeContent_21","5","NarrativeContent","SECTION 5","9fc312e1-d53e-4105-a793-9a6293b4f3e7","<div></div>","TRIAL POPULATION"
"NarrativeContent_22","5.1","NarrativeContent","SECTION 5.1","8458602c-4985-4c48-a004-7490111a6c36","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population"
"NarrativeContent_23","5.2","NarrativeContent","SECTION 5.2","7524ce60-7745-4123-8acd-4a215597fb09","<div></div>","Rationale for Trial Population"
"NarrativeContent_24","5.3","NarrativeContent","SECTION 5.3","28cb7f9e-204f-4aed-ae71-b85e523bf0a1","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria"
"NarrativeContent_25","5.4","NarrativeContent","SECTION 5.4","860c9a8c-3404-4f61-994b-350c17ee9357","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria"
"NarrativeContent_26","5.5","NarrativeContent","SECTION 5.5","e63c2819-5a57-4f19-a8b4-56b77fdb81c1","<div></div>","Lifestyle Considerations"
