"id","label","description","name","uuid:ID","instanceType"
"Encounter_1","Screening 1","Screening encounter","E1","739919f1-62b3-4b59-968f-c5787a2010c6","Encounter"
"Encounter_2","Screening 2","Screening encounter - Ambulatory ECG Placement","E2","efba5def-5bec-42d0-8fcf-dfc6a2248c11","Encounter"
"Encounter_3","Baseline","Baseline encounter - Ambulatory ECG Removal","E3","a071b671-c322-4520-849d-771f1ba65583","Encounter"
"Encounter_4","Week 2","Day 14","E4","60a28622-6872-4694-90ff-4eac32670b3b","Encounter"
"Encounter_5","Week 4","Day 28","E5","9172b16d-fbbf-4730-9a1e-9beccb171171","Encounter"
"Encounter_6","Week 6","Day 42","E7","93ad59e5-a3eb-4f4b-8d0a-cebf5c16c1ae","Encounter"
"Encounter_7","Week 8","Day 56","E8","d5b7c606-8275-4a6d-86d1-d163c2d8d160","Encounter"
"Encounter_8","Week 12","Day 84","E9","1e29fb0f-1209-486e-a8ab-4999e0d9a0e2","Encounter"
"Encounter_9","Week 16","Day 112","E10","23ef3e99-90ad-4325-ab8f-00626d5746c9","Encounter"
"Encounter_10","Week 20","Day 140","E11","e6dfea7d-06e6-4141-9c77-d21a2d720467","Encounter"
"Encounter_11","Week 24","Day 168","E12","b16b6aee-6700-4612-94a4-3a8864882517","Encounter"
"Encounter_12","Week 26","Day 182","E13","d2c21c9c-2073-45b7-a1ea-43f4809bbe1b","Encounter"
