"id","label","description","text","purpose","name","uuid:ID","instanceType"
"Endpoint_1","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","END1","8804bb9b-c6fd-4e5e-aff1-99046a53700d","Endpoint"
"Endpoint_2","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","END2","9abcdd7a-8c76-4555-8fcb-7591460d3e43","Endpoint"
"Endpoint_3","","","Adverse events","","END3","8c037740-a968-41fb-a20e-9c9fefff2023","Endpoint"
"Endpoint_4","","","Vital signs (weight, standing and supine blood pressure, heart rate)","","END4","46dec680-253d-4605-95ed-5864b3b500a4","Endpoint"
"Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","","END5","4e257b84-aaf3-49ca-9aeb-141897aa0abe","Endpoint"
"Endpoint_6","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","END6","359e1c31-bcd0-4ada-9f50-eb93d42fad9c","Endpoint"
"Endpoint_7","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","END7","e6ebc3ce-f523-4538-8a2b-6e69d3953a90","Endpoint"
"Endpoint_8","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","END8","b0770dfa-3ef0-4832-88c5-d58e317b6e11","Endpoint"
"Endpoint_9","","","*** To be determined from protocol ***","","END9","91679200-5ade-44e4-873b-3e25d3cbc5b7","Endpoint"
"Endpoint_10","","","*** To be determined from protocol ***","","END10","573ab0b1-052f-425a-848d-cbab64726de9","Endpoint"
"Endpoint_11","","","*** To be determined from protocol ***","","END11","ae23fdb6-6e73-4a12-8a9c-44d796da5215","Endpoint"
